t=,75600, id=,B02, PRDE,actvstrat=,0.585019, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.512676, actvprof=,0.015557, id=,B06, PRDE,actvstrat=,-0.778273, actvprof=,0.571444, id=,B08, PRDE,actvstrat=,-0.190749, actvprof=,3.909825, id=,B09, PRDE,actvstrat=,0.054864, actvprof=,6.477574, id=,S00, PRDE,actvstrat=,0.485857, actvprof=,3.397275, id=,S01, PRDE,actvstrat=,0.367186, actvprof=,2.046588, id=,S05, PRDE,actvstrat=,-0.710295, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.374453, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.784310, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.477574, best_B_strat=,0.054864, best_S_id=,S00, best_S_prof=,3.397275, best_S_strat=,0.485857, 
t=,79200, id=,B02, PRDE,actvstrat=,0.585019, actvprof=,0.000972, id=,B03, PRDE,actvstrat=,-0.512676, actvprof=,0.008195, id=,B06, PRDE,actvstrat=,-0.778273, actvprof=,0.631836, id=,B08, PRDE,actvstrat=,-0.190749, actvprof=,3.986722, id=,B09, PRDE,actvstrat=,0.054864, actvprof=,6.441285, id=,S00, PRDE,actvstrat=,0.485857, actvprof=,3.308494, id=,S01, PRDE,actvstrat=,0.367186, actvprof=,1.967457, id=,S05, PRDE,actvstrat=,-0.710295, actvprof=,0.006806, id=,S07, PRDE,actvstrat=,0.374453, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.784310, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.441285, best_B_strat=,0.054864, best_S_id=,S00, best_S_prof=,3.308494, best_S_strat=,0.485857, 
t=,82800, id=,B02, PRDE,actvstrat=,-0.536821, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.429028, id=,B08, PRDE,actvstrat=,-0.539004, actvprof=,1.938800, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.900018, id=,S00, PRDE,actvstrat=,-0.816597, actvprof=,0.654786, id=,S01, PRDE,actvstrat=,-0.741692, actvprof=,0.475602, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.154182, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.900018, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.654786, best_S_strat=,-0.816597, 
t=,86400, id=,B02, PRDE,actvstrat=,-0.536821, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.399512, id=,B08, PRDE,actvstrat=,-0.539004, actvprof=,1.976346, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.854035, id=,S00, PRDE,actvstrat=,-0.816597, actvprof=,0.533081, id=,S01, PRDE,actvstrat=,-0.741692, actvprof=,0.493218, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.163619, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.854035, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.533081, best_S_strat=,-0.816597, 
t=,90000, id=,B02, PRDE,actvstrat=,0.645087, actvprof=,0.011390, id=,B03, PRDE,actvstrat=,0.171873, actvprof=,0.022780, id=,B06, PRDE,actvstrat=,0.335829, actvprof=,1.669885, id=,B08, PRDE,actvstrat=,0.711412, actvprof=,5.536094, id=,B09, PRDE,actvstrat=,0.969659, actvprof=,7.401553, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.264776, id=,S01, PRDE,actvstrat=,0.487679, actvprof=,2.249108, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.140291, id=,S07, PRDE,actvstrat=,0.644843, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.401553, best_B_strat=,0.969659, best_S_id=,S00, best_S_prof=,6.264776, best_S_strat=,1.000000, 
t=,93600, id=,B02, PRDE,actvstrat=,0.645087, actvprof=,0.011389, id=,B03, PRDE,actvstrat=,0.171873, actvprof=,0.023612, id=,B06, PRDE,actvstrat=,0.335829, actvprof=,1.632557, id=,B08, PRDE,actvstrat=,0.711412, actvprof=,5.510191, id=,B09, PRDE,actvstrat=,0.969659, actvprof=,7.377339, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.309108, id=,S01, PRDE,actvstrat=,0.487679, actvprof=,2.342026, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.141533, id=,S07, PRDE,actvstrat=,0.644843, actvprof=,0.000694, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, best_B_id=,B09, best_B_prof=,7.377339, best_B_strat=,0.969659, best_S_id=,S00, best_S_prof=,6.309108, best_S_strat=,1.000000, 
t=,97200, id=,B02, PRDE,actvstrat=,0.799721, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,B06, PRDE,actvstrat=,-0.527645, actvprof=,0.500056, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.966385, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.268308, id=,S00, PRDE,actvstrat=,-0.028228, actvprof=,2.274419, id=,S01, PRDE,actvstrat=,0.515172, actvprof=,2.814202, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.064729, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,0.495245, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.268308, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.814202, best_S_strat=,0.515172, 
t=,100800, id=,B02, PRDE,actvstrat=,0.799721, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.003056, id=,B06, PRDE,actvstrat=,-0.527645, actvprof=,0.484610, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.976110, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.246097, id=,S00, PRDE,actvstrat=,-0.028228, actvprof=,2.240263, id=,S01, PRDE,actvstrat=,0.515172, actvprof=,2.801128, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.075282, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.002361, id=,S08, PRDE,actvstrat=,0.495245, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.246097, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.801128, best_S_strat=,0.515172, 
t=,104400, id=,B02, PRDE,actvstrat=,-0.828790, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.171873, actvprof=,0.000556, id=,B06, PRDE,actvstrat=,0.335829, actvprof=,0.586732, id=,B08, PRDE,actvstrat=,0.050788, actvprof=,2.993666, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.358095, id=,S00, PRDE,actvstrat=,0.108407, actvprof=,3.636515, id=,S01, PRDE,actvstrat=,-0.210751, actvprof=,0.875931, id=,S05, PRDE,actvstrat=,-0.625227, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,0.766398, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.358095, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.636515, best_S_strat=,0.108407, 
t=,108000, id=,B02, PRDE,actvstrat=,-0.828790, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.171873, actvprof=,0.000278, id=,B06, PRDE,actvstrat=,0.335829, actvprof=,0.595172, id=,B08, PRDE,actvstrat=,0.050788, actvprof=,3.000583, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.355992, id=,S00, PRDE,actvstrat=,0.108407, actvprof=,3.585060, id=,S01, PRDE,actvstrat=,-0.210751, actvprof=,0.958664, id=,S05, PRDE,actvstrat=,-0.625227, actvprof=,0.003889, id=,S07, PRDE,actvstrat=,0.766398, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.355992, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.585060, best_S_strat=,0.108407, 
