t=,79200, id=,B01, PRDE,actvstrat=,-0.827824, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.656261, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,0.058141, actvprof=,0.116253, id=,B06, PRDE,actvstrat=,-0.742910, actvprof=,1.076835, id=,B09, PRDE,actvstrat=,-0.182024, actvprof=,6.404345, id=,S03, PRDE,actvstrat=,-0.836778, actvprof=,0.006528, id=,S05, PRDE,actvstrat=,0.645999, actvprof=,0.019584, id=,S06, PRDE,actvstrat=,0.416251, actvprof=,0.003056, id=,S07, PRDE,actvstrat=,-0.325443, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.246150, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.404345, best_B_strat=,-0.182024, best_S_id=,S05, best_S_prof=,0.019584, best_S_strat=,0.645999, 
t=,82800, id=,B01, PRDE,actvstrat=,0.582363, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.007223, id=,B04, PRDE,actvstrat=,-0.467387, actvprof=,0.050558, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.151564, id=,B09, PRDE,actvstrat=,-0.491923, actvprof=,5.757542, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.025057, id=,S05, PRDE,actvstrat=,0.443486, actvprof=,0.013890, id=,S06, PRDE,actvstrat=,0.868469, actvprof=,0.004445, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.492795, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.757542, best_B_strat=,-0.491923, best_S_id=,S03, best_S_prof=,1.025057, best_S_strat=,-1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,0.582363, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,-0.467387, actvprof=,0.056390, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.278424, id=,B09, PRDE,actvstrat=,-0.491923, actvprof=,5.866969, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.963638, id=,S05, PRDE,actvstrat=,0.443486, actvprof=,0.013889, id=,S06, PRDE,actvstrat=,0.868469, actvprof=,0.002917, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.492795, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.866969, best_B_strat=,-0.491923, best_S_id=,S03, best_S_prof=,0.963638, best_S_strat=,-1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.131827, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.260875, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.866182, actvprof=,0.026112, id=,B06, PRDE,actvstrat=,0.638805, actvprof=,2.123422, id=,B09, PRDE,actvstrat=,0.267797, actvprof=,6.244149, id=,S03, PRDE,actvstrat=,0.248853, actvprof=,0.536133, id=,S05, PRDE,actvstrat=,0.933914, actvprof=,0.110838, id=,S06, PRDE,actvstrat=,0.868469, actvprof=,0.010556, id=,S07, PRDE,actvstrat=,-0.778705, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.313834, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.244149, best_B_strat=,0.267797, best_S_id=,S03, best_S_prof=,0.536133, best_S_strat=,0.248853, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.131827, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.260875, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,0.866182, actvprof=,0.029167, id=,B06, PRDE,actvstrat=,0.638805, actvprof=,2.081586, id=,B09, PRDE,actvstrat=,0.267797, actvprof=,6.301286, id=,S03, PRDE,actvstrat=,0.248853, actvprof=,0.545987, id=,S05, PRDE,actvstrat=,0.933914, actvprof=,0.096947, id=,S06, PRDE,actvstrat=,0.868469, actvprof=,0.012917, id=,S07, PRDE,actvstrat=,-0.778705, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.313834, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.301286, best_B_strat=,0.267797, best_S_id=,S03, best_S_prof=,0.545987, best_S_strat=,0.248853, 
t=,97200, id=,B01, PRDE,actvstrat=,0.821183, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.187560, actvprof=,0.026390, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.024057, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.587922, id=,S03, PRDE,actvstrat=,0.795199, actvprof=,0.958109, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.023612, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.369788, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.541370, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.587922, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,0.958109, best_S_strat=,0.795199, 
t=,100800, id=,B01, PRDE,actvstrat=,0.821183, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.187560, actvprof=,0.028473, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.070620, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.510018, id=,S03, PRDE,actvstrat=,0.795199, actvprof=,0.915436, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.021806, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.369788, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.541370, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.510018, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,0.915436, best_S_strat=,0.795199, 
t=,104400, id=,B01, PRDE,actvstrat=,0.190375, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.252587, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.798727, actvprof=,0.003334, id=,B06, PRDE,actvstrat=,0.183650, actvprof=,2.019834, id=,B09, PRDE,actvstrat=,-0.654856, actvprof=,5.562253, id=,S03, PRDE,actvstrat=,-0.332839, actvprof=,0.051392, id=,S05, PRDE,actvstrat=,0.933914, actvprof=,0.035002, id=,S06, PRDE,actvstrat=,0.170843, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.430663, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.000599, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.562253, best_B_strat=,-0.654856, best_S_id=,S03, best_S_prof=,0.051392, best_S_strat=,-0.332839, 
t=,108000, id=,B01, PRDE,actvstrat=,0.190375, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.252587, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.798727, actvprof=,0.006806, id=,B06, PRDE,actvstrat=,0.183650, actvprof=,2.231991, id=,B09, PRDE,actvstrat=,-0.654856, actvprof=,5.669146, id=,S03, PRDE,actvstrat=,-0.332839, actvprof=,0.052501, id=,S05, PRDE,actvstrat=,0.933914, actvprof=,0.033890, id=,S06, PRDE,actvstrat=,0.170843, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.430663, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.000599, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.669146, best_B_strat=,-0.654856, best_S_id=,S03, best_S_prof=,0.052501, best_S_strat=,-0.332839, 
t=,111600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.691255, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.100561, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.728763, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.473749, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.828435, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.030002, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.002881, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.473749, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.828435, best_S_strat=,1.000000, 
