t=,75600, id=,B01, PRDE,actvstrat=,0.624110, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.401638, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.263009, actvprof=,0.256140, id=,B07, PRDE,actvstrat=,-0.129024, actvprof=,0.673130, id=,B08, PRDE,actvstrat=,-0.651317, actvprof=,1.240693, id=,S01, PRDE,actvstrat=,-0.924122, actvprof=,0.039449, id=,S02, PRDE,actvstrat=,-0.153032, actvprof=,0.718691, id=,S03, PRDE,actvstrat=,0.118168, actvprof=,1.058451, id=,S04, PRDE,actvstrat=,-0.042185, actvprof=,0.122791, id=,S05, PRDE,actvstrat=,0.825965, actvprof=,0.144460, best_B_id=,B08, best_B_prof=,1.240693, best_B_strat=,-0.651317, best_S_id=,S03, best_S_prof=,1.058451, best_S_strat=,0.118168, 
t=,79200, id=,B01, PRDE,actvstrat=,0.624110, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.401638, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.263009, actvprof=,0.271265, id=,B07, PRDE,actvstrat=,-0.129024, actvprof=,0.649897, id=,B08, PRDE,actvstrat=,-0.651317, actvprof=,1.238541, id=,S01, PRDE,actvstrat=,-0.924122, actvprof=,0.029446, id=,S02, PRDE,actvstrat=,-0.153032, actvprof=,0.740736, id=,S03, PRDE,actvstrat=,0.118168, actvprof=,1.046308, id=,S04, PRDE,actvstrat=,-0.042185, actvprof=,0.124729, id=,S05, PRDE,actvstrat=,0.825965, actvprof=,0.135841, best_B_id=,B08, best_B_prof=,1.238541, best_B_strat=,-0.651317, best_S_id=,S03, best_S_prof=,1.046308, best_S_strat=,0.118168, 
t=,82800, id=,B01, PRDE,actvstrat=,0.100633, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.949637, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.216413, id=,B07, PRDE,actvstrat=,0.798617, actvprof=,1.235693, id=,B08, PRDE,actvstrat=,-0.508269, actvprof=,0.748416, id=,S01, PRDE,actvstrat=,-0.810398, actvprof=,0.967885, id=,S02, PRDE,actvstrat=,-0.360934, actvprof=,0.803423, id=,S03, PRDE,actvstrat=,0.388165, actvprof=,2.047728, id=,S04, PRDE,actvstrat=,-0.754401, actvprof=,0.096400, id=,S05, PRDE,actvstrat=,0.138266, actvprof=,0.168630, best_B_id=,B07, best_B_prof=,1.235693, best_B_strat=,0.798617, best_S_id=,S03, best_S_prof=,2.047728, best_S_strat=,0.388165, 
t=,86400, id=,B01, PRDE,actvstrat=,0.100633, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.949637, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.218762, id=,B07, PRDE,actvstrat=,0.798617, actvprof=,1.201317, id=,B08, PRDE,actvstrat=,-0.508269, actvprof=,0.723790, id=,S01, PRDE,actvstrat=,-0.810398, actvprof=,0.914634, id=,S02, PRDE,actvstrat=,-0.360934, actvprof=,0.903800, id=,S03, PRDE,actvstrat=,0.388165, actvprof=,2.080116, id=,S04, PRDE,actvstrat=,-0.754401, actvprof=,0.099033, id=,S05, PRDE,actvstrat=,0.138266, actvprof=,0.182788, best_B_id=,B07, best_B_prof=,1.201317, best_B_strat=,0.798617, best_S_id=,S03, best_S_prof=,2.080116, best_S_strat=,0.388165, 
t=,90000, id=,B01, PRDE,actvstrat=,0.830865, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.921660, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.537004, id=,B07, PRDE,actvstrat=,0.438280, actvprof=,0.980665, id=,B08, PRDE,actvstrat=,0.141500, actvprof=,1.801867, id=,S01, PRDE,actvstrat=,0.560190, actvprof=,4.963329, id=,S02, PRDE,actvstrat=,-0.044422, actvprof=,1.457384, id=,S03, PRDE,actvstrat=,0.145825, actvprof=,1.291255, id=,S04, PRDE,actvstrat=,-0.832618, actvprof=,0.033337, id=,S05, PRDE,actvstrat=,0.138266, actvprof=,0.100845, best_B_id=,B08, best_B_prof=,1.801867, best_B_strat=,0.141500, best_S_id=,S01, best_S_prof=,4.963329, best_S_strat=,0.560190, 
t=,93600, id=,B01, PRDE,actvstrat=,0.830865, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.921660, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.541002, id=,B07, PRDE,actvstrat=,0.438280, actvprof=,0.990611, id=,B08, PRDE,actvstrat=,0.141500, actvprof=,1.881216, id=,S01, PRDE,actvstrat=,0.560190, actvprof=,5.105561, id=,S02, PRDE,actvstrat=,-0.044422, actvprof=,1.507306, id=,S03, PRDE,actvstrat=,0.145825, actvprof=,1.391050, id=,S04, PRDE,actvstrat=,-0.832618, actvprof=,0.040558, id=,S05, PRDE,actvstrat=,0.138266, actvprof=,0.114451, best_B_id=,B08, best_B_prof=,1.881216, best_B_strat=,0.141500, best_S_id=,S01, best_S_prof=,5.105561, best_S_strat=,0.560190, 
t=,97200, id=,B01, PRDE,actvstrat=,0.406705, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.989887, actvprof=,0.001389, id=,B06, PRDE,actvstrat=,-0.119622, actvprof=,0.515613, id=,B07, PRDE,actvstrat=,-0.377729, actvprof=,1.139849, id=,B08, PRDE,actvstrat=,-0.794775, actvprof=,1.614068, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.433659, id=,S02, PRDE,actvstrat=,0.724185, actvprof=,2.613346, id=,S03, PRDE,actvstrat=,-0.090055, actvprof=,0.152239, id=,S04, PRDE,actvstrat=,0.408080, actvprof=,0.139460, id=,S05, PRDE,actvstrat=,0.228741, actvprof=,0.011112, best_B_id=,B08, best_B_prof=,1.614068, best_B_strat=,-0.794775, best_S_id=,S01, best_S_prof=,5.433659, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,0.406705, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.989887, actvprof=,0.001250, id=,B06, PRDE,actvstrat=,-0.119622, actvprof=,0.517807, id=,B07, PRDE,actvstrat=,-0.377729, actvprof=,1.134369, id=,B08, PRDE,actvstrat=,-0.794775, actvprof=,1.642452, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.450442, id=,S02, PRDE,actvstrat=,0.724185, actvprof=,2.700428, id=,S03, PRDE,actvstrat=,-0.090055, actvprof=,0.135980, id=,S04, PRDE,actvstrat=,0.408080, actvprof=,0.146953, id=,S05, PRDE,actvstrat=,0.228741, actvprof=,0.008473, best_B_id=,B08, best_B_prof=,1.642452, best_B_strat=,-0.794775, best_S_id=,S01, best_S_prof=,5.450442, best_S_strat=,1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,0.571693, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.949637, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.876311, actvprof=,0.757584, id=,B07, PRDE,actvstrat=,0.620377, actvprof=,1.593788, id=,B08, PRDE,actvstrat=,-0.508269, actvprof=,1.349872, id=,S01, PRDE,actvstrat=,0.125069, actvprof=,3.188410, id=,S02, PRDE,actvstrat=,0.724185, actvprof=,3.785143, id=,S03, PRDE,actvstrat=,0.388165, actvprof=,1.483220, id=,S04, PRDE,actvstrat=,0.377316, actvprof=,0.505612, id=,S05, PRDE,actvstrat=,0.497624, actvprof=,0.106956, best_B_id=,B07, best_B_prof=,1.593788, best_B_strat=,0.620377, best_S_id=,S02, best_S_prof=,3.785143, best_S_strat=,0.724185, 
t=,108000, id=,B01, PRDE,actvstrat=,0.571693, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.949637, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.876311, actvprof=,0.729207, id=,B07, PRDE,actvstrat=,0.620377, actvprof=,1.579671, id=,B08, PRDE,actvstrat=,-0.508269, actvprof=,1.362298, id=,S01, PRDE,actvstrat=,0.125069, actvprof=,3.215873, id=,S02, PRDE,actvstrat=,0.724185, actvprof=,3.807989, id=,S03, PRDE,actvstrat=,0.388165, actvprof=,1.395633, id=,S04, PRDE,actvstrat=,0.377316, actvprof=,0.494194, id=,S05, PRDE,actvstrat=,0.497624, actvprof=,0.111117, best_B_id=,B07, best_B_prof=,1.579671, best_B_strat=,0.620377, best_S_id=,S02, best_S_prof=,3.807989, best_S_strat=,0.724185, 
