t=,75600, id=,B00, PRDE,actvstrat=,0.282746, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.263369, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.962316, id=,B08, PRDE,actvstrat=,0.747993, actvprof=,3.631186, id=,B09, PRDE,actvstrat=,-0.304563, actvprof=,3.030572, id=,S00, PRDE,actvstrat=,0.178321, actvprof=,4.639062, id=,S01, PRDE,actvstrat=,-0.968657, actvprof=,0.451155, id=,S02, PRDE,actvstrat=,0.742018, actvprof=,4.162905, id=,S05, PRDE,actvstrat=,-0.326141, actvprof=,0.008056, id=,S09, PRDE,actvstrat=,-0.194828, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.631186, best_B_strat=,0.747993, best_S_id=,S00, best_S_prof=,4.639062, best_S_strat=,0.178321, 
t=,79200, id=,B00, PRDE,actvstrat=,0.282746, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.263369, actvprof=,0.000694, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.996021, id=,B08, PRDE,actvstrat=,0.747993, actvprof=,3.724070, id=,B09, PRDE,actvstrat=,-0.304563, actvprof=,2.974172, id=,S00, PRDE,actvstrat=,0.178321, actvprof=,4.616197, id=,S01, PRDE,actvstrat=,-0.968657, actvprof=,0.462522, id=,S02, PRDE,actvstrat=,0.742018, actvprof=,4.188676, id=,S05, PRDE,actvstrat=,-0.326141, actvprof=,0.007639, id=,S09, PRDE,actvstrat=,-0.194828, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.724070, best_B_strat=,0.747993, best_S_id=,S00, best_S_prof=,4.616197, best_S_strat=,0.178321, 
t=,82800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.521687, actvprof=,0.009168, id=,B06, PRDE,actvstrat=,-0.514911, actvprof=,0.290310, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.347150, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.938160, id=,S00, PRDE,actvstrat=,-0.959587, actvprof=,0.038060, id=,S01, PRDE,actvstrat=,0.665162, actvprof=,4.567452, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.415213, id=,S05, PRDE,actvstrat=,0.487772, actvprof=,0.011946, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.938160, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.567452, best_S_strat=,0.665162, 
t=,86400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.521687, actvprof=,0.009723, id=,B06, PRDE,actvstrat=,-0.514911, actvprof=,0.287377, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.455942, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.973665, id=,S00, PRDE,actvstrat=,-0.959587, actvprof=,0.025279, id=,S01, PRDE,actvstrat=,0.665162, actvprof=,4.580810, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.418301, id=,S05, PRDE,actvstrat=,0.487772, actvprof=,0.010278, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.973665, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.580810, best_S_strat=,0.665162, 
t=,90000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.521687, actvprof=,0.011667, id=,B06, PRDE,actvstrat=,0.072526, actvprof=,0.800578, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.314287, id=,B09, PRDE,actvstrat=,0.671879, actvprof=,5.610711, id=,S00, PRDE,actvstrat=,-0.029485, actvprof=,3.213423, id=,S01, PRDE,actvstrat=,0.665162, actvprof=,4.345398, id=,S02, PRDE,actvstrat=,0.642527, actvprof=,2.680074, id=,S05, PRDE,actvstrat=,-0.735310, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.610711, best_B_strat=,0.671879, best_S_id=,S01, best_S_prof=,4.345398, best_S_strat=,0.665162, 
t=,93600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.521687, actvprof=,0.011389, id=,B06, PRDE,actvstrat=,0.072526, actvprof=,0.773499, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.257509, id=,B09, PRDE,actvstrat=,0.671879, actvprof=,5.718671, id=,S00, PRDE,actvstrat=,-0.029485, actvprof=,3.154693, id=,S01, PRDE,actvstrat=,0.665162, actvprof=,4.369596, id=,S02, PRDE,actvstrat=,0.642527, actvprof=,2.751623, id=,S05, PRDE,actvstrat=,-0.735310, actvprof=,0.002222, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.718671, best_B_strat=,0.671879, best_S_id=,S01, best_S_prof=,4.369596, best_S_strat=,0.665162, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.007501, id=,B06, PRDE,actvstrat=,-0.811295, actvprof=,0.368652, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.023058, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.322202, id=,S00, PRDE,actvstrat=,0.493543, actvprof=,4.611624, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.285865, id=,S02, PRDE,actvstrat=,0.114481, actvprof=,1.177909, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.087510, id=,S09, PRDE,actvstrat=,-0.149968, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.322202, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.285865, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.006389, id=,B06, PRDE,actvstrat=,-0.811295, actvprof=,0.350992, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.073893, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.293739, id=,S00, PRDE,actvstrat=,0.493543, actvprof=,4.509834, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.300017, id=,S02, PRDE,actvstrat=,0.114481, actvprof=,1.168954, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.104034, id=,S09, PRDE,actvstrat=,-0.149968, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.293739, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.300017, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.863675, actvprof=,0.006667, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.835760, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.974164, id=,B09, PRDE,actvstrat=,-0.629929, actvprof=,3.483443, id=,S00, PRDE,actvstrat=,0.802986, actvprof=,6.800200, id=,S01, PRDE,actvstrat=,-0.489937, actvprof=,0.808145, id=,S02, PRDE,actvstrat=,0.642527, actvprof=,2.662240, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.289754, id=,S09, PRDE,actvstrat=,0.809521, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.974164, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.800200, best_S_strat=,0.802986, 
t=,108000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.863675, actvprof=,0.010000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.854257, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.993715, id=,B09, PRDE,actvstrat=,-0.629929, actvprof=,3.612120, id=,S00, PRDE,actvstrat=,0.802986, actvprof=,6.720049, id=,S01, PRDE,actvstrat=,-0.489937, actvprof=,0.857819, id=,S02, PRDE,actvstrat=,0.642527, actvprof=,2.644573, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.260568, id=,S09, PRDE,actvstrat=,0.809521, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.993715, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.720049, best_S_strat=,0.802986, 
