t=,75600, id=,B01, PRDE,actvstrat=,0.858774, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.710712, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,0.834593, actvprof=,0.186399, id=,B07, PRDE,actvstrat=,0.435781, actvprof=,2.361242, id=,S01, PRDE,actvstrat=,-0.083634, actvprof=,1.836769, id=,S04, PRDE,actvstrat=,0.295644, actvprof=,0.292516, id=,S05, PRDE,actvstrat=,0.705146, actvprof=,0.029168, id=,S07, PRDE,actvstrat=,-0.984999, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.106482, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.361242, best_B_strat=,0.435781, best_S_id=,S01, best_S_prof=,1.836769, best_S_strat=,-0.083634, 
t=,79200, id=,B01, PRDE,actvstrat=,0.858774, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.710712, actvprof=,0.000694, id=,B05, PRDE,actvstrat=,0.834593, actvprof=,0.225836, id=,B07, PRDE,actvstrat=,0.435781, actvprof=,2.485868, id=,S01, PRDE,actvstrat=,-0.083634, actvprof=,1.863081, id=,S04, PRDE,actvstrat=,0.295644, actvprof=,0.260281, id=,S05, PRDE,actvstrat=,0.705146, actvprof=,0.028195, id=,S07, PRDE,actvstrat=,-0.984999, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.106482, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.485868, best_B_strat=,0.435781, best_S_id=,S01, best_S_prof=,1.863081, best_S_strat=,-0.083634, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.501924, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.171599, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.198790, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.176126, id=,B07, PRDE,actvstrat=,0.032677, actvprof=,1.732644, id=,S01, PRDE,actvstrat=,-0.074193, actvprof=,2.178793, id=,S04, PRDE,actvstrat=,-0.301926, actvprof=,0.039170, id=,S05, PRDE,actvstrat=,0.842635, actvprof=,0.028613, id=,S07, PRDE,actvstrat=,0.075739, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.095341, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.732644, best_B_strat=,0.032677, best_S_id=,S01, best_S_prof=,2.178793, best_S_strat=,-0.074193, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.501924, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.171599, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.198790, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.152090, id=,B07, PRDE,actvstrat=,0.032677, actvprof=,1.715766, id=,S01, PRDE,actvstrat=,-0.074193, actvprof=,2.229398, id=,S04, PRDE,actvstrat=,-0.301926, actvprof=,0.031390, id=,S05, PRDE,actvstrat=,0.842635, actvprof=,0.043335, id=,S07, PRDE,actvstrat=,0.075739, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.095341, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.715766, best_B_strat=,0.032677, best_S_id=,S01, best_S_prof=,2.229398, best_S_strat=,-0.074193, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.501924, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.750023, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.178336, actvprof=,0.001945, id=,B05, PRDE,actvstrat=,0.761707, actvprof=,0.305025, id=,B07, PRDE,actvstrat=,0.032677, actvprof=,2.032114, id=,S01, PRDE,actvstrat=,-0.074193, actvprof=,1.961830, id=,S04, PRDE,actvstrat=,0.418042, actvprof=,0.259188, id=,S05, PRDE,actvstrat=,-0.360513, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,0.075739, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.175060, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.032114, best_B_strat=,0.032677, best_S_id=,S01, best_S_prof=,1.961830, best_S_strat=,-0.074193, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.501924, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.750023, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,-0.178336, actvprof=,0.005278, id=,B05, PRDE,actvstrat=,0.761707, actvprof=,0.299457, id=,B07, PRDE,actvstrat=,0.032677, actvprof=,2.031196, id=,S01, PRDE,actvstrat=,-0.074193, actvprof=,1.981888, id=,S04, PRDE,actvstrat=,0.418042, actvprof=,0.281817, id=,S05, PRDE,actvstrat=,-0.360513, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,0.075739, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.175060, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.031196, best_B_strat=,0.032677, best_S_id=,S01, best_S_prof=,1.981888, best_S_strat=,-0.074193, 
t=,97200, id=,B01, PRDE,actvstrat=,0.842191, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.949705, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.315095, actvprof=,0.144456, id=,B07, PRDE,actvstrat=,0.635836, actvprof=,3.000528, id=,S01, PRDE,actvstrat=,-0.145113, actvprof=,1.585965, id=,S04, PRDE,actvstrat=,-0.285743, actvprof=,0.015557, id=,S05, PRDE,actvstrat=,0.464248, actvprof=,0.025280, id=,S07, PRDE,actvstrat=,0.358504, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.771606, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.000528, best_B_strat=,0.635836, best_S_id=,S01, best_S_prof=,1.585965, best_S_strat=,-0.145113, 
t=,100800, id=,B01, PRDE,actvstrat=,0.842191, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,-0.949705, actvprof=,0.002083, id=,B05, PRDE,actvstrat=,0.315095, actvprof=,0.160562, id=,B07, PRDE,actvstrat=,0.635836, actvprof=,2.993180, id=,S01, PRDE,actvstrat=,-0.145113, actvprof=,1.591177, id=,S04, PRDE,actvstrat=,-0.285743, actvprof=,0.027918, id=,S05, PRDE,actvstrat=,0.464248, actvprof=,0.022640, id=,S07, PRDE,actvstrat=,0.358504, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.771606, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.993180, best_B_strat=,0.635836, best_S_id=,S01, best_S_prof=,1.591177, best_S_strat=,-0.145113, 
t=,104400, id=,B01, PRDE,actvstrat=,0.143634, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.344436, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,0.545230, actvprof=,0.149457, id=,B07, PRDE,actvstrat=,0.387600, actvprof=,2.400478, id=,S01, PRDE,actvstrat=,-0.456819, actvprof=,1.250660, id=,S04, PRDE,actvstrat=,-0.523686, actvprof=,0.033058, id=,S05, PRDE,actvstrat=,-0.103745, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.847114, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.814849, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.400478, best_B_strat=,0.387600, best_S_id=,S01, best_S_prof=,1.250660, best_S_strat=,-0.456819, 
t=,108000, id=,B01, PRDE,actvstrat=,0.143634, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.344436, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,0.545230, actvprof=,0.154590, id=,B07, PRDE,actvstrat=,0.387600, actvprof=,2.455658, id=,S01, PRDE,actvstrat=,-0.456819, actvprof=,1.279498, id=,S04, PRDE,actvstrat=,-0.523686, actvprof=,0.030974, id=,S05, PRDE,actvstrat=,-0.103745, actvprof=,0.000972, id=,S07, PRDE,actvstrat=,0.847114, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.814849, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.455658, best_B_strat=,0.387600, best_S_id=,S01, best_S_prof=,1.279498, best_S_strat=,-0.456819, 
