t=,75600, id=,B00, PRDE,actvstrat=,0.461283, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.272639, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.497438, actvprof=,0.096122, id=,B07, PRDE,actvstrat=,0.622887, actvprof=,3.477609, id=,B08, PRDE,actvstrat=,0.136905, actvprof=,4.307145, id=,S01, PRDE,actvstrat=,-0.606667, actvprof=,1.242916, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.919936, id=,S04, PRDE,actvstrat=,0.091581, actvprof=,0.115291, id=,S06, PRDE,actvstrat=,0.855401, actvprof=,0.015557, id=,S09, PRDE,actvstrat=,-0.429736, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.307145, best_B_strat=,0.136905, best_S_id=,S03, best_S_prof=,1.919936, best_S_strat=,-1.000000, 
t=,79200, id=,B00, PRDE,actvstrat=,0.461283, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.272639, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.497438, actvprof=,0.094450, id=,B07, PRDE,actvstrat=,0.622887, actvprof=,3.484916, id=,B08, PRDE,actvstrat=,0.136905, actvprof=,4.205928, id=,S01, PRDE,actvstrat=,-0.606667, actvprof=,1.231735, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.930246, id=,S04, PRDE,actvstrat=,0.091581, actvprof=,0.123618, id=,S06, PRDE,actvstrat=,0.855401, actvprof=,0.010556, id=,S09, PRDE,actvstrat=,-0.429736, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.205928, best_B_strat=,0.136905, best_S_id=,S03, best_S_prof=,1.930246, best_S_strat=,-1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.394279, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.096201, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.851551, actvprof=,1.179298, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.359095, id=,B08, PRDE,actvstrat=,-0.417328, actvprof=,3.624292, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.828592, id=,S03, PRDE,actvstrat=,0.943173, actvprof=,1.575453, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.343371, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.359095, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.828592, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.394279, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.096201, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.851551, actvprof=,1.174926, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.343714, id=,B08, PRDE,actvstrat=,-0.417328, actvprof=,3.682705, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.859853, id=,S03, PRDE,actvstrat=,0.943173, actvprof=,1.552864, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.354603, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.343714, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.859853, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,0.677934, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.814052, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.917435, actvprof=,0.453384, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.040893, id=,B08, PRDE,actvstrat=,-0.435278, actvprof=,2.318869, id=,S01, PRDE,actvstrat=,0.068513, actvprof=,3.165074, id=,S03, PRDE,actvstrat=,0.943173, actvprof=,2.521391, id=,S04, PRDE,actvstrat=,0.123518, actvprof=,0.311146, id=,S06, PRDE,actvstrat=,-0.238512, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.489436, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.040893, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.165074, best_S_strat=,0.068513, 
t=,93600, id=,B00, PRDE,actvstrat=,0.677934, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.814052, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.917435, actvprof=,0.464748, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.052392, id=,B08, PRDE,actvstrat=,-0.435278, actvprof=,2.298044, id=,S01, PRDE,actvstrat=,0.068513, actvprof=,3.181843, id=,S03, PRDE,actvstrat=,0.943173, actvprof=,2.471387, id=,S04, PRDE,actvstrat=,0.123518, actvprof=,0.288627, id=,S06, PRDE,actvstrat=,-0.238512, actvprof=,0.003195, id=,S09, PRDE,actvstrat=,0.489436, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.052392, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.181843, best_S_strat=,0.068513, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.359422, actvprof=,1.285421, id=,B07, PRDE,actvstrat=,-0.580716, actvprof=,2.795033, id=,B08, PRDE,actvstrat=,-0.128069, actvprof=,4.855262, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.736804, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.851206, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.124180, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.131153, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.855262, best_B_strat=,-0.128069, best_S_id=,S01, best_S_prof=,3.736804, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.359422, actvprof=,1.268673, id=,B07, PRDE,actvstrat=,-0.580716, actvprof=,2.735272, id=,B08, PRDE,actvstrat=,-0.128069, actvprof=,4.942046, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.759766, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.881015, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.120006, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.131153, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.942046, best_B_strat=,-0.128069, best_S_id=,S01, best_S_prof=,3.759766, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.394279, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.096201, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.589690, actvprof=,1.255990, id=,B07, PRDE,actvstrat=,-0.856696, actvprof=,1.142643, id=,B08, PRDE,actvstrat=,-0.128069, actvprof=,4.743371, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.866872, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.101804, id=,S04, PRDE,actvstrat=,-0.990303, actvprof=,0.083066, id=,S06, PRDE,actvstrat=,0.094462, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.722001, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.743371, best_B_strat=,-0.128069, best_S_id=,S01, best_S_prof=,3.866872, best_S_strat=,-1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.394279, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.096201, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.589690, actvprof=,1.294942, id=,B07, PRDE,actvstrat=,-0.856696, actvprof=,1.325777, id=,B08, PRDE,actvstrat=,-0.128069, actvprof=,4.701405, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.898716, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.063261, id=,S04, PRDE,actvstrat=,-0.990303, actvprof=,0.078060, id=,S06, PRDE,actvstrat=,0.094462, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.722001, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.701405, best_B_strat=,-0.128069, best_S_id=,S01, best_S_prof=,3.898716, best_S_strat=,-1.000000, 
