t=,75600, id=,B00, PRDE,actvstrat=,0.187382, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.327338, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.765045, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.758148, actvprof=,3.170454, id=,B08, PRDE,actvstrat=,-0.842455, actvprof=,1.176176, id=,S00, PRDE,actvstrat=,-0.408475, actvprof=,1.543697, id=,S02, PRDE,actvstrat=,-0.423082, actvprof=,0.403911, id=,S04, PRDE,actvstrat=,0.142015, actvprof=,0.119173, id=,S08, PRDE,actvstrat=,-0.703389, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.501949, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.170454, best_B_strat=,0.758148, best_S_id=,S00, best_S_prof=,1.543697, best_S_strat=,-0.408475, 
t=,79200, id=,B00, PRDE,actvstrat=,0.187382, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.327338, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.765045, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.758148, actvprof=,3.138976, id=,B08, PRDE,actvstrat=,-0.842455, actvprof=,1.255313, id=,S00, PRDE,actvstrat=,-0.408475, actvprof=,1.531848, id=,S02, PRDE,actvstrat=,-0.423082, actvprof=,0.380011, id=,S04, PRDE,actvstrat=,0.142015, actvprof=,0.131254, id=,S08, PRDE,actvstrat=,-0.703389, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.501949, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.138976, best_B_strat=,0.758148, best_S_id=,S00, best_S_prof=,1.531848, best_S_strat=,-0.408475, 
t=,82800, id=,B00, PRDE,actvstrat=,0.826396, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.799682, actvprof=,0.010278, id=,B04, PRDE,actvstrat=,0.262584, actvprof=,0.023612, id=,B07, PRDE,actvstrat=,0.192240, actvprof=,3.015723, id=,B08, PRDE,actvstrat=,0.500300, actvprof=,5.311962, id=,S00, PRDE,actvstrat=,0.172597, actvprof=,2.750153, id=,S02, PRDE,actvstrat=,-0.511150, actvprof=,0.140286, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.488083, id=,S08, PRDE,actvstrat=,-0.452939, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.577505, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.311962, best_B_strat=,0.500300, best_S_id=,S00, best_S_prof=,2.750153, best_S_strat=,0.172597, 
t=,86400, id=,B00, PRDE,actvstrat=,0.826396, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.799682, actvprof=,0.005833, id=,B04, PRDE,actvstrat=,0.262584, actvprof=,0.018889, id=,B07, PRDE,actvstrat=,0.192240, actvprof=,2.951054, id=,B08, PRDE,actvstrat=,0.500300, actvprof=,5.147226, id=,S00, PRDE,actvstrat=,0.172597, actvprof=,2.941054, id=,S02, PRDE,actvstrat=,-0.511150, actvprof=,0.202506, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.543904, id=,S08, PRDE,actvstrat=,-0.452939, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.577505, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.147226, best_B_strat=,0.500300, best_S_id=,S00, best_S_prof=,2.941054, best_S_strat=,0.172597, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.092828, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.155589, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.816358, actvprof=,0.021668, id=,B07, PRDE,actvstrat=,0.544701, actvprof=,3.014612, id=,B08, PRDE,actvstrat=,-0.584125, actvprof=,2.838769, id=,S00, PRDE,actvstrat=,0.853984, actvprof=,6.646203, id=,S02, PRDE,actvstrat=,-0.556179, actvprof=,0.289461, id=,S04, PRDE,actvstrat=,0.705995, actvprof=,0.210567, id=,S08, PRDE,actvstrat=,0.291263, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.561613, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.014612, best_B_strat=,0.544701, best_S_id=,S00, best_S_prof=,6.646203, best_S_strat=,0.853984, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.092828, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.155589, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.816358, actvprof=,0.025556, id=,B07, PRDE,actvstrat=,0.544701, actvprof=,3.154927, id=,B08, PRDE,actvstrat=,-0.584125, actvprof=,2.812003, id=,S00, PRDE,actvstrat=,0.853984, actvprof=,6.652777, id=,S02, PRDE,actvstrat=,-0.556179, actvprof=,0.271672, id=,S04, PRDE,actvstrat=,0.705995, actvprof=,0.208338, id=,S08, PRDE,actvstrat=,0.291263, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.561613, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.154927, best_B_strat=,0.544701, best_S_id=,S00, best_S_prof=,6.652777, best_S_strat=,0.853984, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.383682, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.716249, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.873159, actvprof=,0.020557, id=,B07, PRDE,actvstrat=,0.301795, actvprof=,2.985721, id=,B08, PRDE,actvstrat=,0.561668, actvprof=,5.055281, id=,S00, PRDE,actvstrat=,-0.243373, actvprof=,1.083949, id=,S02, PRDE,actvstrat=,0.284242, actvprof=,1.242291, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.671704, id=,S08, PRDE,actvstrat=,0.927399, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.690428, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.055281, best_B_strat=,0.561668, best_S_id=,S02, best_S_prof=,1.242291, best_S_strat=,0.284242, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.383682, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.716249, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.873159, actvprof=,0.026806, id=,B07, PRDE,actvstrat=,0.301795, actvprof=,2.980222, id=,B08, PRDE,actvstrat=,0.561668, actvprof=,5.110003, id=,S00, PRDE,actvstrat=,-0.243373, actvprof=,1.197394, id=,S02, PRDE,actvstrat=,0.284242, actvprof=,1.217812, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.686964, id=,S08, PRDE,actvstrat=,0.927399, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.690428, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.110003, best_B_strat=,0.561668, best_S_id=,S02, best_S_prof=,1.217812, best_S_strat=,0.284242, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.383682, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.806107, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.873159, actvprof=,0.002778, id=,B07, PRDE,actvstrat=,0.951803, actvprof=,3.279117, id=,B08, PRDE,actvstrat=,0.167062, actvprof=,3.321064, id=,S00, PRDE,actvstrat=,-0.870684, actvprof=,0.246684, id=,S02, PRDE,actvstrat=,0.051148, actvprof=,1.502604, id=,S04, PRDE,actvstrat=,0.545705, actvprof=,0.262518, id=,S08, PRDE,actvstrat=,-0.559608, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.516763, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.321064, best_B_strat=,0.167062, best_S_id=,S02, best_S_prof=,1.502604, best_S_strat=,0.051148, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.383682, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.806107, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.873159, actvprof=,0.001944, id=,B07, PRDE,actvstrat=,0.951803, actvprof=,3.117587, id=,B08, PRDE,actvstrat=,0.167062, actvprof=,3.306759, id=,S00, PRDE,actvstrat=,-0.870684, actvprof=,0.260979, id=,S02, PRDE,actvstrat=,0.051148, actvprof=,1.591850, id=,S04, PRDE,actvstrat=,0.545705, actvprof=,0.367510, id=,S08, PRDE,actvstrat=,-0.559608, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.516763, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.306759, best_B_strat=,0.167062, best_S_id=,S02, best_S_prof=,1.591850, best_S_strat=,0.051148, 
