t=,75600, id=,B00, PRDE,actvstrat=,-0.094383, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.602808, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.469294, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.757809, actvprof=,1.315055, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,4.713530, id=,S02, PRDE,actvstrat=,-0.777976, actvprof=,1.690904, id=,S03, PRDE,actvstrat=,-0.778920, actvprof=,0.905871, id=,S04, PRDE,actvstrat=,-0.190243, actvprof=,0.574746, id=,S05, PRDE,actvstrat=,0.034981, actvprof=,0.318069, id=,S06, PRDE,actvstrat=,0.631393, actvprof=,0.057225, best_B_id=,B09, best_B_prof=,4.713530, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.690904, best_S_strat=,-0.777976, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.094383, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.602808, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.469294, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.757809, actvprof=,1.314472, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,4.773988, id=,S02, PRDE,actvstrat=,-0.777976, actvprof=,1.750453, id=,S03, PRDE,actvstrat=,-0.778920, actvprof=,0.951270, id=,S04, PRDE,actvstrat=,-0.190243, actvprof=,0.561123, id=,S05, PRDE,actvstrat=,0.034981, actvprof=,0.289589, id=,S06, PRDE,actvstrat=,0.631393, actvprof=,0.054307, best_B_id=,B09, best_B_prof=,4.773988, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.750453, best_S_strat=,-0.777976, 
t=,82800, id=,B00, PRDE,actvstrat=,0.168566, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.125823, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.120441, actvprof=,1.747851, id=,B09, PRDE,actvstrat=,-0.404754, actvprof=,4.558801, id=,S02, PRDE,actvstrat=,0.312889, actvprof=,2.383988, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.060919, id=,S04, PRDE,actvstrat=,-0.029618, actvprof=,0.110282, id=,S05, PRDE,actvstrat=,0.138272, actvprof=,0.013334, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.004167, best_B_id=,B09, best_B_prof=,4.558801, best_B_strat=,-0.404754, best_S_id=,S02, best_S_prof=,2.383988, best_S_strat=,0.312889, 
t=,86400, id=,B00, PRDE,actvstrat=,0.168566, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.125823, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.120441, actvprof=,1.793232, id=,B09, PRDE,actvstrat=,-0.404754, actvprof=,4.548150, id=,S02, PRDE,actvstrat=,0.312889, actvprof=,2.348382, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.002820, id=,S04, PRDE,actvstrat=,-0.029618, actvprof=,0.118197, id=,S05, PRDE,actvstrat=,0.138272, actvprof=,0.008334, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.008195, best_B_id=,B09, best_B_prof=,4.548150, best_B_strat=,-0.404754, best_S_id=,S02, best_S_prof=,2.348382, best_S_strat=,0.312889, 
t=,90000, id=,B00, PRDE,actvstrat=,0.454226, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.299397, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.569202, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.596480, actvprof=,2.801861, id=,B09, PRDE,actvstrat=,-0.380769, actvprof=,3.857490, id=,S02, PRDE,actvstrat=,0.855286, actvprof=,3.906938, id=,S03, PRDE,actvstrat=,0.744600, actvprof=,2.076533, id=,S04, PRDE,actvstrat=,0.598382, actvprof=,0.555594, id=,S05, PRDE,actvstrat=,0.213341, actvprof=,0.070560, id=,S06, PRDE,actvstrat=,0.631393, actvprof=,0.027502, best_B_id=,B09, best_B_prof=,3.857490, best_B_strat=,-0.380769, best_S_id=,S02, best_S_prof=,3.906938, best_S_strat=,0.855286, 
t=,93600, id=,B00, PRDE,actvstrat=,0.454226, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.299397, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.569202, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.596480, actvprof=,2.826348, id=,B09, PRDE,actvstrat=,-0.380769, actvprof=,3.881663, id=,S02, PRDE,actvstrat=,0.855286, actvprof=,3.914580, id=,S03, PRDE,actvstrat=,0.744600, actvprof=,2.031876, id=,S04, PRDE,actvstrat=,0.598382, actvprof=,0.529880, id=,S05, PRDE,actvstrat=,0.213341, actvprof=,0.061530, id=,S06, PRDE,actvstrat=,0.631393, actvprof=,0.026668, best_B_id=,B09, best_B_prof=,3.881663, best_B_strat=,-0.380769, best_S_id=,S02, best_S_prof=,3.914580, best_S_strat=,0.855286, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.255914, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.160674, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.298135, actvprof=,2.756025, id=,B09, PRDE,actvstrat=,0.771715, actvprof=,8.041392, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.772693, id=,S03, PRDE,actvstrat=,0.282104, actvprof=,0.461143, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.188069, id=,S05, PRDE,actvstrat=,0.589505, actvprof=,0.020557, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.012223, best_B_id=,B09, best_B_prof=,8.041392, best_B_strat=,0.771715, best_S_id=,S02, best_S_prof=,2.772693, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.255914, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.160674, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.298135, actvprof=,2.669556, id=,B09, PRDE,actvstrat=,0.771715, actvprof=,7.895885, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.817479, id=,S03, PRDE,actvstrat=,0.282104, actvprof=,0.483909, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.197647, id=,S05, PRDE,actvstrat=,0.589505, actvprof=,0.022918, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.012223, best_B_id=,B09, best_B_prof=,7.895885, best_B_strat=,0.771715, best_S_id=,S02, best_S_prof=,2.817479, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,0.725812, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.590369, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.128600, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.041541, actvprof=,1.984610, id=,B09, PRDE,actvstrat=,-0.857099, actvprof=,2.437148, id=,S02, PRDE,actvstrat=,0.678761, actvprof=,3.408895, id=,S03, PRDE,actvstrat=,-0.325170, actvprof=,0.389755, id=,S04, PRDE,actvstrat=,0.396426, actvprof=,0.307526, id=,S05, PRDE,actvstrat=,0.681890, actvprof=,0.035003, id=,S06, PRDE,actvstrat=,0.631393, actvprof=,0.003334, best_B_id=,B09, best_B_prof=,2.437148, best_B_strat=,-0.857099, best_S_id=,S02, best_S_prof=,3.408895, best_S_strat=,0.678761, 
t=,108000, id=,B00, PRDE,actvstrat=,0.725812, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.590369, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.128600, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.041541, actvprof=,1.925497, id=,B09, PRDE,actvstrat=,-0.857099, actvprof=,2.556495, id=,S02, PRDE,actvstrat=,0.678761, actvprof=,3.440421, id=,S03, PRDE,actvstrat=,-0.325170, actvprof=,0.390016, id=,S04, PRDE,actvstrat=,0.396426, actvprof=,0.282651, id=,S05, PRDE,actvstrat=,0.681890, actvprof=,0.038613, id=,S06, PRDE,actvstrat=,0.631393, actvprof=,0.001806, best_B_id=,B09, best_B_prof=,2.556495, best_B_strat=,-0.857099, best_S_id=,S02, best_S_prof=,3.440421, best_S_strat=,0.678761, 
