t=,75600, id=,B00, PRDE,actvstrat=,-0.945907, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.918301, actvprof=,0.036669, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.893118, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.208764, id=,B08, PRDE,actvstrat=,-0.326106, actvprof=,3.346899, id=,S00, PRDE,actvstrat=,-0.678646, actvprof=,1.351761, id=,S01, PRDE,actvstrat=,0.700893, actvprof=,4.083617, id=,S07, PRDE,actvstrat=,0.624715, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.253663, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.318483, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.346899, best_B_strat=,-0.326106, best_S_id=,S01, best_S_prof=,4.083617, best_S_strat=,0.700893, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.945907, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.918301, actvprof=,0.037085, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.862530, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.236467, id=,B08, PRDE,actvstrat=,-0.326106, actvprof=,3.264141, id=,S00, PRDE,actvstrat=,-0.678646, actvprof=,1.264488, id=,S01, PRDE,actvstrat=,0.700893, actvprof=,4.149033, id=,S07, PRDE,actvstrat=,0.624715, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.253663, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.318483, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.264141, best_B_strat=,-0.326106, best_S_id=,S01, best_S_prof=,4.149033, best_S_strat=,0.700893, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.010747, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.020835, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.756719, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.525175, id=,B08, PRDE,actvstrat=,0.142494, actvprof=,4.476422, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.722689, id=,S01, PRDE,actvstrat=,0.793938, actvprof=,4.590874, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.062082, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.476422, best_B_strat=,0.142494, best_S_id=,S00, best_S_prof=,6.722689, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.010747, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.025001, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.765027, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.449807, id=,B08, PRDE,actvstrat=,0.142494, actvprof=,4.400986, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.770096, id=,S01, PRDE,actvstrat=,0.793938, actvprof=,4.556547, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.062082, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.400986, best_B_strat=,0.142494, best_S_id=,S00, best_S_prof=,6.770096, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.359320, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.917571, actvprof=,0.018057, id=,B05, PRDE,actvstrat=,0.996609, actvprof=,0.297525, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.749312, id=,B08, PRDE,actvstrat=,0.532168, actvprof=,4.478984, id=,S00, PRDE,actvstrat=,0.422247, actvprof=,4.984304, id=,S01, PRDE,actvstrat=,-0.974516, actvprof=,0.328083, id=,S07, PRDE,actvstrat=,-0.536823, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.255483, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.478984, best_B_strat=,0.532168, best_S_id=,S00, best_S_prof=,4.984304, best_S_strat=,0.422247, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.359320, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.917571, actvprof=,0.018612, id=,B05, PRDE,actvstrat=,0.996609, actvprof=,0.293621, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.669086, id=,B08, PRDE,actvstrat=,0.532168, actvprof=,4.484600, id=,S00, PRDE,actvstrat=,0.422247, actvprof=,5.116844, id=,S01, PRDE,actvstrat=,-0.974516, actvprof=,0.268759, id=,S07, PRDE,actvstrat=,-0.536823, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.255483, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.484600, best_B_strat=,0.532168, best_S_id=,S00, best_S_prof=,5.116844, best_S_strat=,0.422247, 
t=,97200, id=,B00, PRDE,actvstrat=,0.612478, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.882707, actvprof=,0.372809, id=,B05, PRDE,actvstrat=,0.689470, actvprof=,1.482346, id=,B06, PRDE,actvstrat=,-0.213138, actvprof=,1.506237, id=,B08, PRDE,actvstrat=,-0.340880, actvprof=,4.311748, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.117926, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.267578, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.567271, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.311748, best_B_strat=,-0.340880, best_S_id=,S00, best_S_prof=,5.117926, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,0.612478, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.882707, actvprof=,0.408484, id=,B05, PRDE,actvstrat=,0.689470, actvprof=,1.535182, id=,B06, PRDE,actvstrat=,-0.213138, actvprof=,1.453929, id=,B08, PRDE,actvstrat=,-0.340880, actvprof=,4.262341, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.098336, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.174283, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.567271, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.262341, best_B_strat=,-0.340880, best_S_id=,S00, best_S_prof=,5.098336, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.010747, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.882707, actvprof=,0.021390, id=,B05, PRDE,actvstrat=,0.145623, actvprof=,0.284186, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.375165, id=,B08, PRDE,actvstrat=,-0.151116, actvprof=,3.761650, id=,S00, PRDE,actvstrat=,0.009793, actvprof=,2.439058, id=,S01, PRDE,actvstrat=,-0.548916, actvprof=,0.432252, id=,S07, PRDE,actvstrat=,-0.029158, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.645079, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.383723, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.761650, best_B_strat=,-0.151116, best_S_id=,S00, best_S_prof=,2.439058, best_S_strat=,0.009793, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.010747, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.882707, actvprof=,0.023334, id=,B05, PRDE,actvstrat=,0.145623, actvprof=,0.284595, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.330653, id=,B08, PRDE,actvstrat=,-0.151116, actvprof=,3.647652, id=,S00, PRDE,actvstrat=,0.009793, actvprof=,2.460797, id=,S01, PRDE,actvstrat=,-0.548916, actvprof=,0.424740, id=,S07, PRDE,actvstrat=,-0.029158, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.645079, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.383723, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.647652, best_B_strat=,-0.151116, best_S_id=,S00, best_S_prof=,2.460797, best_S_strat=,0.009793, 
