t=,75600, id=,B00, PRDE,actvstrat=,-0.441228, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.805362, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.650186, actvprof=,2.316743, id=,B07, PRDE,actvstrat=,-0.936294, actvprof=,0.919863, id=,B08, PRDE,actvstrat=,0.942529, actvprof=,5.790329, id=,S00, PRDE,actvstrat=,0.908369, actvprof=,6.089541, id=,S02, PRDE,actvstrat=,0.725762, actvprof=,2.074761, id=,S03, PRDE,actvstrat=,0.696114, actvprof=,0.692328, id=,S07, PRDE,actvstrat=,-0.128794, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.424546, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.790329, best_B_strat=,0.942529, best_S_id=,S00, best_S_prof=,6.089541, best_S_strat=,0.908369, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.441228, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.805362, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.650186, actvprof=,2.346151, id=,B07, PRDE,actvstrat=,-0.936294, actvprof=,0.879234, id=,B08, PRDE,actvstrat=,0.942529, actvprof=,5.881144, id=,S00, PRDE,actvstrat=,0.908369, actvprof=,5.977262, id=,S02, PRDE,actvstrat=,0.725762, actvprof=,2.001681, id=,S03, PRDE,actvstrat=,0.696114, actvprof=,0.667273, id=,S07, PRDE,actvstrat=,-0.128794, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.424546, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.881144, best_B_strat=,0.942529, best_S_id=,S00, best_S_prof=,5.977262, best_S_strat=,0.908369, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.441228, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.301355, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.650186, actvprof=,1.644719, id=,B07, PRDE,actvstrat=,-0.155999, actvprof=,1.760293, id=,B08, PRDE,actvstrat=,0.579907, actvprof=,4.699117, id=,S00, PRDE,actvstrat=,0.382114, actvprof=,4.120409, id=,S02, PRDE,actvstrat=,0.310104, actvprof=,1.497472, id=,S03, PRDE,actvstrat=,0.730665, actvprof=,1.233817, id=,S07, PRDE,actvstrat=,-0.938807, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.395665, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.699117, best_B_strat=,0.579907, best_S_id=,S00, best_S_prof=,4.120409, best_S_strat=,0.382114, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.441228, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.301355, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.650186, actvprof=,1.611512, id=,B07, PRDE,actvstrat=,-0.155999, actvprof=,1.676378, id=,B08, PRDE,actvstrat=,0.579907, actvprof=,4.685914, id=,S00, PRDE,actvstrat=,0.382114, actvprof=,4.076700, id=,S02, PRDE,actvstrat=,0.310104, actvprof=,1.507060, id=,S03, PRDE,actvstrat=,0.730665, actvprof=,1.264819, id=,S07, PRDE,actvstrat=,-0.938807, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.395665, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.685914, best_B_strat=,0.579907, best_S_id=,S00, best_S_prof=,4.076700, best_S_strat=,0.382114, 
t=,90000, id=,B00, PRDE,actvstrat=,0.097299, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.666715, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.650186, actvprof=,1.461077, id=,B07, PRDE,actvstrat=,-0.155999, actvprof=,1.675557, id=,B08, PRDE,actvstrat=,0.942529, actvprof=,5.035284, id=,S00, PRDE,actvstrat=,0.382114, actvprof=,4.576040, id=,S02, PRDE,actvstrat=,-0.074408, actvprof=,0.635106, id=,S03, PRDE,actvstrat=,0.730665, actvprof=,1.368839, id=,S07, PRDE,actvstrat=,-0.325068, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.395665, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.035284, best_B_strat=,0.942529, best_S_id=,S00, best_S_prof=,4.576040, best_S_strat=,0.382114, 
t=,93600, id=,B00, PRDE,actvstrat=,0.097299, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.666715, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.650186, actvprof=,1.472762, id=,B07, PRDE,actvstrat=,-0.155999, actvprof=,1.598328, id=,B08, PRDE,actvstrat=,0.942529, actvprof=,5.047504, id=,S00, PRDE,actvstrat=,0.382114, actvprof=,4.295358, id=,S02, PRDE,actvstrat=,-0.074408, actvprof=,0.664917, id=,S03, PRDE,actvstrat=,0.730665, actvprof=,1.337195, id=,S07, PRDE,actvstrat=,-0.325068, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.395665, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.047504, best_B_strat=,0.942529, best_S_id=,S00, best_S_prof=,4.295358, best_S_strat=,0.382114, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.441228, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.666715, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.650186, actvprof=,0.892649, id=,B07, PRDE,actvstrat=,0.533507, actvprof=,2.208146, id=,B08, PRDE,actvstrat=,0.579907, actvprof=,3.987609, id=,S00, PRDE,actvstrat=,-0.111788, actvprof=,2.456521, id=,S02, PRDE,actvstrat=,0.310104, actvprof=,2.181753, id=,S03, PRDE,actvstrat=,-0.117198, actvprof=,0.362560, id=,S07, PRDE,actvstrat=,-0.128794, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.395665, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.987609, best_B_strat=,0.579907, best_S_id=,S00, best_S_prof=,2.456521, best_S_strat=,-0.111788, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.441228, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.666715, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.650186, actvprof=,0.922160, id=,B07, PRDE,actvstrat=,0.533507, actvprof=,2.264078, id=,B08, PRDE,actvstrat=,0.579907, actvprof=,3.982137, id=,S00, PRDE,actvstrat=,-0.111788, actvprof=,2.494652, id=,S02, PRDE,actvstrat=,0.310104, actvprof=,2.065311, id=,S03, PRDE,actvstrat=,-0.117198, actvprof=,0.315165, id=,S07, PRDE,actvstrat=,-0.128794, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.395665, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.982137, best_B_strat=,0.579907, best_S_id=,S00, best_S_prof=,2.494652, best_S_strat=,-0.111788, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.753396, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.721312, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.538844, actvprof=,1.403051, id=,B07, PRDE,actvstrat=,-0.155999, actvprof=,1.626427, id=,B08, PRDE,actvstrat=,0.579907, actvprof=,4.667574, id=,S00, PRDE,actvstrat=,-0.111788, actvprof=,2.150418, id=,S02, PRDE,actvstrat=,0.310104, actvprof=,1.586420, id=,S03, PRDE,actvstrat=,0.730665, actvprof=,1.245242, id=,S07, PRDE,actvstrat=,-0.938807, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.424546, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.667574, best_B_strat=,0.579907, best_S_id=,S00, best_S_prof=,2.150418, best_S_strat=,-0.111788, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.753396, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.721312, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.538844, actvprof=,1.399858, id=,B07, PRDE,actvstrat=,-0.155999, actvprof=,1.613907, id=,B08, PRDE,actvstrat=,0.579907, actvprof=,4.686983, id=,S00, PRDE,actvstrat=,-0.111788, actvprof=,2.199242, id=,S02, PRDE,actvstrat=,0.310104, actvprof=,1.555985, id=,S03, PRDE,actvstrat=,0.730665, actvprof=,1.225814, id=,S07, PRDE,actvstrat=,-0.938807, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.424546, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.686983, best_B_strat=,0.579907, best_S_id=,S00, best_S_prof=,2.199242, best_S_strat=,-0.111788, 
