t=,75600, id=,B00, PRDE,actvstrat=,-0.640815, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.183713, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.388612, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.345068, actvprof=,0.018613, id=,B06, PRDE,actvstrat=,0.619903, actvprof=,1.518759, id=,S03, PRDE,actvstrat=,-0.247281, actvprof=,0.101677, id=,S04, PRDE,actvstrat=,-0.748978, actvprof=,0.010279, id=,S05, PRDE,actvstrat=,0.773470, actvprof=,0.017224, id=,S07, PRDE,actvstrat=,-0.141767, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.490497, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.518759, best_B_strat=,0.619903, best_S_id=,S03, best_S_prof=,0.101677, best_S_strat=,-0.247281, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.640815, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.183713, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.388612, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.345068, actvprof=,0.034863, id=,B06, PRDE,actvstrat=,0.619903, actvprof=,1.614801, id=,S03, PRDE,actvstrat=,-0.247281, actvprof=,0.087365, id=,S04, PRDE,actvstrat=,-0.748978, actvprof=,0.007084, id=,S05, PRDE,actvstrat=,0.773470, actvprof=,0.011945, id=,S07, PRDE,actvstrat=,-0.141767, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.490497, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.614801, best_B_strat=,0.619903, best_S_id=,S03, best_S_prof=,0.087365, best_S_strat=,-0.247281, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.420276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.783490, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.291245, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.345068, actvprof=,0.032225, id=,B06, PRDE,actvstrat=,0.890331, actvprof=,1.886268, id=,S03, PRDE,actvstrat=,-0.959770, actvprof=,0.014446, id=,S04, PRDE,actvstrat=,0.630880, actvprof=,0.285302, id=,S05, PRDE,actvstrat=,0.106128, actvprof=,0.006945, id=,S07, PRDE,actvstrat=,0.759909, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.884660, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.886268, best_B_strat=,0.890331, best_S_id=,S04, best_S_prof=,0.285302, best_S_strat=,0.630880, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.420276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.783490, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.291245, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.345068, actvprof=,0.025835, id=,B06, PRDE,actvstrat=,0.890331, actvprof=,1.776197, id=,S03, PRDE,actvstrat=,-0.959770, actvprof=,0.007223, id=,S04, PRDE,actvstrat=,0.630880, actvprof=,0.351545, id=,S05, PRDE,actvstrat=,0.106128, actvprof=,0.008334, id=,S07, PRDE,actvstrat=,0.759909, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.884660, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.776197, best_B_strat=,0.890331, best_S_id=,S04, best_S_prof=,0.351545, best_S_strat=,0.630880, 
t=,90000, id=,B00, PRDE,actvstrat=,0.188165, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.572732, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.475659, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.366547, actvprof=,0.219463, id=,B06, PRDE,actvstrat=,0.035565, actvprof=,1.754313, id=,S03, PRDE,actvstrat=,-0.832275, actvprof=,0.015835, id=,S04, PRDE,actvstrat=,0.630880, actvprof=,0.071117, id=,S05, PRDE,actvstrat=,-0.767522, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.222741, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.010894, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.754313, best_B_strat=,0.035565, best_S_id=,S04, best_S_prof=,0.071117, best_S_strat=,0.630880, 
t=,93600, id=,B00, PRDE,actvstrat=,0.188165, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.572732, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.475659, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.366547, actvprof=,0.143063, id=,B06, PRDE,actvstrat=,0.035565, actvprof=,1.423541, id=,S03, PRDE,actvstrat=,-0.832275, actvprof=,0.013612, id=,S04, PRDE,actvstrat=,0.630880, actvprof=,0.137646, id=,S05, PRDE,actvstrat=,-0.767522, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.222741, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.010894, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.423541, best_B_strat=,0.035565, best_S_id=,S04, best_S_prof=,0.137646, best_S_strat=,0.630880, 
t=,97200, id=,B00, PRDE,actvstrat=,0.913827, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.783490, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.291245, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.345068, actvprof=,0.009445, id=,B06, PRDE,actvstrat=,0.890331, actvprof=,1.496812, id=,S03, PRDE,actvstrat=,-0.247281, actvprof=,0.141958, id=,S04, PRDE,actvstrat=,-0.134394, actvprof=,0.050005, id=,S05, PRDE,actvstrat=,0.802450, actvprof=,0.078341, id=,S07, PRDE,actvstrat=,-0.676533, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.884660, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.496812, best_B_strat=,0.890331, best_S_id=,S03, best_S_prof=,0.141958, best_S_strat=,-0.247281, 
t=,100800, id=,B00, PRDE,actvstrat=,0.913827, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.783490, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.291245, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.345068, actvprof=,0.010556, id=,B06, PRDE,actvstrat=,0.890331, actvprof=,1.593550, id=,S03, PRDE,actvstrat=,-0.247281, actvprof=,0.137368, id=,S04, PRDE,actvstrat=,-0.134394, actvprof=,0.044030, id=,S05, PRDE,actvstrat=,0.802450, actvprof=,0.061670, id=,S07, PRDE,actvstrat=,-0.676533, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.884660, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.593550, best_B_strat=,0.890331, best_S_id=,S03, best_S_prof=,0.137368, best_S_strat=,-0.247281, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.420276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.665159, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.805561, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.804861, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,0.890331, actvprof=,1.260956, id=,S03, PRDE,actvstrat=,-0.820425, actvprof=,0.070840, id=,S04, PRDE,actvstrat=,-0.023447, actvprof=,0.130568, id=,S05, PRDE,actvstrat=,0.106128, actvprof=,0.018335, id=,S07, PRDE,actvstrat=,-0.468874, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.724610, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.260956, best_B_strat=,0.890331, best_S_id=,S04, best_S_prof=,0.130568, best_S_strat=,-0.023447, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.420276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.665159, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.805561, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.804861, actvprof=,0.004445, id=,B06, PRDE,actvstrat=,0.890331, actvprof=,1.429931, id=,S03, PRDE,actvstrat=,-0.820425, actvprof=,0.067503, id=,S04, PRDE,actvstrat=,-0.023447, actvprof=,0.125145, id=,S05, PRDE,actvstrat=,0.106128, actvprof=,0.022918, id=,S07, PRDE,actvstrat=,-0.468874, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.724610, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.429931, best_B_strat=,0.890331, best_S_id=,S04, best_S_prof=,0.125145, best_S_strat=,-0.023447, 
