t=,75600, id=,B00, PRDE,actvstrat=,0.073250, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.466446, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.666747, actvprof=,0.003334, id=,B05, PRDE,actvstrat=,0.120508, actvprof=,0.669491, id=,B06, PRDE,actvstrat=,-0.796689, actvprof=,0.674491, id=,S00, PRDE,actvstrat=,0.428700, actvprof=,3.771095, id=,S01, PRDE,actvstrat=,-0.326184, actvprof=,0.717550, id=,S03, PRDE,actvstrat=,-0.616746, actvprof=,0.013612, id=,S05, PRDE,actvstrat=,0.899615, actvprof=,0.001111, id=,S09, PRDE,actvstrat=,-0.455334, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.674491, best_B_strat=,-0.796689, best_S_id=,S00, best_S_prof=,3.771095, best_S_strat=,0.428700, 
t=,79200, id=,B00, PRDE,actvstrat=,0.073250, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.466446, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.666747, actvprof=,0.003750, id=,B05, PRDE,actvstrat=,0.120508, actvprof=,0.646828, id=,B06, PRDE,actvstrat=,-0.796689, actvprof=,0.665023, id=,S00, PRDE,actvstrat=,0.428700, actvprof=,3.774437, id=,S01, PRDE,actvstrat=,-0.326184, actvprof=,0.708497, id=,S03, PRDE,actvstrat=,-0.616746, actvprof=,0.023473, id=,S05, PRDE,actvstrat=,0.899615, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,-0.455334, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.665023, best_B_strat=,-0.796689, best_S_id=,S00, best_S_prof=,3.774437, best_S_strat=,0.428700, 
t=,82800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.269873, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.110032, actvprof=,0.251410, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.352974, id=,S00, PRDE,actvstrat=,-0.301531, actvprof=,1.573464, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.558519, id=,S03, PRDE,actvstrat=,0.140022, actvprof=,0.572270, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.352974, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.558519, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.269873, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,0.110032, actvprof=,0.291401, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.465381, id=,S00, PRDE,actvstrat=,-0.301531, actvprof=,1.691182, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.443282, id=,S03, PRDE,actvstrat=,0.140022, actvprof=,0.528911, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.465381, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.443282, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.602965, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.834882, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.699403, actvprof=,0.026113, id=,B05, PRDE,actvstrat=,0.039329, actvprof=,0.875629, id=,B06, PRDE,actvstrat=,-0.695835, actvprof=,1.237048, id=,S00, PRDE,actvstrat=,0.454964, actvprof=,3.366669, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.985610, id=,S03, PRDE,actvstrat=,0.511639, actvprof=,0.206684, id=,S05, PRDE,actvstrat=,-0.346128, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.237048, best_B_strat=,-0.695835, best_S_id=,S01, best_S_prof=,3.985610, best_S_strat=,1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.602965, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.834882, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.699403, actvprof=,0.028195, id=,B05, PRDE,actvstrat=,0.039329, actvprof=,0.875447, id=,B06, PRDE,actvstrat=,-0.695835, actvprof=,1.225181, id=,S00, PRDE,actvstrat=,0.454964, actvprof=,3.462481, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.977777, id=,S03, PRDE,actvstrat=,0.511639, actvprof=,0.206674, id=,S05, PRDE,actvstrat=,-0.346128, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.225181, best_B_strat=,-0.695835, best_S_id=,S01, best_S_prof=,3.977777, best_S_strat=,1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.037094, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,0.102773, actvprof=,0.170292, id=,B06, PRDE,actvstrat=,0.891281, actvprof=,2.126844, id=,S00, PRDE,actvstrat=,-0.521113, actvprof=,2.116287, id=,S01, PRDE,actvstrat=,-0.427519, actvprof=,1.200933, id=,S03, PRDE,actvstrat=,0.021044, actvprof=,0.580604, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.030558, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.126844, best_B_strat=,0.891281, best_S_id=,S00, best_S_prof=,2.116287, best_S_strat=,-0.521113, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.037094, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.002083, id=,B05, PRDE,actvstrat=,0.102773, actvprof=,0.139450, id=,B06, PRDE,actvstrat=,0.891281, actvprof=,2.037029, id=,S00, PRDE,actvstrat=,-0.521113, actvprof=,2.082309, id=,S01, PRDE,actvstrat=,-0.427519, actvprof=,1.123797, id=,S03, PRDE,actvstrat=,0.021044, actvprof=,0.621831, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.044724, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.037029, best_B_strat=,0.891281, best_S_id=,S00, best_S_prof=,2.082309, best_S_strat=,-0.521113, 
t=,104400, id=,B00, PRDE,actvstrat=,0.326958, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.683583, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.417278, actvprof=,0.029169, id=,B05, PRDE,actvstrat=,0.120508, actvprof=,0.460038, id=,B06, PRDE,actvstrat=,0.841897, actvprof=,2.522988, id=,S00, PRDE,actvstrat=,0.428700, actvprof=,4.273689, id=,S01, PRDE,actvstrat=,0.673268, actvprof=,3.551129, id=,S03, PRDE,actvstrat=,0.180515, actvprof=,0.353918, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.035281, id=,S09, PRDE,actvstrat=,0.678065, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.522988, best_B_strat=,0.841897, best_S_id=,S00, best_S_prof=,4.273689, best_S_strat=,0.428700, 
t=,108000, id=,B00, PRDE,actvstrat=,0.326958, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.683583, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.417278, actvprof=,0.031390, id=,B05, PRDE,actvstrat=,0.120508, actvprof=,0.437102, id=,B06, PRDE,actvstrat=,0.841897, actvprof=,2.516216, id=,S00, PRDE,actvstrat=,0.428700, actvprof=,4.284067, id=,S01, PRDE,actvstrat=,0.673268, actvprof=,3.633207, id=,S03, PRDE,actvstrat=,0.180515, actvprof=,0.374182, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.030557, id=,S09, PRDE,actvstrat=,0.678065, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.516216, best_B_strat=,0.841897, best_S_id=,S00, best_S_prof=,4.284067, best_S_strat=,0.428700, 
