t=,75600, id=,B02, PRDE,actvstrat=,0.940379, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,-0.338391, actvprof=,0.026668, id=,B06, PRDE,actvstrat=,-0.375475, actvprof=,1.178399, id=,B07, PRDE,actvstrat=,0.048651, actvprof=,3.527140, id=,B08, PRDE,actvstrat=,-0.404939, actvprof=,4.233291, id=,S00, PRDE,actvstrat=,0.540118, actvprof=,3.966887, id=,S01, PRDE,actvstrat=,-0.412282, actvprof=,0.468082, id=,S06, PRDE,actvstrat=,-0.127237, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.955159, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,-0.221647, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.233291, best_B_strat=,-0.404939, best_S_id=,S00, best_S_prof=,3.966887, best_S_strat=,0.540118, 
t=,79200, id=,B02, PRDE,actvstrat=,0.940379, actvprof=,0.003195, id=,B04, PRDE,actvstrat=,-0.338391, actvprof=,0.019862, id=,B06, PRDE,actvstrat=,-0.375475, actvprof=,1.189477, id=,B07, PRDE,actvstrat=,0.048651, actvprof=,3.459263, id=,B08, PRDE,actvstrat=,-0.404939, actvprof=,4.187616, id=,S00, PRDE,actvstrat=,0.540118, actvprof=,3.892608, id=,S01, PRDE,actvstrat=,-0.412282, actvprof=,0.401956, id=,S06, PRDE,actvstrat=,-0.127237, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.955159, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,-0.221647, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.187616, best_B_strat=,-0.404939, best_S_id=,S00, best_S_prof=,3.892608, best_S_strat=,0.540118, 
t=,82800, id=,B02, PRDE,actvstrat=,0.063680, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.624208, actvprof=,0.008334, id=,B06, PRDE,actvstrat=,0.461147, actvprof=,1.775932, id=,B07, PRDE,actvstrat=,-0.660834, actvprof=,1.638980, id=,B08, PRDE,actvstrat=,-0.130648, actvprof=,3.673260, id=,S00, PRDE,actvstrat=,-0.960614, actvprof=,0.218345, id=,S01, PRDE,actvstrat=,-0.195757, actvprof=,1.070337, id=,S06, PRDE,actvstrat=,-0.076277, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.596844, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.270226, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.673260, best_B_strat=,-0.130648, best_S_id=,S01, best_S_prof=,1.070337, best_S_strat=,-0.195757, 
t=,86400, id=,B02, PRDE,actvstrat=,0.063680, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.624208, actvprof=,0.005695, id=,B06, PRDE,actvstrat=,0.461147, actvprof=,1.681852, id=,B07, PRDE,actvstrat=,-0.660834, actvprof=,1.607128, id=,B08, PRDE,actvstrat=,-0.130648, actvprof=,3.594961, id=,S00, PRDE,actvstrat=,-0.960614, actvprof=,0.229590, id=,S01, PRDE,actvstrat=,-0.195757, actvprof=,0.953360, id=,S06, PRDE,actvstrat=,-0.076277, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.596844, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.270226, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.594961, best_B_strat=,-0.130648, best_S_id=,S01, best_S_prof=,0.953360, best_S_strat=,-0.195757, 
t=,90000, id=,B02, PRDE,actvstrat=,0.088345, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.368460, actvprof=,0.029724, id=,B06, PRDE,actvstrat=,-0.648722, actvprof=,1.078393, id=,B07, PRDE,actvstrat=,0.048651, actvprof=,3.383799, id=,B08, PRDE,actvstrat=,0.757042, actvprof=,6.422301, id=,S00, PRDE,actvstrat=,0.711594, actvprof=,4.504417, id=,S01, PRDE,actvstrat=,0.036565, actvprof=,1.367854, id=,S06, PRDE,actvstrat=,0.830364, actvprof=,0.022223, id=,S07, PRDE,actvstrat=,-0.398776, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.319955, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.422301, best_B_strat=,0.757042, best_S_id=,S00, best_S_prof=,4.504417, best_S_strat=,0.711594, 
t=,93600, id=,B02, PRDE,actvstrat=,0.088345, actvprof=,0.002917, id=,B04, PRDE,actvstrat=,-0.368460, actvprof=,0.034307, id=,B06, PRDE,actvstrat=,-0.648722, actvprof=,1.066696, id=,B07, PRDE,actvstrat=,0.048651, actvprof=,3.415234, id=,B08, PRDE,actvstrat=,0.757042, actvprof=,6.446429, id=,S00, PRDE,actvstrat=,0.711594, actvprof=,4.455679, id=,S01, PRDE,actvstrat=,0.036565, actvprof=,1.383788, id=,S06, PRDE,actvstrat=,0.830364, actvprof=,0.017778, id=,S07, PRDE,actvstrat=,-0.398776, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.319955, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.446429, best_B_strat=,0.757042, best_S_id=,S00, best_S_prof=,4.455679, best_S_strat=,0.711594, 
t=,97200, id=,B02, PRDE,actvstrat=,-0.775743, actvprof=,0.007223, id=,B04, PRDE,actvstrat=,0.125705, actvprof=,0.070006, id=,B06, PRDE,actvstrat=,0.937856, actvprof=,2.501320, id=,B07, PRDE,actvstrat=,0.430597, actvprof=,3.431119, id=,B08, PRDE,actvstrat=,-0.443876, actvprof=,3.157208, id=,S00, PRDE,actvstrat=,0.942053, actvprof=,6.204962, id=,S01, PRDE,actvstrat=,-0.263063, actvprof=,0.622830, id=,S06, PRDE,actvstrat=,0.306932, actvprof=,0.003334, id=,S07, PRDE,actvstrat=,-0.948347, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.477834, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.431119, best_B_strat=,0.430597, best_S_id=,S00, best_S_prof=,6.204962, best_S_strat=,0.942053, 
t=,100800, id=,B02, PRDE,actvstrat=,-0.775743, actvprof=,0.006250, id=,B04, PRDE,actvstrat=,0.125705, actvprof=,0.080698, id=,B06, PRDE,actvstrat=,0.937856, actvprof=,2.464964, id=,B07, PRDE,actvstrat=,0.430597, actvprof=,3.402364, id=,B08, PRDE,actvstrat=,-0.443876, actvprof=,3.194716, id=,S00, PRDE,actvstrat=,0.942053, actvprof=,6.267900, id=,S01, PRDE,actvstrat=,-0.263063, actvprof=,0.781144, id=,S06, PRDE,actvstrat=,0.306932, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,-0.948347, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.477834, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.402364, best_B_strat=,0.430597, best_S_id=,S00, best_S_prof=,6.267900, best_S_strat=,0.942053, 
t=,104400, id=,B02, PRDE,actvstrat=,-0.651935, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.104300, actvprof=,0.090841, id=,B06, PRDE,actvstrat=,-0.612049, actvprof=,1.289552, id=,B07, PRDE,actvstrat=,0.523423, actvprof=,4.369809, id=,B08, PRDE,actvstrat=,-0.589180, actvprof=,3.870045, id=,S00, PRDE,actvstrat=,0.942053, actvprof=,5.638803, id=,S01, PRDE,actvstrat=,-0.195757, actvprof=,0.463372, id=,S06, PRDE,actvstrat=,0.521582, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,0.955159, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.672958, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.369809, best_B_strat=,0.523423, best_S_id=,S00, best_S_prof=,5.638803, best_S_strat=,0.942053, 
t=,108000, id=,B02, PRDE,actvstrat=,-0.651935, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,-0.104300, actvprof=,0.071253, id=,B06, PRDE,actvstrat=,-0.612049, actvprof=,1.191577, id=,B07, PRDE,actvstrat=,0.523423, actvprof=,4.361015, id=,B08, PRDE,actvstrat=,-0.589180, actvprof=,3.972666, id=,S00, PRDE,actvstrat=,0.942053, actvprof=,5.631485, id=,S01, PRDE,actvstrat=,-0.195757, actvprof=,0.453908, id=,S06, PRDE,actvstrat=,0.521582, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,0.955159, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.672958, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.361015, best_B_strat=,0.523423, best_S_id=,S00, best_S_prof=,5.631485, best_S_strat=,0.942053, 
