t=,75600, id=,B01, PRDE,actvstrat=,0.113081, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.122092, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.561621, actvprof=,0.013334, id=,B06, PRDE,actvstrat=,-0.143156, actvprof=,1.227829, id=,B07, PRDE,actvstrat=,0.461534, actvprof=,3.841827, id=,S00, PRDE,actvstrat=,0.194059, actvprof=,3.628207, id=,S02, PRDE,actvstrat=,0.323182, actvprof=,1.307277, id=,S05, PRDE,actvstrat=,-0.808735, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.255069, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.834866, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.841827, best_B_strat=,0.461534, best_S_id=,S00, best_S_prof=,3.628207, best_S_strat=,0.194059, 
t=,79200, id=,B01, PRDE,actvstrat=,0.113081, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.122092, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.561621, actvprof=,0.019584, id=,B06, PRDE,actvstrat=,-0.143156, actvprof=,1.150024, id=,B07, PRDE,actvstrat=,0.461534, actvprof=,3.738828, id=,S00, PRDE,actvstrat=,0.194059, actvprof=,3.598408, id=,S02, PRDE,actvstrat=,0.323182, actvprof=,1.341417, id=,S05, PRDE,actvstrat=,-0.808735, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.255069, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.834866, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.738828, best_B_strat=,0.461534, best_S_id=,S00, best_S_prof=,3.598408, best_S_strat=,0.194059, 
t=,82800, id=,B01, PRDE,actvstrat=,0.780537, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.638390, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.633953, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,-0.646807, actvprof=,0.571960, id=,B07, PRDE,actvstrat=,-0.043952, actvprof=,2.239784, id=,S00, PRDE,actvstrat=,-0.489029, actvprof=,1.684769, id=,S02, PRDE,actvstrat=,-0.506813, actvprof=,0.407234, id=,S05, PRDE,actvstrat=,-0.307350, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,-0.993714, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.340815, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.239784, best_B_strat=,-0.043952, best_S_id=,S00, best_S_prof=,1.684769, best_S_strat=,-0.489029, 
t=,86400, id=,B01, PRDE,actvstrat=,0.780537, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.638390, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.633953, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,-0.646807, actvprof=,0.694737, id=,B07, PRDE,actvstrat=,-0.043952, actvprof=,2.485607, id=,S00, PRDE,actvstrat=,-0.489029, actvprof=,1.671424, id=,S02, PRDE,actvstrat=,-0.506813, actvprof=,0.390008, id=,S05, PRDE,actvstrat=,-0.307350, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,-0.993714, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.340815, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.485607, best_B_strat=,-0.043952, best_S_id=,S00, best_S_prof=,1.671424, best_S_strat=,-0.489029, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.990819, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.905721, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.016479, actvprof=,0.025834, id=,B06, PRDE,actvstrat=,-0.049570, actvprof=,1.369224, id=,B07, PRDE,actvstrat=,0.851954, actvprof=,4.480742, id=,S00, PRDE,actvstrat=,0.456087, actvprof=,3.998222, id=,S02, PRDE,actvstrat=,0.323182, actvprof=,1.332833, id=,S05, PRDE,actvstrat=,0.735745, actvprof=,0.015001, id=,S08, PRDE,actvstrat=,0.741488, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.340815, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.480742, best_B_strat=,0.851954, best_S_id=,S00, best_S_prof=,3.998222, best_S_strat=,0.456087, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.990819, actvprof=,0.000139, id=,B02, PRDE,actvstrat=,-0.905721, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,-0.016479, actvprof=,0.024862, id=,B06, PRDE,actvstrat=,-0.049570, actvprof=,1.298360, id=,B07, PRDE,actvstrat=,0.851954, actvprof=,4.377313, id=,S00, PRDE,actvstrat=,0.456087, actvprof=,4.117725, id=,S02, PRDE,actvstrat=,0.323182, actvprof=,1.406835, id=,S05, PRDE,actvstrat=,0.735745, actvprof=,0.023056, id=,S08, PRDE,actvstrat=,0.741488, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.340815, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.377313, best_B_strat=,0.851954, best_S_id=,S00, best_S_prof=,4.117725, best_S_strat=,0.456087, 
t=,97200, id=,B01, PRDE,actvstrat=,0.598521, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.122092, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.241102, actvprof=,0.180563, id=,B06, PRDE,actvstrat=,-0.949131, actvprof=,0.288345, id=,B07, PRDE,actvstrat=,0.021537, actvprof=,3.730711, id=,S00, PRDE,actvstrat=,0.776522, actvprof=,5.167993, id=,S02, PRDE,actvstrat=,0.378991, actvprof=,0.938095, id=,S05, PRDE,actvstrat=,-0.358337, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.741898, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.023802, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.730711, best_B_strat=,0.021537, best_S_id=,S00, best_S_prof=,5.167993, best_S_strat=,0.776522, 
t=,100800, id=,B01, PRDE,actvstrat=,0.598521, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.122092, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,0.241102, actvprof=,0.186809, id=,B06, PRDE,actvstrat=,-0.949131, actvprof=,0.298201, id=,B07, PRDE,actvstrat=,0.021537, actvprof=,3.808829, id=,S00, PRDE,actvstrat=,0.776522, actvprof=,5.051772, id=,S02, PRDE,actvstrat=,0.378991, actvprof=,0.950992, id=,S05, PRDE,actvstrat=,-0.358337, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.741898, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.023802, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.808829, best_B_strat=,0.021537, best_S_id=,S00, best_S_prof=,5.051772, best_S_strat=,0.776522, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.013851, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.395843, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.276845, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,-0.580043, actvprof=,0.887537, id=,B07, PRDE,actvstrat=,0.304175, actvprof=,3.996555, id=,S00, PRDE,actvstrat=,-0.094711, actvprof=,2.013695, id=,S02, PRDE,actvstrat=,-0.850578, actvprof=,0.050002, id=,S05, PRDE,actvstrat=,0.976370, actvprof=,0.008334, id=,S08, PRDE,actvstrat=,-0.329190, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.203975, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.996555, best_B_strat=,0.304175, best_S_id=,S00, best_S_prof=,2.013695, best_S_strat=,-0.094711, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.013851, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.395843, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.276845, actvprof=,0.002778, id=,B06, PRDE,actvstrat=,-0.580043, actvprof=,0.919602, id=,B07, PRDE,actvstrat=,0.304175, actvprof=,3.832024, id=,S00, PRDE,actvstrat=,-0.094711, actvprof=,2.184351, id=,S02, PRDE,actvstrat=,-0.850578, actvprof=,0.059307, id=,S05, PRDE,actvstrat=,0.976370, actvprof=,0.011945, id=,S08, PRDE,actvstrat=,-0.329190, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.203975, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.832024, best_B_strat=,0.304175, best_S_id=,S00, best_S_prof=,2.184351, best_S_strat=,-0.094711, 
