t=,75600, id=,B01, PRDE,actvstrat=,0.704854, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.949938, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.799610, actvprof=,0.063615, id=,B06, PRDE,actvstrat=,0.398929, actvprof=,1.508417, id=,B07, PRDE,actvstrat=,-0.454338, actvprof=,1.582032, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.073782, id=,S03, PRDE,actvstrat=,-0.500371, actvprof=,0.120840, id=,S05, PRDE,actvstrat=,0.264430, actvprof=,0.016668, id=,S06, PRDE,actvstrat=,-0.922068, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.311208, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.582032, best_B_strat=,-0.454338, best_S_id=,S02, best_S_prof=,3.073782, best_S_strat=,-1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,0.704854, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.949938, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.799610, actvprof=,0.046251, id=,B06, PRDE,actvstrat=,0.398929, actvprof=,1.424206, id=,B07, PRDE,actvstrat=,-0.454338, actvprof=,1.557821, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.967582, id=,S03, PRDE,actvstrat=,-0.500371, actvprof=,0.108753, id=,S05, PRDE,actvstrat=,0.264430, actvprof=,0.015834, id=,S06, PRDE,actvstrat=,-0.922068, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.311208, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.557821, best_B_strat=,-0.454338, best_S_id=,S02, best_S_prof=,2.967582, best_S_strat=,-1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.533564, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,0.100685, actvprof=,0.407523, id=,B06, PRDE,actvstrat=,-0.464782, actvprof=,1.805100, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.266126, id=,S02, PRDE,actvstrat=,0.908162, actvprof=,1.835102, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.783932, id=,S05, PRDE,actvstrat=,0.318612, actvprof=,0.046947, id=,S06, PRDE,actvstrat=,-0.580624, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.845516, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.266126, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.835102, best_S_strat=,0.908162, 
t=,86400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.533564, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.100685, actvprof=,0.400844, id=,B06, PRDE,actvstrat=,-0.464782, actvprof=,1.772549, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.248757, id=,S02, PRDE,actvstrat=,0.908162, actvprof=,1.924359, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.805578, id=,S05, PRDE,actvstrat=,0.318612, actvprof=,0.030418, id=,S06, PRDE,actvstrat=,-0.580624, actvprof=,0.001250, id=,S09, PRDE,actvstrat=,-0.845516, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.248757, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.924359, best_S_strat=,0.908162, 
t=,90000, id=,B01, PRDE,actvstrat=,0.362007, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,-0.807243, actvprof=,0.011945, id=,B06, PRDE,actvstrat=,0.935057, actvprof=,2.114036, id=,B07, PRDE,actvstrat=,0.222474, actvprof=,2.253212, id=,S02, PRDE,actvstrat=,0.119525, actvprof=,1.325092, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.030419, id=,S05, PRDE,actvstrat=,0.296943, actvprof=,0.034169, id=,S06, PRDE,actvstrat=,0.378772, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.034949, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.253212, best_B_strat=,0.222474, best_S_id=,S03, best_S_prof=,2.030419, best_S_strat=,-1.000000, 
t=,93600, id=,B01, PRDE,actvstrat=,0.362007, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,-0.807243, actvprof=,0.006111, id=,B06, PRDE,actvstrat=,0.935057, actvprof=,2.021876, id=,B07, PRDE,actvstrat=,0.222474, actvprof=,2.286190, id=,S02, PRDE,actvstrat=,0.119525, actvprof=,1.386715, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.078544, id=,S05, PRDE,actvstrat=,0.296943, actvprof=,0.037501, id=,S06, PRDE,actvstrat=,0.378772, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,0.034949, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.286190, best_B_strat=,0.222474, best_S_id=,S03, best_S_prof=,2.078544, best_S_strat=,-1.000000, 
t=,97200, id=,B01, PRDE,actvstrat=,0.613722, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.880857, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.366051, actvprof=,0.043614, id=,B06, PRDE,actvstrat=,-0.238719, actvprof=,1.112299, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.405862, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.782415, id=,S03, PRDE,actvstrat=,0.353282, actvprof=,0.333634, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.003611, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.348109, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.405862, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.782415, best_S_strat=,-1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,0.613722, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.880857, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.366051, actvprof=,0.045974, id=,B06, PRDE,actvstrat=,-0.238719, actvprof=,1.119067, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.452516, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.743984, id=,S03, PRDE,actvstrat=,0.353282, actvprof=,0.323900, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.003056, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.348109, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.452516, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.743984, best_S_strat=,-1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,0.613722, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.408915, actvprof=,0.012501, id=,B04, PRDE,actvstrat=,-0.400051, actvprof=,0.017501, id=,B06, PRDE,actvstrat=,0.464170, actvprof=,1.692363, id=,B07, PRDE,actvstrat=,0.882283, actvprof=,3.761147, id=,S02, PRDE,actvstrat=,0.977912, actvprof=,3.645304, id=,S03, PRDE,actvstrat=,0.339539, actvprof=,0.648387, id=,S05, PRDE,actvstrat=,0.296943, actvprof=,0.028613, id=,S06, PRDE,actvstrat=,-0.406973, actvprof=,0.004445, id=,S09, PRDE,actvstrat=,-0.528803, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.761147, best_B_strat=,0.882283, best_S_id=,S02, best_S_prof=,3.645304, best_S_strat=,0.977912, 
t=,108000, id=,B01, PRDE,actvstrat=,0.613722, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.408915, actvprof=,0.012639, id=,B04, PRDE,actvstrat=,-0.400051, actvprof=,0.020001, id=,B06, PRDE,actvstrat=,0.464170, actvprof=,1.513119, id=,B07, PRDE,actvstrat=,0.882283, actvprof=,3.571954, id=,S02, PRDE,actvstrat=,0.977912, actvprof=,3.895579, id=,S03, PRDE,actvstrat=,0.339539, actvprof=,0.686973, id=,S05, PRDE,actvstrat=,0.296943, actvprof=,0.038613, id=,S06, PRDE,actvstrat=,-0.406973, actvprof=,0.002222, id=,S09, PRDE,actvstrat=,-0.528803, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.571954, best_B_strat=,0.882283, best_S_id=,S02, best_S_prof=,3.895579, best_S_strat=,0.977912, 
