t=,75600, id=,B01, PRDE,actvstrat=,-0.320672, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.912271, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.211954, actvprof=,0.064170, id=,B06, PRDE,actvstrat=,0.470397, actvprof=,3.212401, id=,S00, PRDE,actvstrat=,0.367381, actvprof=,2.738208, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.057114, id=,S02, PRDE,actvstrat=,-0.627701, actvprof=,0.048336, id=,S06, PRDE,actvstrat=,-0.120013, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.212401, best_B_strat=,0.470397, best_S_id=,S01, best_S_prof=,3.057114, best_S_strat=,-1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.320672, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.912271, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,-0.211954, actvprof=,0.062918, id=,B06, PRDE,actvstrat=,0.470397, actvprof=,3.182450, id=,S00, PRDE,actvstrat=,0.367381, actvprof=,2.807995, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.159532, id=,S02, PRDE,actvstrat=,-0.627701, actvprof=,0.071391, id=,S06, PRDE,actvstrat=,-0.120013, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.182450, best_B_strat=,0.470397, best_S_id=,S01, best_S_prof=,3.159532, best_S_strat=,-1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.112748, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.858252, actvprof=,0.011112, id=,B06, PRDE,actvstrat=,0.551096, actvprof=,1.817601, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.841769, id=,S01, PRDE,actvstrat=,-0.501087, actvprof=,0.622535, id=,S02, PRDE,actvstrat=,-0.136823, actvprof=,0.383910, id=,S06, PRDE,actvstrat=,-0.214340, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.554456, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.817601, best_B_strat=,0.551096, best_S_id=,S00, best_S_prof=,6.841769, best_S_strat=,1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.112748, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.858252, actvprof=,0.010417, id=,B06, PRDE,actvstrat=,0.551096, actvprof=,1.786300, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.887691, id=,S01, PRDE,actvstrat=,-0.501087, actvprof=,0.611684, id=,S02, PRDE,actvstrat=,-0.136823, actvprof=,0.365705, id=,S06, PRDE,actvstrat=,-0.214340, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.554456, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.786300, best_B_strat=,0.551096, best_S_id=,S00, best_S_prof=,6.887691, best_S_strat=,1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.112748, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.379189, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.637086, actvprof=,0.070560, id=,B06, PRDE,actvstrat=,-0.448179, actvprof=,1.040350, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.150149, id=,S01, PRDE,actvstrat=,-0.588244, actvprof=,0.389194, id=,S02, PRDE,actvstrat=,0.146822, actvprof=,0.753663, id=,S06, PRDE,actvstrat=,-0.368764, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.218768, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.040350, best_B_strat=,-0.448179, best_S_id=,S00, best_S_prof=,6.150149, best_S_strat=,1.000000, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.112748, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.379189, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,0.637086, actvprof=,0.075003, id=,B06, PRDE,actvstrat=,-0.448179, actvprof=,1.095038, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.096601, id=,S01, PRDE,actvstrat=,-0.588244, actvprof=,0.343762, id=,S02, PRDE,actvstrat=,0.146822, actvprof=,0.728220, id=,S06, PRDE,actvstrat=,-0.368764, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.218768, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.095038, best_B_strat=,-0.448179, best_S_id=,S00, best_S_prof=,6.096601, best_S_strat=,1.000000, 
t=,97200, id=,B01, PRDE,actvstrat=,0.247275, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.608613, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.520632, actvprof=,0.008889, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.650110, id=,S00, PRDE,actvstrat=,0.046153, actvprof=,3.234301, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.772977, id=,S02, PRDE,actvstrat=,-0.386005, actvprof=,0.242232, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.650110, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.772977, best_S_strat=,-1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,0.247275, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.608613, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.520632, actvprof=,0.009306, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.703983, id=,S00, PRDE,actvstrat=,0.046153, actvprof=,3.115803, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.651550, id=,S02, PRDE,actvstrat=,-0.386005, actvprof=,0.259037, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.703983, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.651550, best_S_strat=,-1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,0.137653, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.608613, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.922332, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.637086, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.591152, id=,S00, PRDE,actvstrat=,-0.761482, actvprof=,1.759289, id=,S01, PRDE,actvstrat=,-0.787034, actvprof=,0.884506, id=,S02, PRDE,actvstrat=,-0.136823, actvprof=,1.138412, id=,S06, PRDE,actvstrat=,0.102514, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,0.448546, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.591152, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,1.759289, best_S_strat=,-0.761482, 
t=,108000, id=,B01, PRDE,actvstrat=,0.137653, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.608613, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.922332, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.637086, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.789333, id=,S00, PRDE,actvstrat=,-0.761482, actvprof=,1.757283, id=,S01, PRDE,actvstrat=,-0.787034, actvprof=,0.811695, id=,S02, PRDE,actvstrat=,-0.136823, actvprof=,1.026286, id=,S06, PRDE,actvstrat=,0.102514, actvprof=,0.001250, id=,S08, PRDE,actvstrat=,0.448546, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.789333, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,1.757283, best_S_strat=,-0.761482, 
