t=,75600, id=,B01, PRDE,actvstrat=,0.936333, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.497152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.162475, actvprof=,0.001945, id=,B05, PRDE,actvstrat=,0.812527, actvprof=,0.752531, id=,B06, PRDE,actvstrat=,-0.040042, actvprof=,1.046432, id=,S02, PRDE,actvstrat=,0.871604, actvprof=,3.224579, id=,S04, PRDE,actvstrat=,-0.145995, actvprof=,0.006945, id=,S05, PRDE,actvstrat=,0.800114, actvprof=,0.014167, id=,S08, PRDE,actvstrat=,-0.518914, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.406203, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.046432, best_B_strat=,-0.040042, best_S_id=,S02, best_S_prof=,3.224579, best_S_strat=,0.871604, 
t=,79200, id=,B01, PRDE,actvstrat=,0.936333, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.497152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.162475, actvprof=,0.012917, id=,B05, PRDE,actvstrat=,0.812527, actvprof=,0.808067, id=,B06, PRDE,actvstrat=,-0.040042, actvprof=,1.068209, id=,S02, PRDE,actvstrat=,0.871604, actvprof=,3.203933, id=,S04, PRDE,actvstrat=,-0.145995, actvprof=,0.006528, id=,S05, PRDE,actvstrat=,0.800114, actvprof=,0.012778, id=,S08, PRDE,actvstrat=,-0.518914, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.406203, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.068209, best_B_strat=,-0.040042, best_S_id=,S02, best_S_prof=,3.203933, best_S_strat=,0.871604, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.560628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.322580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.043686, actvprof=,0.032501, id=,B05, PRDE,actvstrat=,-0.693211, actvprof=,0.193341, id=,B06, PRDE,actvstrat=,-0.942349, actvprof=,0.103615, id=,S02, PRDE,actvstrat=,-0.765270, actvprof=,0.085559, id=,S04, PRDE,actvstrat=,0.593959, actvprof=,0.035835, id=,S05, PRDE,actvstrat=,0.137018, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.803563, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189576, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.193341, best_B_strat=,-0.693211, best_S_id=,S02, best_S_prof=,0.085559, best_S_strat=,-0.765270, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.560628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.322580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.043686, actvprof=,0.046251, id=,B05, PRDE,actvstrat=,-0.693211, actvprof=,0.200560, id=,B06, PRDE,actvstrat=,-0.942349, actvprof=,0.089724, id=,S02, PRDE,actvstrat=,-0.765270, actvprof=,0.094446, id=,S04, PRDE,actvstrat=,0.593959, actvprof=,0.036390, id=,S05, PRDE,actvstrat=,0.137018, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.803563, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189576, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.200560, best_B_strat=,-0.693211, best_S_id=,S02, best_S_prof=,0.094446, best_S_strat=,-0.765270, 
t=,90000, id=,B01, PRDE,actvstrat=,0.278214, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.490932, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.201877, actvprof=,0.103893, id=,B05, PRDE,actvstrat=,0.325402, actvprof=,1.468950, id=,B06, PRDE,actvstrat=,-0.884751, actvprof=,0.776143, id=,S02, PRDE,actvstrat=,0.871604, actvprof=,1.797019, id=,S04, PRDE,actvstrat=,0.593959, actvprof=,0.019167, id=,S05, PRDE,actvstrat=,0.800114, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,0.949235, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189576, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.468950, best_B_strat=,0.325402, best_S_id=,S02, best_S_prof=,1.797019, best_S_strat=,0.871604, 
t=,93600, id=,B01, PRDE,actvstrat=,0.278214, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.490932, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.201877, actvprof=,0.104724, id=,B05, PRDE,actvstrat=,0.325402, actvprof=,1.458225, id=,B06, PRDE,actvstrat=,-0.884751, actvprof=,0.706681, id=,S02, PRDE,actvstrat=,0.871604, actvprof=,1.779759, id=,S04, PRDE,actvstrat=,0.593959, actvprof=,0.019445, id=,S05, PRDE,actvstrat=,0.800114, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,0.949235, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189576, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.458225, best_B_strat=,0.325402, best_S_id=,S02, best_S_prof=,1.779759, best_S_strat=,0.871604, 
t=,97200, id=,B01, PRDE,actvstrat=,0.096067, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.497152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.162475, actvprof=,0.038613, id=,B05, PRDE,actvstrat=,0.812527, actvprof=,1.219773, id=,B06, PRDE,actvstrat=,-0.561626, actvprof=,0.898926, id=,S02, PRDE,actvstrat=,0.896587, actvprof=,2.897621, id=,S04, PRDE,actvstrat=,-0.145995, actvprof=,0.002500, id=,S05, PRDE,actvstrat=,0.800114, actvprof=,0.004445, id=,S08, PRDE,actvstrat=,-0.146941, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.406203, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.219773, best_B_strat=,0.812527, best_S_id=,S02, best_S_prof=,2.897621, best_S_strat=,0.896587, 
t=,100800, id=,B01, PRDE,actvstrat=,0.096067, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.497152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.162475, actvprof=,0.035001, id=,B05, PRDE,actvstrat=,0.812527, actvprof=,1.288916, id=,B06, PRDE,actvstrat=,-0.561626, actvprof=,0.956409, id=,S02, PRDE,actvstrat=,0.896587, actvprof=,2.812003, id=,S04, PRDE,actvstrat=,-0.145995, actvprof=,0.003889, id=,S05, PRDE,actvstrat=,0.800114, actvprof=,0.005833, id=,S08, PRDE,actvstrat=,-0.146941, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.406203, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.288916, best_B_strat=,0.812527, best_S_id=,S02, best_S_prof=,2.812003, best_S_strat=,0.896587, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.560628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.734786, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.043686, actvprof=,0.010556, id=,B05, PRDE,actvstrat=,-0.693211, actvprof=,0.080559, id=,B06, PRDE,actvstrat=,-0.040042, actvprof=,1.232551, id=,S02, PRDE,actvstrat=,-0.735645, actvprof=,0.103338, id=,S04, PRDE,actvstrat=,0.593959, actvprof=,0.098337, id=,S05, PRDE,actvstrat=,-0.576754, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.803563, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.167323, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.232551, best_B_strat=,-0.040042, best_S_id=,S02, best_S_prof=,0.103338, best_S_strat=,-0.735645, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.560628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.734786, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.043686, actvprof=,0.013889, id=,B05, PRDE,actvstrat=,-0.693211, actvprof=,0.080279, id=,B06, PRDE,actvstrat=,-0.040042, actvprof=,1.201136, id=,S02, PRDE,actvstrat=,-0.735645, actvprof=,0.092641, id=,S04, PRDE,actvstrat=,0.593959, actvprof=,0.094585, id=,S05, PRDE,actvstrat=,-0.576754, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.803563, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.167323, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.201136, best_B_strat=,-0.040042, best_S_id=,S04, best_S_prof=,0.094585, best_S_strat=,0.593959, 
