t=,75600, id=,B01, PRDE,actvstrat=,-0.212317, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.325652, actvprof=,0.624470, id=,B05, PRDE,actvstrat=,-0.536413, actvprof=,0.943928, id=,B06, PRDE,actvstrat=,-0.076893, actvprof=,2.818173, id=,B07, PRDE,actvstrat=,-0.769223, actvprof=,3.576538, id=,S05, PRDE,actvstrat=,0.261624, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.105524, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.165440, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.559974, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.013376, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.576538, best_B_strat=,-0.769223, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.261624, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.212317, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.325652, actvprof=,0.625430, id=,B05, PRDE,actvstrat=,-0.536413, actvprof=,0.913769, id=,B06, PRDE,actvstrat=,-0.076893, actvprof=,2.844920, id=,B07, PRDE,actvstrat=,-0.769223, actvprof=,3.400488, id=,S05, PRDE,actvstrat=,0.261624, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.105524, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.165440, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.559974, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.013376, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.400488, best_B_strat=,-0.769223, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.261624, 
t=,82800, id=,B01, PRDE,actvstrat=,0.955278, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.313598, actvprof=,0.183066, id=,B05, PRDE,actvstrat=,0.264049, actvprof=,2.026224, id=,B06, PRDE,actvstrat=,-0.019185, actvprof=,3.127396, id=,B07, PRDE,actvstrat=,-0.949891, actvprof=,1.327018, id=,S05, PRDE,actvstrat=,-0.789709, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.498411, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.287703, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.161529, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.127396, best_B_strat=,-0.019185, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,-0.789709, 
t=,86400, id=,B01, PRDE,actvstrat=,0.955278, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.313598, actvprof=,0.221951, id=,B05, PRDE,actvstrat=,0.264049, actvprof=,2.130198, id=,B06, PRDE,actvstrat=,-0.019185, actvprof=,3.233423, id=,B07, PRDE,actvstrat=,-0.949891, actvprof=,1.501986, id=,S05, PRDE,actvstrat=,-0.789709, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.498411, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.287703, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.161529, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.233423, best_B_strat=,-0.019185, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,-0.789709, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.873558, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.325652, actvprof=,0.216401, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.078727, id=,B06, PRDE,actvstrat=,-0.072436, actvprof=,2.178177, id=,B07, PRDE,actvstrat=,-0.297331, actvprof=,3.320184, id=,S05, PRDE,actvstrat=,0.398921, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.270642, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.287703, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.161529, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.320184, best_B_strat=,-0.297331, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.398921, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.873558, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.325652, actvprof=,0.184588, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.983527, id=,B06, PRDE,actvstrat=,-0.072436, actvprof=,2.130337, id=,B07, PRDE,actvstrat=,-0.297331, actvprof=,3.121198, id=,S05, PRDE,actvstrat=,0.398921, actvprof=,0.009861, id=,S06, PRDE,actvstrat=,0.270642, actvprof=,0.000139, id=,S07, PRDE,actvstrat=,0.287703, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.161529, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.121198, best_B_strat=,-0.297331, best_S_id=,S05, best_S_prof=,0.009861, best_S_strat=,0.398921, 
t=,97200, id=,B01, PRDE,actvstrat=,0.581335, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.199245, actvprof=,0.550023, id=,B05, PRDE,actvstrat=,-0.575611, actvprof=,0.990597, id=,B06, PRDE,actvstrat=,-0.559683, actvprof=,2.168701, id=,B07, PRDE,actvstrat=,-0.743563, actvprof=,3.589594, id=,S05, PRDE,actvstrat=,-0.490467, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.105770, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.145224, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.453377, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.589594, best_B_strat=,-0.743563, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,-0.490467, 
t=,100800, id=,B01, PRDE,actvstrat=,0.581335, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.199245, actvprof=,0.551543, id=,B05, PRDE,actvstrat=,-0.575611, actvprof=,0.984333, id=,B06, PRDE,actvstrat=,-0.559683, actvprof=,2.186311, id=,B07, PRDE,actvstrat=,-0.743563, actvprof=,3.517181, id=,S05, PRDE,actvstrat=,-0.490467, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.105770, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.145224, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.453377, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.517181, best_B_strat=,-0.743563, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,-0.490467, 
t=,104400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.239207, actvprof=,0.126674, id=,B05, PRDE,actvstrat=,0.979453, actvprof=,2.496250, id=,B06, PRDE,actvstrat=,-0.272127, actvprof=,1.958720, id=,B07, PRDE,actvstrat=,-0.617792, actvprof=,3.253792, id=,S05, PRDE,actvstrat=,-0.789709, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.695602, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,0.171889, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.743302, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.262104, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.253792, best_B_strat=,-0.617792, best_S_id=,S06, best_S_prof=,0.002222, best_S_strat=,0.695602, 
t=,108000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.239207, actvprof=,0.148060, id=,B05, PRDE,actvstrat=,0.979453, actvprof=,2.604239, id=,B06, PRDE,actvstrat=,-0.272127, actvprof=,1.998111, id=,B07, PRDE,actvstrat=,-0.617792, actvprof=,3.381622, id=,S05, PRDE,actvstrat=,-0.789709, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.695602, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,0.171889, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.743302, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.262104, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.381622, best_B_strat=,-0.617792, best_S_id=,S06, best_S_prof=,0.001111, best_S_strat=,0.695602, 
