t=,75600, id=,B01, PRDE,actvstrat=,0.419105, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.337147, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.654599, actvprof=,0.047503, id=,B06, PRDE,actvstrat=,0.733954, actvprof=,3.431857, id=,B07, PRDE,actvstrat=,-0.184037, actvprof=,3.235180, id=,S02, PRDE,actvstrat=,0.736555, actvprof=,1.890661, id=,S03, PRDE,actvstrat=,0.716586, actvprof=,0.489472, id=,S06, PRDE,actvstrat=,0.035443, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.590037, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.350301, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.431857, best_B_strat=,0.733954, best_S_id=,S02, best_S_prof=,1.890661, best_S_strat=,0.736555, 
t=,79200, id=,B01, PRDE,actvstrat=,0.419105, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.337147, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.654599, actvprof=,0.044307, id=,B06, PRDE,actvstrat=,0.733954, actvprof=,3.403706, id=,B07, PRDE,actvstrat=,-0.184037, actvprof=,3.170921, id=,S02, PRDE,actvstrat=,0.736555, actvprof=,1.929776, id=,S03, PRDE,actvstrat=,0.716586, actvprof=,0.487652, id=,S06, PRDE,actvstrat=,0.035443, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.590037, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.350301, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.403706, best_B_strat=,0.733954, best_S_id=,S02, best_S_prof=,1.929776, best_S_strat=,0.736555, 
t=,82800, id=,B01, PRDE,actvstrat=,0.955471, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.435947, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.318073, id=,B06, PRDE,actvstrat=,-0.263128, actvprof=,1.287572, id=,B07, PRDE,actvstrat=,0.793381, actvprof=,4.799433, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.673482, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.255070, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,0.176667, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.585688, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.799433, best_B_strat=,0.793381, best_S_id=,S02, best_S_prof=,2.673482, best_S_strat=,-1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,0.955471, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.435947, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.357093, id=,B06, PRDE,actvstrat=,-0.263128, actvprof=,1.281424, id=,B07, PRDE,actvstrat=,0.793381, actvprof=,4.843607, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.682852, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.203645, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002778, id=,S08, PRDE,actvstrat=,0.176667, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.585688, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.843607, best_B_strat=,0.793381, best_S_id=,S02, best_S_prof=,2.682852, best_S_strat=,-1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,0.925812, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.636191, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.600029, actvprof=,0.034724, id=,B06, PRDE,actvstrat=,-0.617015, actvprof=,0.963665, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.817212, id=,S02, PRDE,actvstrat=,-0.112770, actvprof=,0.678093, id=,S03, PRDE,actvstrat=,0.431752, actvprof=,0.537252, id=,S06, PRDE,actvstrat=,-0.836568, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.522461, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.608704, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.817212, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,0.678093, best_S_strat=,-0.112770, 
t=,93600, id=,B01, PRDE,actvstrat=,0.925812, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.636191, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.600029, actvprof=,0.033751, id=,B06, PRDE,actvstrat=,-0.617015, actvprof=,0.970027, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.869857, id=,S02, PRDE,actvstrat=,-0.112770, actvprof=,0.643907, id=,S03, PRDE,actvstrat=,0.431752, actvprof=,0.543904, id=,S06, PRDE,actvstrat=,-0.836568, actvprof=,0.001250, id=,S08, PRDE,actvstrat=,-0.522461, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.608704, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.869857, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,0.643907, best_S_strat=,-0.112770, 
t=,97200, id=,B01, PRDE,actvstrat=,0.763952, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.244694, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.563087, id=,B06, PRDE,actvstrat=,-0.027336, actvprof=,2.228735, id=,B07, PRDE,actvstrat=,-0.659611, actvprof=,2.710984, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.424579, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.951164, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.231489, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.447919, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.710984, best_B_strat=,-0.659611, best_S_id=,S02, best_S_prof=,2.424579, best_S_strat=,-1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,0.763952, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.244694, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.528626, id=,B06, PRDE,actvstrat=,-0.027336, actvprof=,2.130615, id=,B07, PRDE,actvstrat=,-0.659611, actvprof=,2.732298, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.487430, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.973916, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.231489, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.447919, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.732298, best_B_strat=,-0.659611, best_S_id=,S02, best_S_prof=,2.487430, best_S_strat=,-1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,0.821782, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.752944, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.130537, actvprof=,0.046113, id=,B06, PRDE,actvstrat=,0.819720, actvprof=,2.985958, id=,B07, PRDE,actvstrat=,0.658448, actvprof=,4.421295, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.843452, id=,S03, PRDE,actvstrat=,0.429247, actvprof=,0.596414, id=,S06, PRDE,actvstrat=,0.013396, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,-0.069273, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.549195, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.421295, best_B_strat=,0.658448, best_S_id=,S02, best_S_prof=,2.843452, best_S_strat=,-1.000000, 
t=,108000, id=,B01, PRDE,actvstrat=,0.821782, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.752944, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.130537, actvprof=,0.050140, id=,B06, PRDE,actvstrat=,0.819720, actvprof=,2.954110, id=,B07, PRDE,actvstrat=,0.658448, actvprof=,4.399706, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.877580, id=,S03, PRDE,actvstrat=,0.429247, actvprof=,0.620989, id=,S06, PRDE,actvstrat=,0.013396, actvprof=,0.001528, id=,S08, PRDE,actvstrat=,-0.069273, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.549195, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.399706, best_B_strat=,0.658448, best_S_id=,S02, best_S_prof=,2.877580, best_S_strat=,-1.000000, 
