t=,75600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.130819, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.293260, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.701734, actvprof=,0.122232, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.874212, id=,S00, PRDE,actvstrat=,0.962579, actvprof=,6.670000, id=,S01, PRDE,actvstrat=,0.128972, actvprof=,1.746812, id=,S03, PRDE,actvstrat=,-0.917225, actvprof=,0.017779, id=,S05, PRDE,actvstrat=,-0.960607, actvprof=,0.007501, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.874212, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.670000, best_S_strat=,0.962579, 
t=,79200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.130819, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.293260, actvprof=,0.000694, id=,B05, PRDE,actvstrat=,-0.701734, actvprof=,0.135978, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.933914, id=,S00, PRDE,actvstrat=,0.962579, actvprof=,6.621109, id=,S01, PRDE,actvstrat=,0.128972, actvprof=,1.799242, id=,S03, PRDE,actvstrat=,-0.917225, actvprof=,0.012778, id=,S05, PRDE,actvstrat=,-0.960607, actvprof=,0.015140, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.933914, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.621109, best_S_strat=,0.962579, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.178324, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.306466, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.342835, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.418348, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.728232, id=,S01, PRDE,actvstrat=,0.711957, actvprof=,4.801356, id=,S03, PRDE,actvstrat=,0.248405, actvprof=,0.862366, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.022504, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.418348, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.728232, best_S_strat=,1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.178324, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.306466, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.386699, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.403478, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.672167, id=,S01, PRDE,actvstrat=,0.711957, actvprof=,4.728033, id=,S03, PRDE,actvstrat=,0.248405, actvprof=,0.803678, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.022085, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.403478, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.672167, best_S_strat=,1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,0.348674, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.259075, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.318904, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.024590, actvprof=,0.377841, id=,B07, PRDE,actvstrat=,-0.682492, actvprof=,1.749458, id=,S00, PRDE,actvstrat=,-0.833035, actvprof=,0.328666, id=,S01, PRDE,actvstrat=,-0.364750, actvprof=,0.623437, id=,S03, PRDE,actvstrat=,0.803522, actvprof=,0.957382, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.010835, id=,S07, PRDE,actvstrat=,0.278768, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.749458, best_B_strat=,-0.682492, best_S_id=,S03, best_S_prof=,0.957382, best_S_strat=,0.803522, 
t=,93600, id=,B01, PRDE,actvstrat=,0.348674, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.259075, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.318904, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.024590, actvprof=,0.375309, id=,B07, PRDE,actvstrat=,-0.682492, actvprof=,1.695558, id=,S00, PRDE,actvstrat=,-0.833035, actvprof=,0.392255, id=,S01, PRDE,actvstrat=,-0.364750, actvprof=,0.579354, id=,S03, PRDE,actvstrat=,0.803522, actvprof=,0.974803, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.007223, id=,S07, PRDE,actvstrat=,0.278768, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.695558, best_B_strat=,-0.682492, best_S_id=,S03, best_S_prof=,0.974803, best_S_strat=,0.803522, 
t=,97200, id=,B01, PRDE,actvstrat=,0.747046, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.005001, id=,B03, PRDE,actvstrat=,0.337586, actvprof=,0.008613, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.620103, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.456687, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.436517, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.918209, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.584597, id=,S05, PRDE,actvstrat=,0.260508, actvprof=,0.003056, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.456687, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.436517, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,0.747046, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.005139, id=,B03, PRDE,actvstrat=,0.337586, actvprof=,0.011251, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.643378, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.525662, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.407598, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.858740, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.530592, id=,S05, PRDE,actvstrat=,0.260508, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.525662, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.407598, best_S_strat=,1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,0.478201, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.098543, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,0.322568, actvprof=,0.020003, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.236838, id=,B07, PRDE,actvstrat=,0.015154, actvprof=,2.678150, id=,S00, PRDE,actvstrat=,0.565730, actvprof=,4.382553, id=,S01, PRDE,actvstrat=,0.983610, actvprof=,5.011807, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.742464, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.028337, id=,S07, PRDE,actvstrat=,-0.762208, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.678150, best_B_strat=,0.015154, best_S_id=,S01, best_S_prof=,5.011807, best_S_strat=,0.983610, 
t=,108000, id=,B01, PRDE,actvstrat=,0.478201, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.098543, actvprof=,0.005834, id=,B03, PRDE,actvstrat=,0.322568, actvprof=,0.020696, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.195802, id=,B07, PRDE,actvstrat=,0.015154, actvprof=,2.723301, id=,S00, PRDE,actvstrat=,0.565730, actvprof=,4.313306, id=,S01, PRDE,actvstrat=,0.983610, actvprof=,5.061985, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.754325, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.028753, id=,S07, PRDE,actvstrat=,-0.762208, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.723301, best_B_strat=,0.015154, best_S_id=,S01, best_S_prof=,5.061985, best_S_strat=,0.983610, 
