t=,75600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.127588, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.011667, id=,B08, PRDE,actvstrat=,0.100778, actvprof=,3.990222, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.100117, id=,S01, PRDE,actvstrat=,-0.001917, actvprof=,1.589255, id=,S02, PRDE,actvstrat=,0.721589, actvprof=,2.530141, id=,S05, PRDE,actvstrat=,0.391482, actvprof=,0.026946, id=,S07, PRDE,actvstrat=,-0.285542, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.004722, best_B_id=,B09, best_B_prof=,7.100117, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.530141, best_S_strat=,0.721589, 
t=,79200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.127588, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.009167, id=,B08, PRDE,actvstrat=,0.100778, actvprof=,3.938443, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.132004, id=,S01, PRDE,actvstrat=,-0.001917, actvprof=,1.576710, id=,S02, PRDE,actvstrat=,0.721589, actvprof=,2.428262, id=,S05, PRDE,actvstrat=,0.391482, actvprof=,0.018334, id=,S07, PRDE,actvstrat=,-0.285542, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, best_B_id=,B09, best_B_prof=,7.132004, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.428262, best_S_strat=,0.721589, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.408950, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.911396, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.029724, id=,B08, PRDE,actvstrat=,-0.247406, actvprof=,3.558253, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.759320, id=,S01, PRDE,actvstrat=,0.395231, actvprof=,2.181232, id=,S02, PRDE,actvstrat=,0.847698, actvprof=,2.623757, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.060281, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.759320, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.623757, best_S_strat=,0.847698, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.408950, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.911396, actvprof=,0.002917, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.034445, id=,B08, PRDE,actvstrat=,-0.247406, actvprof=,3.642462, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.731048, id=,S01, PRDE,actvstrat=,0.395231, actvprof=,2.146032, id=,S02, PRDE,actvstrat=,0.847698, actvprof=,2.720353, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.059585, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.731048, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.720353, best_S_strat=,0.847698, 
t=,90000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.307402, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.204332, actvprof=,0.036946, id=,B08, PRDE,actvstrat=,-0.651944, actvprof=,4.099950, id=,B09, PRDE,actvstrat=,-0.380280, actvprof=,6.322573, id=,S01, PRDE,actvstrat=,-0.998028, actvprof=,2.160120, id=,S02, PRDE,actvstrat=,0.228274, actvprof=,0.507806, id=,S05, PRDE,actvstrat=,0.161911, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.263677, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.648609, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.322573, best_B_strat=,-0.380280, best_S_id=,S01, best_S_prof=,2.160120, best_S_strat=,-0.998028, 
t=,93600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.307402, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.204332, actvprof=,0.030001, id=,B08, PRDE,actvstrat=,-0.651944, actvprof=,4.191644, id=,B09, PRDE,actvstrat=,-0.380280, actvprof=,6.255729, id=,S01, PRDE,actvstrat=,-0.998028, actvprof=,2.135059, id=,S02, PRDE,actvstrat=,0.228274, actvprof=,0.552376, id=,S05, PRDE,actvstrat=,0.161911, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.263677, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.648609, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.255729, best_B_strat=,-0.380280, best_S_id=,S01, best_S_prof=,2.135059, best_S_strat=,-0.998028, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.029168, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.847825, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.669315, id=,S01, PRDE,actvstrat=,0.189303, actvprof=,1.802322, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.470193, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.079171, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000278, best_B_id=,B09, best_B_prof=,7.669315, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.470193, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.001250, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.026112, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.880302, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.654240, id=,S01, PRDE,actvstrat=,0.189303, actvprof=,1.729909, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.425095, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.062363, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000139, best_B_id=,B09, best_B_prof=,7.654240, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.425095, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.111097, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.498775, actvprof=,0.009445, id=,B04, PRDE,actvstrat=,0.722842, actvprof=,0.133341, id=,B08, PRDE,actvstrat=,0.256925, actvprof=,4.643036, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.234013, id=,S01, PRDE,actvstrat=,0.300537, actvprof=,2.203734, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.396855, id=,S05, PRDE,actvstrat=,0.628213, actvprof=,0.054170, id=,S07, PRDE,actvstrat=,0.707746, actvprof=,0.022223, id=,S08, PRDE,actvstrat=,-0.429288, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.234013, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.396855, best_S_strat=,1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.111097, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.498775, actvprof=,0.011945, id=,B04, PRDE,actvstrat=,0.722842, actvprof=,0.141671, id=,B08, PRDE,actvstrat=,0.256925, actvprof=,4.642073, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.272563, id=,S01, PRDE,actvstrat=,0.300537, actvprof=,2.103253, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.358288, id=,S05, PRDE,actvstrat=,0.628213, actvprof=,0.052224, id=,S07, PRDE,actvstrat=,0.707746, actvprof=,0.014584, id=,S08, PRDE,actvstrat=,-0.429288, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.272563, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.358288, best_S_strat=,1.000000, 
