t=,75600, id=,B00, PRDE,actvstrat=,0.486562, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.111122, id=,B05, PRDE,actvstrat=,0.748932, actvprof=,0.737850, id=,B06, PRDE,actvstrat=,-0.953545, actvprof=,0.401428, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.606476, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.424875, id=,S01, PRDE,actvstrat=,0.199981, actvprof=,1.862681, id=,S02, PRDE,actvstrat=,0.966230, actvprof=,3.639243, id=,S05, PRDE,actvstrat=,-0.316884, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.606476, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.424875, best_S_strat=,-1.000000, 
t=,79200, id=,B00, PRDE,actvstrat=,0.486562, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.099449, id=,B05, PRDE,actvstrat=,0.748932, actvprof=,0.701006, id=,B06, PRDE,actvstrat=,-0.953545, actvprof=,0.419743, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.727966, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.421882, id=,S01, PRDE,actvstrat=,0.199981, actvprof=,1.889953, id=,S02, PRDE,actvstrat=,0.966230, actvprof=,3.621982, id=,S05, PRDE,actvstrat=,-0.316884, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.727966, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.421882, best_S_strat=,-1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,0.506926, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.699829, actvprof=,0.216688, id=,B05, PRDE,actvstrat=,0.540533, actvprof=,0.753407, id=,B06, PRDE,actvstrat=,-0.355950, actvprof=,0.872585, id=,B09, PRDE,actvstrat=,-0.995417, actvprof=,7.019571, id=,S00, PRDE,actvstrat=,0.945022, actvprof=,6.283111, id=,S01, PRDE,actvstrat=,0.369187, actvprof=,1.998805, id=,S02, PRDE,actvstrat=,0.807378, actvprof=,2.178823, id=,S05, PRDE,actvstrat=,-0.275185, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.716148, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.019571, best_B_strat=,-0.995417, best_S_id=,S00, best_S_prof=,6.283111, best_S_strat=,0.945022, 
t=,86400, id=,B00, PRDE,actvstrat=,0.506926, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.699829, actvprof=,0.202370, id=,B05, PRDE,actvstrat=,0.540533, actvprof=,0.774060, id=,B06, PRDE,actvstrat=,-0.355950, actvprof=,0.857397, id=,B09, PRDE,actvstrat=,-0.995417, actvprof=,6.909593, id=,S00, PRDE,actvstrat=,0.945022, actvprof=,6.235260, id=,S01, PRDE,actvstrat=,0.369187, actvprof=,1.937164, id=,S02, PRDE,actvstrat=,0.807378, actvprof=,2.211203, id=,S05, PRDE,actvstrat=,-0.275185, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.716148, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.909593, best_B_strat=,-0.995417, best_S_id=,S00, best_S_prof=,6.235260, best_S_strat=,0.945022, 
t=,90000, id=,B00, PRDE,actvstrat=,0.513417, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.416091, actvprof=,0.015002, id=,B05, PRDE,actvstrat=,0.540533, actvprof=,0.065285, id=,B06, PRDE,actvstrat=,0.716769, actvprof=,0.657295, id=,B09, PRDE,actvstrat=,0.265042, actvprof=,4.296866, id=,S00, PRDE,actvstrat=,-0.895482, actvprof=,0.150294, id=,S01, PRDE,actvstrat=,0.195861, actvprof=,2.778920, id=,S02, PRDE,actvstrat=,0.315226, actvprof=,2.073286, id=,S05, PRDE,actvstrat=,-0.119833, actvprof=,0.017502, id=,S07, PRDE,actvstrat=,-0.716148, actvprof=,0.001667, best_B_id=,B09, best_B_prof=,4.296866, best_B_strat=,0.265042, best_S_id=,S01, best_S_prof=,2.778920, best_S_strat=,0.195861, 
t=,93600, id=,B00, PRDE,actvstrat=,0.513417, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.416091, actvprof=,0.011112, id=,B05, PRDE,actvstrat=,0.540533, actvprof=,0.068615, id=,B06, PRDE,actvstrat=,0.716769, actvprof=,0.621840, id=,B09, PRDE,actvstrat=,0.265042, actvprof=,4.295794, id=,S00, PRDE,actvstrat=,-0.895482, actvprof=,0.139036, id=,S01, PRDE,actvstrat=,0.195861, actvprof=,2.841408, id=,S02, PRDE,actvstrat=,0.315226, actvprof=,2.094561, id=,S05, PRDE,actvstrat=,-0.119833, actvprof=,0.008750, id=,S07, PRDE,actvstrat=,-0.716148, actvprof=,0.000833, best_B_id=,B09, best_B_prof=,4.295794, best_B_strat=,0.265042, best_S_id=,S01, best_S_prof=,2.841408, best_S_strat=,0.195861, 
t=,97200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.555675, actvprof=,0.046949, id=,B05, PRDE,actvstrat=,0.215261, actvprof=,0.488659, id=,B06, PRDE,actvstrat=,-0.163211, actvprof=,0.808134, id=,B09, PRDE,actvstrat=,0.070586, actvprof=,5.719723, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.111983, id=,S01, PRDE,actvstrat=,0.030421, actvprof=,1.405970, id=,S02, PRDE,actvstrat=,0.242152, actvprof=,0.820080, id=,S05, PRDE,actvstrat=,0.705060, actvprof=,0.029447, id=,S07, PRDE,actvstrat=,0.677143, actvprof=,0.003611, best_B_id=,B09, best_B_prof=,5.719723, best_B_strat=,0.070586, best_S_id=,S00, best_S_prof=,6.111983, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.555675, actvprof=,0.055698, id=,B05, PRDE,actvstrat=,0.215261, actvprof=,0.485305, id=,B06, PRDE,actvstrat=,-0.163211, actvprof=,0.849631, id=,B09, PRDE,actvstrat=,0.070586, actvprof=,5.703789, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.142702, id=,S01, PRDE,actvstrat=,0.030421, actvprof=,1.392716, id=,S02, PRDE,actvstrat=,0.242152, actvprof=,0.828935, id=,S05, PRDE,actvstrat=,0.705060, actvprof=,0.027224, id=,S07, PRDE,actvstrat=,0.677143, actvprof=,0.002083, best_B_id=,B09, best_B_prof=,5.703789, best_B_strat=,0.070586, best_S_id=,S00, best_S_prof=,6.142702, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,0.858955, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.709802, actvprof=,0.026391, id=,B05, PRDE,actvstrat=,-0.166926, actvprof=,0.048615, id=,B06, PRDE,actvstrat=,-0.355950, actvprof=,0.335861, id=,B09, PRDE,actvstrat=,0.960088, actvprof=,6.449704, id=,S00, PRDE,actvstrat=,-0.149451, actvprof=,1.340389, id=,S01, PRDE,actvstrat=,-0.083663, actvprof=,0.939245, id=,S02, PRDE,actvstrat=,0.480058, actvprof=,1.755702, id=,S05, PRDE,actvstrat=,-0.398864, actvprof=,0.009445, id=,S07, PRDE,actvstrat=,-0.568279, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.449704, best_B_strat=,0.960088, best_S_id=,S02, best_S_prof=,1.755702, best_S_strat=,0.480058, 
t=,108000, id=,B00, PRDE,actvstrat=,0.858955, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.709802, actvprof=,0.020834, id=,B05, PRDE,actvstrat=,-0.166926, actvprof=,0.054586, id=,B06, PRDE,actvstrat=,-0.355950, actvprof=,0.337519, id=,B09, PRDE,actvstrat=,0.960088, actvprof=,6.446191, id=,S00, PRDE,actvstrat=,-0.149451, actvprof=,1.241319, id=,S01, PRDE,actvstrat=,-0.083663, actvprof=,0.929218, id=,S02, PRDE,actvstrat=,0.480058, actvprof=,1.630785, id=,S05, PRDE,actvstrat=,-0.398864, actvprof=,0.004722, id=,S07, PRDE,actvstrat=,-0.568279, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.446191, best_B_strat=,0.960088, best_S_id=,S02, best_S_prof=,1.630785, best_S_strat=,0.480058, 
