t=,75600, id=,B00, PRDE,actvstrat=,-0.308808, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.215683, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.081667, actvprof=,0.579485, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.679769, id=,B09, PRDE,actvstrat=,-0.179422, actvprof=,4.295298, id=,S00, PRDE,actvstrat=,-0.224416, actvprof=,2.924648, id=,S01, PRDE,actvstrat=,0.111052, actvprof=,3.139662, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.916522, id=,S04, PRDE,actvstrat=,-0.699915, actvprof=,0.058893, id=,S09, PRDE,actvstrat=,0.454483, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.679769, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.139662, best_S_strat=,0.111052, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.308808, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.215683, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.081667, actvprof=,0.531685, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.618910, id=,B09, PRDE,actvstrat=,-0.179422, actvprof=,4.384736, id=,S00, PRDE,actvstrat=,-0.224416, actvprof=,2.975103, id=,S01, PRDE,actvstrat=,0.111052, actvprof=,3.178305, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.948540, id=,S04, PRDE,actvstrat=,-0.699915, actvprof=,0.060141, id=,S09, PRDE,actvstrat=,0.454483, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.618910, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.178305, best_S_strat=,0.111052, 
t=,82800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.842350, id=,B08, PRDE,actvstrat=,-0.349807, actvprof=,2.789916, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.419890, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.692062, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.434822, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.089312, id=,S04, PRDE,actvstrat=,0.120690, actvprof=,0.135287, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.419890, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.692062, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.894358, id=,B08, PRDE,actvstrat=,-0.349807, actvprof=,2.813273, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.548237, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.659602, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.423067, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.081586, id=,S04, PRDE,actvstrat=,0.120690, actvprof=,0.124865, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.548237, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.659602, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.642536, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.378613, actvprof=,0.003889, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.902354, id=,B08, PRDE,actvstrat=,0.494696, actvprof=,4.786999, id=,B09, PRDE,actvstrat=,-0.250781, actvprof=,4.703660, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.174873, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.743941, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.461768, id=,S04, PRDE,actvstrat=,0.714574, actvprof=,0.334468, id=,S09, PRDE,actvstrat=,0.671953, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.786999, best_B_strat=,0.494696, best_S_id=,S00, best_S_prof=,6.174873, best_S_strat=,-1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.642536, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.378613, actvprof=,0.004722, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.868398, id=,B08, PRDE,actvstrat=,0.494696, actvprof=,4.776277, id=,B09, PRDE,actvstrat=,-0.250781, actvprof=,4.782805, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.013681, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.767804, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.503941, id=,S04, PRDE,actvstrat=,0.714574, actvprof=,0.374596, id=,S09, PRDE,actvstrat=,0.671953, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.782805, best_B_strat=,-0.250781, best_S_id=,S00, best_S_prof=,6.013681, best_S_strat=,-1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.912008, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.962220, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,5.810403, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.388291, id=,S01, PRDE,actvstrat=,-0.142130, actvprof=,2.723522, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.347177, id=,S04, PRDE,actvstrat=,-0.711306, actvprof=,0.089451, id=,S09, PRDE,actvstrat=,0.918090, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.810403, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.388291, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.822945, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.861384, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,5.723115, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.551234, id=,S01, PRDE,actvstrat=,-0.142130, actvprof=,1.971596, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.458731, id=,S04, PRDE,actvstrat=,-0.711306, actvprof=,0.059169, id=,S09, PRDE,actvstrat=,0.918090, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.723115, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.551234, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.543110, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.605606, id=,B08, PRDE,actvstrat=,-0.349807, actvprof=,1.510126, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.970414, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.478207, id=,S01, PRDE,actvstrat=,-0.065440, actvprof=,1.520960, id=,S03, PRDE,actvstrat=,-0.746316, actvprof=,0.100286, id=,S04, PRDE,actvstrat=,0.120690, actvprof=,0.277801, id=,S09, PRDE,actvstrat=,0.769215, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.970414, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.478207, best_S_strat=,1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.543110, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.633221, id=,B08, PRDE,actvstrat=,-0.349807, actvprof=,1.468811, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.921455, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.512021, id=,S01, PRDE,actvstrat=,-0.065440, actvprof=,1.552148, id=,S03, PRDE,actvstrat=,-0.746316, actvprof=,0.100838, id=,S04, PRDE,actvstrat=,0.120690, actvprof=,0.288484, id=,S09, PRDE,actvstrat=,0.769215, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.921455, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.512021, best_S_strat=,1.000000, 
