t=,75600, id=,B03, PRDE,actvstrat=,-0.031661, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.617543, id=,B06, PRDE,actvstrat=,0.323381, actvprof=,0.983402, id=,B08, PRDE,actvstrat=,-0.246709, actvprof=,2.642128, id=,B09, PRDE,actvstrat=,0.011932, actvprof=,4.630044, id=,S00, PRDE,actvstrat=,0.610548, actvprof=,5.415376, id=,S01, PRDE,actvstrat=,0.020820, actvprof=,2.362108, id=,S02, PRDE,actvstrat=,-0.351524, actvprof=,0.403917, id=,S06, PRDE,actvstrat=,-0.818136, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.920804, actvprof=,0.012779, best_B_id=,B09, best_B_prof=,4.630044, best_B_strat=,0.011932, best_S_id=,S00, best_S_prof=,5.415376, best_S_strat=,0.610548, 
t=,79200, id=,B03, PRDE,actvstrat=,-0.031661, actvprof=,0.000694, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.600997, id=,B06, PRDE,actvstrat=,0.323381, actvprof=,0.970318, id=,B08, PRDE,actvstrat=,-0.246709, actvprof=,2.610664, id=,B09, PRDE,actvstrat=,0.011932, actvprof=,4.640193, id=,S00, PRDE,actvstrat=,0.610548, actvprof=,5.443421, id=,S01, PRDE,actvstrat=,0.020820, actvprof=,2.383572, id=,S02, PRDE,actvstrat=,-0.351524, actvprof=,0.427796, id=,S06, PRDE,actvstrat=,-0.818136, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.920804, actvprof=,0.016528, best_B_id=,B09, best_B_prof=,4.640193, best_B_strat=,0.011932, best_S_id=,S00, best_S_prof=,5.443421, best_S_strat=,0.610548, 
t=,82800, id=,B03, PRDE,actvstrat=,0.465684, actvprof=,0.019446, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.127233, id=,B06, PRDE,actvstrat=,0.789627, actvprof=,1.113426, id=,B08, PRDE,actvstrat=,0.605077, actvprof=,3.788093, id=,B09, PRDE,actvstrat=,-0.790925, actvprof=,2.702447, id=,S00, PRDE,actvstrat=,-0.351941, actvprof=,1.844876, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.172459, id=,S02, PRDE,actvstrat=,0.097067, actvprof=,1.637359, id=,S06, PRDE,actvstrat=,-0.032554, actvprof=,0.005556, id=,S07, PRDE,actvstrat=,0.751564, actvprof=,0.006667, best_B_id=,B08, best_B_prof=,3.788093, best_B_strat=,0.605077, best_S_id=,S01, best_S_prof=,6.172459, best_S_strat=,1.000000, 
t=,86400, id=,B03, PRDE,actvstrat=,0.465684, actvprof=,0.021668, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.143617, id=,B06, PRDE,actvstrat=,0.789627, actvprof=,1.149353, id=,B08, PRDE,actvstrat=,0.605077, actvprof=,3.745573, id=,B09, PRDE,actvstrat=,-0.790925, actvprof=,2.700113, id=,S00, PRDE,actvstrat=,-0.351941, actvprof=,1.961193, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.129283, id=,S02, PRDE,actvstrat=,0.097067, actvprof=,1.690348, id=,S06, PRDE,actvstrat=,-0.032554, actvprof=,0.010139, id=,S07, PRDE,actvstrat=,0.751564, actvprof=,0.007223, best_B_id=,B08, best_B_prof=,3.745573, best_B_strat=,0.605077, best_S_id=,S01, best_S_prof=,6.129283, best_S_strat=,1.000000, 
t=,90000, id=,B03, PRDE,actvstrat=,-0.560189, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.170293, actvprof=,0.508098, id=,B06, PRDE,actvstrat=,-0.957510, actvprof=,0.473928, id=,B08, PRDE,actvstrat=,-0.878750, actvprof=,1.876267, id=,B09, PRDE,actvstrat=,-0.291926, actvprof=,5.415451, id=,S00, PRDE,actvstrat=,0.250079, actvprof=,3.152485, id=,S01, PRDE,actvstrat=,-0.179055, actvprof=,0.664222, id=,S02, PRDE,actvstrat=,0.525336, actvprof=,1.446787, id=,S06, PRDE,actvstrat=,-0.032554, actvprof=,0.003334, id=,S07, PRDE,actvstrat=,-0.734794, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.415451, best_B_strat=,-0.291926, best_S_id=,S00, best_S_prof=,3.152485, best_S_strat=,0.250079, 
t=,93600, id=,B03, PRDE,actvstrat=,-0.560189, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,0.170293, actvprof=,0.509743, id=,B06, PRDE,actvstrat=,-0.957510, actvprof=,0.513910, id=,B08, PRDE,actvstrat=,-0.878750, actvprof=,1.820909, id=,B09, PRDE,actvstrat=,-0.291926, actvprof=,5.353140, id=,S00, PRDE,actvstrat=,0.250079, actvprof=,3.213189, id=,S01, PRDE,actvstrat=,-0.179055, actvprof=,0.670583, id=,S02, PRDE,actvstrat=,0.525336, actvprof=,1.426865, id=,S06, PRDE,actvstrat=,-0.032554, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.734794, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.353140, best_B_strat=,-0.291926, best_S_id=,S00, best_S_prof=,3.213189, best_S_strat=,0.250079, 
t=,97200, id=,B03, PRDE,actvstrat=,0.206576, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,-0.042700, actvprof=,0.084173, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.036739, id=,B08, PRDE,actvstrat=,0.256221, actvprof=,3.030488, id=,B09, PRDE,actvstrat=,0.315891, actvprof=,4.515314, id=,S00, PRDE,actvstrat=,0.054473, actvprof=,3.950274, id=,S01, PRDE,actvstrat=,-0.289977, actvprof=,1.518439, id=,S02, PRDE,actvstrat=,-0.022349, actvprof=,1.672616, id=,S06, PRDE,actvstrat=,-0.940372, actvprof=,0.092506, id=,S07, PRDE,actvstrat=,0.095839, actvprof=,0.004445, best_B_id=,B09, best_B_prof=,4.515314, best_B_strat=,0.315891, best_S_id=,S00, best_S_prof=,3.950274, best_S_strat=,0.054473, 
t=,100800, id=,B03, PRDE,actvstrat=,0.206576, actvprof=,0.004028, id=,B05, PRDE,actvstrat=,-0.042700, actvprof=,0.089031, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.031293, id=,B08, PRDE,actvstrat=,0.256221, actvprof=,2.968596, id=,B09, PRDE,actvstrat=,0.315891, actvprof=,4.546023, id=,S00, PRDE,actvstrat=,0.054473, actvprof=,3.767657, id=,S01, PRDE,actvstrat=,-0.289977, actvprof=,1.414226, id=,S02, PRDE,actvstrat=,-0.022349, actvprof=,1.674098, id=,S06, PRDE,actvstrat=,-0.940372, actvprof=,0.082781, id=,S07, PRDE,actvstrat=,0.095839, actvprof=,0.007917, best_B_id=,B09, best_B_prof=,4.546023, best_B_strat=,0.315891, best_S_id=,S00, best_S_prof=,3.767657, best_S_strat=,0.054473, 
t=,104400, id=,B03, PRDE,actvstrat=,0.465684, actvprof=,0.030281, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.388654, id=,B06, PRDE,actvstrat=,0.789627, actvprof=,1.559896, id=,B08, PRDE,actvstrat=,-0.666532, actvprof=,2.109401, id=,B09, PRDE,actvstrat=,0.315891, actvprof=,5.316424, id=,S00, PRDE,actvstrat=,0.197680, actvprof=,3.931826, id=,S01, PRDE,actvstrat=,0.000817, actvprof=,2.399155, id=,S02, PRDE,actvstrat=,0.878726, actvprof=,3.790977, id=,S06, PRDE,actvstrat=,0.715228, actvprof=,0.020558, id=,S07, PRDE,actvstrat=,0.161895, actvprof=,0.005556, best_B_id=,B09, best_B_prof=,5.316424, best_B_strat=,0.315891, best_S_id=,S00, best_S_prof=,3.931826, best_S_strat=,0.197680, 
t=,108000, id=,B03, PRDE,actvstrat=,0.465684, actvprof=,0.025557, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.365715, id=,B06, PRDE,actvstrat=,0.789627, actvprof=,1.540780, id=,B08, PRDE,actvstrat=,-0.666532, actvprof=,2.130674, id=,B09, PRDE,actvstrat=,0.315891, actvprof=,5.293072, id=,S00, PRDE,actvstrat=,0.197680, actvprof=,3.949247, id=,S01, PRDE,actvstrat=,0.000817, actvprof=,2.352908, id=,S02, PRDE,actvstrat=,0.878726, actvprof=,3.811045, id=,S06, PRDE,actvstrat=,0.715228, actvprof=,0.026668, id=,S07, PRDE,actvstrat=,0.161895, actvprof=,0.002917, best_B_id=,B09, best_B_prof=,5.293072, best_B_strat=,0.315891, best_S_id=,S00, best_S_prof=,3.949247, best_S_strat=,0.197680, 
t=,111600, id=,B03, PRDE,actvstrat=,0.416981, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.155724, actvprof=,0.054173, id=,B06, PRDE,actvstrat=,-0.077839, actvprof=,0.385043, id=,B08, PRDE,actvstrat=,0.768678, actvprof=,4.257973, id=,B09, PRDE,actvstrat=,0.721934, actvprof=,5.807034, id=,S00, PRDE,actvstrat=,-0.192170, actvprof=,1.943271, id=,S01, PRDE,actvstrat=,-0.087508, actvprof=,1.666018, id=,S02, PRDE,actvstrat=,-0.625443, actvprof=,0.490888, id=,S06, PRDE,actvstrat=,-0.550875, actvprof=,0.003889, id=,S07, PRDE,actvstrat=,-0.461777, actvprof=,0.003889, best_B_id=,B09, best_B_prof=,5.807034, best_B_strat=,0.721934, best_S_id=,S00, best_S_prof=,1.943271, best_S_strat=,-0.192170, 
