t=,75600, id=,B00, PRDE,actvstrat=,-0.482273, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.086318, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.245867, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.124795, actvprof=,0.008890, id=,B07, PRDE,actvstrat=,0.579300, actvprof=,2.378565, id=,S00, PRDE,actvstrat=,-0.227610, actvprof=,3.273929, id=,S02, PRDE,actvstrat=,0.399188, actvprof=,2.909727, id=,S04, PRDE,actvstrat=,0.333473, actvprof=,0.416429, id=,S05, PRDE,actvstrat=,-0.845679, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,-0.091996, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.378565, best_B_strat=,0.579300, best_S_id=,S00, best_S_prof=,3.273929, best_S_strat=,-0.227610, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.482273, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.086318, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.245867, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.124795, actvprof=,0.006250, id=,B07, PRDE,actvstrat=,0.579300, actvprof=,2.410395, id=,S00, PRDE,actvstrat=,-0.227610, actvprof=,3.083900, id=,S02, PRDE,actvstrat=,0.399188, actvprof=,2.939032, id=,S04, PRDE,actvstrat=,0.333473, actvprof=,0.423354, id=,S05, PRDE,actvstrat=,-0.845679, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,-0.091996, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.410395, best_B_strat=,0.579300, best_S_id=,S00, best_S_prof=,3.083900, best_S_strat=,-0.227610, 
t=,82800, id=,B00, PRDE,actvstrat=,0.207008, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.875435, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.745208, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.696453, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.249626, actvprof=,2.109372, id=,S00, PRDE,actvstrat=,-0.903128, actvprof=,0.421152, id=,S02, PRDE,actvstrat=,0.205729, actvprof=,2.374953, id=,S04, PRDE,actvstrat=,-0.561545, actvprof=,0.053616, id=,S05, PRDE,actvstrat=,0.934877, actvprof=,0.093342, id=,S08, PRDE,actvstrat=,0.436924, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.109372, best_B_strat=,0.249626, best_S_id=,S02, best_S_prof=,2.374953, best_S_strat=,0.205729, 
t=,86400, id=,B00, PRDE,actvstrat=,0.207008, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.875435, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.745208, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.696453, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.249626, actvprof=,2.120505, id=,S00, PRDE,actvstrat=,-0.903128, actvprof=,0.511827, id=,S02, PRDE,actvstrat=,0.205729, actvprof=,2.342598, id=,S04, PRDE,actvstrat=,-0.561545, actvprof=,0.045974, id=,S05, PRDE,actvstrat=,0.934877, actvprof=,0.077364, id=,S08, PRDE,actvstrat=,0.436924, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.120505, best_B_strat=,0.249626, best_S_id=,S02, best_S_prof=,2.342598, best_S_strat=,0.205729, 
t=,90000, id=,B00, PRDE,actvstrat=,0.973952, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.636709, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.745208, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,-0.185331, actvprof=,0.006390, id=,B07, PRDE,actvstrat=,0.249626, actvprof=,2.794438, id=,S00, PRDE,actvstrat=,-0.358047, actvprof=,2.244385, id=,S02, PRDE,actvstrat=,0.205729, actvprof=,1.717945, id=,S04, PRDE,actvstrat=,0.852289, actvprof=,0.453100, id=,S05, PRDE,actvstrat=,0.934877, actvprof=,0.038615, id=,S08, PRDE,actvstrat=,0.279115, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.794438, best_B_strat=,0.249626, best_S_id=,S00, best_S_prof=,2.244385, best_S_strat=,-0.358047, 
t=,93600, id=,B00, PRDE,actvstrat=,0.973952, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.636709, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.745208, actvprof=,0.001945, id=,B04, PRDE,actvstrat=,-0.185331, actvprof=,0.005834, id=,B07, PRDE,actvstrat=,0.249626, actvprof=,2.806525, id=,S00, PRDE,actvstrat=,-0.358047, actvprof=,2.232053, id=,S02, PRDE,actvstrat=,0.205729, actvprof=,1.701610, id=,S04, PRDE,actvstrat=,0.852289, actvprof=,0.468634, id=,S05, PRDE,actvstrat=,0.934877, actvprof=,0.040141, id=,S08, PRDE,actvstrat=,0.279115, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.806525, best_B_strat=,0.249626, best_S_id=,S00, best_S_prof=,2.232053, best_S_strat=,-0.358047, 
t=,97200, id=,B00, PRDE,actvstrat=,0.207008, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.813060, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.546680, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.124795, actvprof=,0.002222, id=,B07, PRDE,actvstrat=,0.249626, actvprof=,2.413568, id=,S00, PRDE,actvstrat=,-0.903128, actvprof=,0.448655, id=,S02, PRDE,actvstrat=,0.205729, actvprof=,2.066590, id=,S04, PRDE,actvstrat=,0.839246, actvprof=,0.713680, id=,S05, PRDE,actvstrat=,0.610378, actvprof=,0.032503, id=,S08, PRDE,actvstrat=,0.005974, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.413568, best_B_strat=,0.249626, best_S_id=,S02, best_S_prof=,2.066590, best_S_strat=,0.205729, 
t=,100800, id=,B00, PRDE,actvstrat=,0.207008, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.813060, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.546680, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.124795, actvprof=,0.002778, id=,B07, PRDE,actvstrat=,0.249626, actvprof=,2.480121, id=,S00, PRDE,actvstrat=,-0.903128, actvprof=,0.424882, id=,S02, PRDE,actvstrat=,0.205729, actvprof=,1.971346, id=,S04, PRDE,actvstrat=,0.839246, actvprof=,0.723924, id=,S05, PRDE,actvstrat=,0.610378, actvprof=,0.030140, id=,S08, PRDE,actvstrat=,0.005974, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.480121, best_B_strat=,0.249626, best_S_id=,S02, best_S_prof=,1.971346, best_S_strat=,0.205729, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.771169, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.813060, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245611, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.185331, actvprof=,0.004445, id=,B07, PRDE,actvstrat=,-0.769251, actvprof=,1.357910, id=,S00, PRDE,actvstrat=,-0.377014, actvprof=,2.194380, id=,S02, PRDE,actvstrat=,0.205729, actvprof=,1.650716, id=,S04, PRDE,actvstrat=,0.839246, actvprof=,0.428097, id=,S05, PRDE,actvstrat=,0.117663, actvprof=,0.006112, id=,S08, PRDE,actvstrat=,0.005974, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.357910, best_B_strat=,-0.769251, best_S_id=,S00, best_S_prof=,2.194380, best_S_strat=,-0.377014, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.771169, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.813060, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245611, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.185331, actvprof=,0.003195, id=,B07, PRDE,actvstrat=,-0.769251, actvprof=,1.471044, id=,S00, PRDE,actvstrat=,-0.377014, actvprof=,2.126492, id=,S02, PRDE,actvstrat=,0.205729, actvprof=,1.582855, id=,S04, PRDE,actvstrat=,0.839246, actvprof=,0.364323, id=,S05, PRDE,actvstrat=,0.117663, actvprof=,0.003195, id=,S08, PRDE,actvstrat=,0.005974, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.471044, best_B_strat=,-0.769251, best_S_id=,S00, best_S_prof=,2.126492, best_S_strat=,-0.377014, 
