t=,79200, id=,B01, PRDE,actvstrat=,0.522130, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.307252, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.098248, actvprof=,0.013473, id=,B05, PRDE,actvstrat=,-0.212405, actvprof=,0.266950, id=,B06, PRDE,actvstrat=,-0.545437, actvprof=,0.980993, id=,S01, PRDE,actvstrat=,-0.689883, actvprof=,0.645430, id=,S03, PRDE,actvstrat=,-0.805921, actvprof=,0.023612, id=,S05, PRDE,actvstrat=,0.314556, actvprof=,0.000972, id=,S06, PRDE,actvstrat=,-0.485486, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.660407, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.980993, best_B_strat=,-0.545437, best_S_id=,S01, best_S_prof=,0.645430, best_S_strat=,-0.689883, 
t=,82800, id=,B01, PRDE,actvstrat=,0.075185, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.169502, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.075818, actvprof=,0.167229, id=,B05, PRDE,actvstrat=,-0.159416, actvprof=,0.618915, id=,B06, PRDE,actvstrat=,0.441775, actvprof=,2.842063, id=,S01, PRDE,actvstrat=,0.735454, actvprof=,3.121519, id=,S03, PRDE,actvstrat=,0.639648, actvprof=,0.313069, id=,S05, PRDE,actvstrat=,0.696021, actvprof=,0.006389, id=,S06, PRDE,actvstrat=,0.869187, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.360605, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.842063, best_B_strat=,0.441775, best_S_id=,S01, best_S_prof=,3.121519, best_S_strat=,0.735454, 
t=,86400, id=,B01, PRDE,actvstrat=,0.075185, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.169502, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.075818, actvprof=,0.166669, id=,B05, PRDE,actvstrat=,-0.159416, actvprof=,0.622648, id=,B06, PRDE,actvstrat=,0.441775, actvprof=,2.852401, id=,S01, PRDE,actvstrat=,0.735454, actvprof=,3.097404, id=,S03, PRDE,actvstrat=,0.639648, actvprof=,0.325699, id=,S05, PRDE,actvstrat=,0.696021, actvprof=,0.003750, id=,S06, PRDE,actvstrat=,0.869187, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.360605, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.852401, best_B_strat=,0.441775, best_S_id=,S01, best_S_prof=,3.097404, best_S_strat=,0.735454, 
t=,90000, id=,B01, PRDE,actvstrat=,0.435367, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.075818, actvprof=,0.181119, id=,B05, PRDE,actvstrat=,-0.026477, actvprof=,0.895871, id=,B06, PRDE,actvstrat=,-0.837260, actvprof=,0.815590, id=,S01, PRDE,actvstrat=,0.608810, actvprof=,2.637888, id=,S03, PRDE,actvstrat=,0.041227, actvprof=,0.133061, id=,S05, PRDE,actvstrat=,0.627803, actvprof=,0.000833, id=,S06, PRDE,actvstrat=,0.579432, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.207469, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.895871, best_B_strat=,-0.026477, best_S_id=,S01, best_S_prof=,2.637888, best_S_strat=,0.608810, 
t=,93600, id=,B01, PRDE,actvstrat=,0.435367, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,0.075818, actvprof=,0.211254, id=,B05, PRDE,actvstrat=,-0.026477, actvprof=,1.012521, id=,B06, PRDE,actvstrat=,-0.837260, actvprof=,0.845156, id=,S01, PRDE,actvstrat=,0.608810, actvprof=,2.505330, id=,S03, PRDE,actvstrat=,0.041227, actvprof=,0.100974, id=,S05, PRDE,actvstrat=,0.627803, actvprof=,0.000417, id=,S06, PRDE,actvstrat=,0.579432, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.207469, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.012521, best_B_strat=,-0.026477, best_S_id=,S01, best_S_prof=,2.505330, best_S_strat=,0.608810, 
t=,97200, id=,B01, PRDE,actvstrat=,-0.067351, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.040242, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.065427, actvprof=,0.435018, id=,B05, PRDE,actvstrat=,0.011887, actvprof=,1.448671, id=,B06, PRDE,actvstrat=,-0.059589, actvprof=,2.615109, id=,S01, PRDE,actvstrat=,-0.003713, actvprof=,0.951429, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.336681, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S06, PRDE,actvstrat=,0.160419, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.760351, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.615109, best_B_strat=,-0.059589, best_S_id=,S01, best_S_prof=,0.951429, best_S_strat=,-0.003713, 
t=,100800, id=,B01, PRDE,actvstrat=,-0.067351, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.040242, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.065427, actvprof=,0.434453, id=,B05, PRDE,actvstrat=,0.011887, actvprof=,1.501837, id=,B06, PRDE,actvstrat=,-0.059589, actvprof=,2.735613, id=,S01, PRDE,actvstrat=,-0.003713, actvprof=,0.988493, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.327368, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S06, PRDE,actvstrat=,0.160419, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.760351, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.735613, best_B_strat=,-0.059589, best_S_id=,S01, best_S_prof=,0.988493, best_S_strat=,-0.003713, 
t=,104400, id=,B01, PRDE,actvstrat=,0.540479, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.955517, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.084824, actvprof=,0.019167, id=,B05, PRDE,actvstrat=,0.011887, actvprof=,0.393628, id=,B06, PRDE,actvstrat=,0.989076, actvprof=,2.598164, id=,S01, PRDE,actvstrat=,-0.356460, actvprof=,0.954206, id=,S03, PRDE,actvstrat=,0.639648, actvprof=,0.910593, id=,S05, PRDE,actvstrat=,0.573793, actvprof=,0.013056, id=,S06, PRDE,actvstrat=,0.942234, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.336385, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.598164, best_B_strat=,0.989076, best_S_id=,S01, best_S_prof=,0.954206, best_S_strat=,-0.356460, 
t=,108000, id=,B01, PRDE,actvstrat=,0.540479, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.955517, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.084824, actvprof=,0.018056, id=,B05, PRDE,actvstrat=,0.011887, actvprof=,0.361952, id=,B06, PRDE,actvstrat=,0.989076, actvprof=,2.501997, id=,S01, PRDE,actvstrat=,-0.356460, actvprof=,0.986409, id=,S03, PRDE,actvstrat=,0.639648, actvprof=,0.968631, id=,S05, PRDE,actvstrat=,0.573793, actvprof=,0.021528, id=,S06, PRDE,actvstrat=,0.942234, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,0.336385, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.501997, best_B_strat=,0.989076, best_S_id=,S01, best_S_prof=,0.986409, best_S_strat=,-0.356460, 
t=,111600, id=,B01, PRDE,actvstrat=,0.353432, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.651378, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.170399, actvprof=,0.076114, id=,B05, PRDE,actvstrat=,-0.015026, actvprof=,0.950595, id=,B06, PRDE,actvstrat=,-0.227985, actvprof=,1.756462, id=,S01, PRDE,actvstrat=,0.559402, actvprof=,2.314541, id=,S03, PRDE,actvstrat=,0.141551, actvprof=,0.130005, id=,S05, PRDE,actvstrat=,-0.080938, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.842244, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.845899, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.756462, best_B_strat=,-0.227985, best_S_id=,S01, best_S_prof=,2.314541, best_S_strat=,0.559402, 
