t=,82800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.581721, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.287436, actvprof=,1.339871, id=,B08, PRDE,actvstrat=,0.340727, actvprof=,4.164074, id=,B09, PRDE,actvstrat=,0.589261, actvprof=,6.487665, id=,S01, PRDE,actvstrat=,0.501455, actvprof=,3.154239, id=,S03, PRDE,actvstrat=,0.102907, actvprof=,0.488943, id=,S05, PRDE,actvstrat=,0.730680, actvprof=,0.052228, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.010279, id=,S08, PRDE,actvstrat=,-0.744447, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.487665, best_B_strat=,0.589261, best_S_id=,S01, best_S_prof=,3.154239, best_S_strat=,0.501455, 
t=,86400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.581721, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.287436, actvprof=,1.412440, id=,B08, PRDE,actvstrat=,0.340727, actvprof=,4.271904, id=,B09, PRDE,actvstrat=,0.589261, actvprof=,6.519668, id=,S01, PRDE,actvstrat=,0.501455, actvprof=,3.181288, id=,S03, PRDE,actvstrat=,0.102907, actvprof=,0.488916, id=,S05, PRDE,actvstrat=,0.730680, actvprof=,0.040974, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.009584, id=,S08, PRDE,actvstrat=,-0.744447, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.519668, best_B_strat=,0.589261, best_S_id=,S01, best_S_prof=,3.181288, best_S_strat=,0.501455, 
t=,90000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.039597, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.283179, actvprof=,3.101135, id=,B08, PRDE,actvstrat=,0.115143, actvprof=,4.289584, id=,B09, PRDE,actvstrat=,0.670972, actvprof=,7.162919, id=,S01, PRDE,actvstrat=,0.333000, actvprof=,2.204103, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.903796, id=,S05, PRDE,actvstrat=,0.699625, actvprof=,0.041115, id=,S07, PRDE,actvstrat=,0.240377, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.074225, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.162919, best_B_strat=,0.670972, best_S_id=,S01, best_S_prof=,2.204103, best_S_strat=,0.333000, 
t=,93600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.039597, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.283179, actvprof=,3.105728, id=,B08, PRDE,actvstrat=,0.115143, actvprof=,4.309545, id=,B09, PRDE,actvstrat=,0.670972, actvprof=,7.098589, id=,S01, PRDE,actvstrat=,0.333000, actvprof=,2.391105, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.948442, id=,S05, PRDE,actvstrat=,0.699625, actvprof=,0.055975, id=,S07, PRDE,actvstrat=,0.240377, actvprof=,0.001250, id=,S08, PRDE,actvstrat=,-0.074225, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.098589, best_B_strat=,0.670972, best_S_id=,S01, best_S_prof=,2.391105, best_S_strat=,0.333000, 
t=,97200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.553508, actvprof=,0.000278, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.071564, id=,B08, PRDE,actvstrat=,0.434816, actvprof=,4.999444, id=,B09, PRDE,actvstrat=,0.789422, actvprof=,7.233859, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.096955, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.083843, id=,S05, PRDE,actvstrat=,0.699625, actvprof=,0.040004, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,-0.092608, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.233859, best_B_strat=,0.789422, best_S_id=,S01, best_S_prof=,5.096955, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.553508, actvprof=,0.000139, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.163148, id=,B08, PRDE,actvstrat=,0.434816, actvprof=,5.095700, id=,B09, PRDE,actvstrat=,0.789422, actvprof=,7.390133, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.978054, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.983582, id=,S05, PRDE,actvstrat=,0.699625, actvprof=,0.044725, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.012362, id=,S08, PRDE,actvstrat=,-0.092608, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.390133, best_B_strat=,0.789422, best_S_id=,S01, best_S_prof=,4.978054, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.581721, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.681871, actvprof=,3.961273, id=,B08, PRDE,actvstrat=,0.188196, actvprof=,4.589399, id=,B09, PRDE,actvstrat=,0.326038, actvprof=,6.711579, id=,S01, PRDE,actvstrat=,0.971319, actvprof=,4.975275, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.745750, id=,S05, PRDE,actvstrat=,0.699625, actvprof=,0.046116, id=,S07, PRDE,actvstrat=,0.733198, actvprof=,0.006112, id=,S08, PRDE,actvstrat=,-0.686617, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.711579, best_B_strat=,0.326038, best_S_id=,S01, best_S_prof=,4.975275, best_S_strat=,0.971319, 
t=,108000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.581721, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.681871, actvprof=,3.963415, id=,B08, PRDE,actvstrat=,0.188196, actvprof=,4.690816, id=,B09, PRDE,actvstrat=,0.326038, actvprof=,6.687733, id=,S01, PRDE,actvstrat=,0.971319, actvprof=,4.917079, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.749125, id=,S05, PRDE,actvstrat=,0.699625, actvprof=,0.041808, id=,S07, PRDE,actvstrat=,0.733198, actvprof=,0.004584, id=,S08, PRDE,actvstrat=,-0.686617, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.687733, best_B_strat=,0.326038, best_S_id=,S01, best_S_prof=,4.917079, best_S_strat=,0.971319, 
t=,111600, id=,B00, PRDE,actvstrat=,0.582106, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.228712, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.761418, id=,B08, PRDE,actvstrat=,0.230536, actvprof=,3.179798, id=,B09, PRDE,actvstrat=,0.420799, actvprof=,5.244749, id=,S01, PRDE,actvstrat=,0.521493, actvprof=,4.004612, id=,S03, PRDE,actvstrat=,-0.117675, actvprof=,0.240304, id=,S05, PRDE,actvstrat=,0.761735, actvprof=,0.145850, id=,S07, PRDE,actvstrat=,0.889915, actvprof=,0.009168, id=,S08, PRDE,actvstrat=,-0.523408, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.244749, best_B_strat=,0.420799, best_S_id=,S01, best_S_prof=,4.004612, best_S_strat=,0.521493, 
t=,115200, id=,B00, PRDE,actvstrat=,0.582106, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.228712, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.745272, id=,B08, PRDE,actvstrat=,0.230536, actvprof=,3.144042, id=,B09, PRDE,actvstrat=,0.420799, actvprof=,5.372483, id=,S01, PRDE,actvstrat=,0.521493, actvprof=,3.881161, id=,S03, PRDE,actvstrat=,-0.117675, actvprof=,0.276541, id=,S05, PRDE,actvstrat=,0.761735, actvprof=,0.144729, id=,S07, PRDE,actvstrat=,0.889915, actvprof=,0.009167, id=,S08, PRDE,actvstrat=,-0.523408, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.372483, best_B_strat=,0.420799, best_S_id=,S01, best_S_prof=,3.881161, best_S_strat=,0.521493, 
