B01, Trade, 4319840.043, 65, S04, B01, 1
B01, Trade, 4319845.443, 60, S00, B01, 1
B01, Trade, 4319855.643, 60, S08, B01, 1
B01, Trade, 4319858.893, 62, S07, B01, 1
B01, Trade, 4319868.343, 60, S05, B01, 1
B01, Trade, 4319872.293, 74, B01, S06, 1
B01, Trade, 4319877.193, 60, S05, B01, 1
B01, Trade, 4319880.693, 64, S00, B01, 1
B01, Trade, 4319886.493, 61, S08, B01, 1
B01, Trade, 4319893.793, 60, S08, B01, 1
B01, Trade, 4319898.193, 62, S04, B01, 1
B01, Trade, 4319903.593, 63, S08, B01, 1
B01, Trade, 4319904.943, 60, S01, B01, 1
B01, Trade, 4319915.393, 61, S04, B01, 1
B01, Trade, 4319917.243, 75, S05, B01, 1
B01, Trade, 4319922.443, 60, S01, B01, 1
B01, Trade, 4319925.693, 62, S00, B01, 1
B01, Trade, 4319936.393, 60, S01, B01, 1
B01, Trade, 4319938.293, 64, S09, B01, 1
B01, Trade, 4319941.793, 60, S05, B01, 1
B01, Trade, 4319951.943, 60, S01, B01, 1
B01, Trade, 4319959.693, 92, B01, S03, 1
B01, Trade, 4319962.793, 61, S08, B01, 1
B01, Trade, 4319971.693, 61, S04, B01, 1
B01, Trade, 4319978.093, 60, S01, B01, 1
B01, Trade, 4319985.793, 60, S08, B01, 1
B01, Trade, 4319989.543, 62, S03, B01, 1
B01, Trade, 4319992.243, 60, S07, B01, 1
B02, 100
B02, Trade, 4319063.343, 62, S07, B02, 1
B02, Trade, 4319075.043, 61, S01, B02, 1
B02, Trade, 4319079.993, 61, B02, S08, 1
B02, Trade, 4319094.993, 64, B02, S02, 1
B02, Trade, 4319104.793, 61, B02, S03, 1
B02, Trade, 4319107.493, 60, S07, B02, 1
B02, Trade, 4319108.793, 61, B02, S03, 1
B02, Trade, 4319117.043, 60, S06, B02, 1
B02, Trade, 4319124.443, 61, S06, B02, 1
B02, Trade, 4319148.093, 60, S01, B02, 1
B02, Trade, 4319155.893, 60, S01, B02, 1
B02, Trade, 4319160.893, 60, B02, S00, 1
B02, Trade, 4319169.093, 63, B02, S04, 1
B02, Trade, 4319175.543, 61, S02, B02, 1
B02, Trade, 4319192.943, 140, B02, S03, 1
B02, Trade, 4319201.843, 62, B02, S05, 1
B02, Trade, 4319222.993, 71, B02, S01, 1
B02, Trade, 4319233.043, 60, B02, S03, 1
B02, Trade, 4319240.443, 140, B02, S05, 1
B02, Trade, 4319245.893, 132, B02, S09, 1
B02, Trade, 4319250.793, 140, B02, S08, 1
B02, Trade, 4319263.743, 61, S08, B02, 1
B02, Trade, 4319276.343, 60, B02, S06, 1
B02, Trade, 4319290.743, 60, S06, B02, 1
B02, Trade, 4319303.193, 60, B02, S02, 1
B02, Trade, 4319305.843, 60, S01, B02, 1
B02, Trade, 4319319.593, 62, S07, B02, 1
B02, Trade, 4319321.593, 60, S08, B02, 1
B02, Trade, 4319330.693, 69, S03, B02, 1
B02, Trade, 4319345.343, 63, S06, B02, 1
B02, Trade, 4319355.143, 60, S01, B02, 1
