t=,79200, id=,B02, PRDE,actvstrat=,0.025036, actvprof=,0.003194, id=,B04, PRDE,actvstrat=,0.395717, actvprof=,0.495701, id=,B05, PRDE,actvstrat=,-0.370867, actvprof=,0.770011, id=,B06, PRDE,actvstrat=,-0.928228, actvprof=,0.922513, id=,B08, PRDE,actvstrat=,0.145163, actvprof=,6.173419, id=,S00, PRDE,actvstrat=,0.455686, actvprof=,3.310046, id=,S01, PRDE,actvstrat=,0.964984, actvprof=,3.346296, id=,S05, PRDE,actvstrat=,0.948232, actvprof=,0.017222, id=,S07, PRDE,actvstrat=,-0.793648, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.754232, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.173419, best_B_strat=,0.145163, best_S_id=,S01, best_S_prof=,3.346296, best_S_strat=,0.964984, 
t=,82800, id=,B02, PRDE,actvstrat=,0.862991, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.155419, actvprof=,0.053059, id=,B05, PRDE,actvstrat=,0.181808, actvprof=,0.595311, id=,B06, PRDE,actvstrat=,0.447674, actvprof=,2.095116, id=,B08, PRDE,actvstrat=,-0.253719, actvprof=,3.543808, id=,S00, PRDE,actvstrat=,0.134096, actvprof=,3.684371, id=,S01, PRDE,actvstrat=,-0.659987, actvprof=,1.109506, id=,S05, PRDE,actvstrat=,-0.637629, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,0.982196, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,0.754232, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.543808, best_B_strat=,-0.253719, best_S_id=,S00, best_S_prof=,3.684371, best_S_strat=,0.134096, 
t=,86400, id=,B02, PRDE,actvstrat=,0.862991, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,0.155419, actvprof=,0.046668, id=,B05, PRDE,actvstrat=,0.181808, actvprof=,0.589040, id=,B06, PRDE,actvstrat=,0.447674, actvprof=,2.054209, id=,B08, PRDE,actvstrat=,-0.253719, actvprof=,3.476600, id=,S00, PRDE,actvstrat=,0.134096, actvprof=,3.744245, id=,S01, PRDE,actvstrat=,-0.659987, actvprof=,1.177108, id=,S05, PRDE,actvstrat=,-0.637629, actvprof=,0.002361, id=,S07, PRDE,actvstrat=,0.982196, actvprof=,0.000694, id=,S09, PRDE,actvstrat=,0.754232, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.476600, best_B_strat=,-0.253719, best_S_id=,S00, best_S_prof=,3.744245, best_S_strat=,0.134096, 
t=,90000, id=,B02, PRDE,actvstrat=,-0.727544, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,0.155419, actvprof=,0.055281, id=,B05, PRDE,actvstrat=,0.573964, actvprof=,0.750319, id=,B06, PRDE,actvstrat=,-0.044307, actvprof=,1.247847, id=,B08, PRDE,actvstrat=,0.777151, actvprof=,5.410578, id=,S00, PRDE,actvstrat=,0.226651, actvprof=,4.188010, id=,S01, PRDE,actvstrat=,-0.174105, actvprof=,1.748708, id=,S05, PRDE,actvstrat=,-0.145210, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.257370, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,0.754232, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.410578, best_B_strat=,0.777151, best_S_id=,S00, best_S_prof=,4.188010, best_S_strat=,0.226651, 
t=,93600, id=,B02, PRDE,actvstrat=,-0.727544, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.155419, actvprof=,0.061668, id=,B05, PRDE,actvstrat=,0.573964, actvprof=,0.749465, id=,B06, PRDE,actvstrat=,-0.044307, actvprof=,1.232812, id=,B08, PRDE,actvstrat=,0.777151, actvprof=,5.436123, id=,S00, PRDE,actvstrat=,0.226651, actvprof=,4.266785, id=,S01, PRDE,actvstrat=,-0.174105, actvprof=,1.675602, id=,S05, PRDE,actvstrat=,-0.145210, actvprof=,0.004861, id=,S07, PRDE,actvstrat=,0.257370, actvprof=,0.001111, id=,S09, PRDE,actvstrat=,0.754232, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.436123, best_B_strat=,0.777151, best_S_id=,S00, best_S_prof=,4.266785, best_S_strat=,0.226651, 
t=,97200, id=,B02, PRDE,actvstrat=,-0.893501, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.495217, actvprof=,0.032502, id=,B05, PRDE,actvstrat=,0.057173, actvprof=,0.358353, id=,B06, PRDE,actvstrat=,0.447674, actvprof=,1.776210, id=,B08, PRDE,actvstrat=,0.145163, actvprof=,4.472748, id=,S00, PRDE,actvstrat=,-0.029383, actvprof=,3.381299, id=,S01, PRDE,actvstrat=,-0.659987, actvprof=,1.332574, id=,S05, PRDE,actvstrat=,-0.637629, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,0.982196, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,-0.551486, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.472748, best_B_strat=,0.145163, best_S_id=,S00, best_S_prof=,3.381299, best_S_strat=,-0.029383, 
t=,100800, id=,B02, PRDE,actvstrat=,-0.893501, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.495217, actvprof=,0.051807, id=,B05, PRDE,actvstrat=,0.057173, actvprof=,0.400983, id=,B06, PRDE,actvstrat=,0.447674, actvprof=,1.826856, id=,B08, PRDE,actvstrat=,0.145163, actvprof=,4.432206, id=,S00, PRDE,actvstrat=,-0.029383, actvprof=,3.480374, id=,S01, PRDE,actvstrat=,-0.659987, actvprof=,1.354899, id=,S05, PRDE,actvstrat=,-0.637629, actvprof=,0.000972, id=,S07, PRDE,actvstrat=,0.982196, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,-0.551486, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.432206, best_B_strat=,0.145163, best_S_id=,S00, best_S_prof=,3.480374, best_S_strat=,-0.029383, 
t=,104400, id=,B02, PRDE,actvstrat=,0.711044, actvprof=,0.010556, id=,B04, PRDE,actvstrat=,-0.517286, actvprof=,0.093339, id=,B05, PRDE,actvstrat=,0.057173, actvprof=,0.934496, id=,B06, PRDE,actvstrat=,0.447674, actvprof=,2.710984, id=,B08, PRDE,actvstrat=,-0.676284, actvprof=,4.233013, id=,S00, PRDE,actvstrat=,0.644104, actvprof=,4.341352, id=,S01, PRDE,actvstrat=,0.495774, actvprof=,2.740708, id=,S05, PRDE,actvstrat=,-0.637629, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,0.029657, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.284874, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.233013, best_B_strat=,-0.676284, best_S_id=,S00, best_S_prof=,4.341352, best_S_strat=,0.644104, 
t=,108000, id=,B02, PRDE,actvstrat=,0.711044, actvprof=,0.010417, id=,B04, PRDE,actvstrat=,-0.517286, actvprof=,0.088058, id=,B05, PRDE,actvstrat=,0.057173, actvprof=,0.916137, id=,B06, PRDE,actvstrat=,0.447674, actvprof=,2.728687, id=,B08, PRDE,actvstrat=,-0.676284, actvprof=,4.179838, id=,S00, PRDE,actvstrat=,0.644104, actvprof=,4.384288, id=,S01, PRDE,actvstrat=,0.495774, actvprof=,2.665768, id=,S05, PRDE,actvstrat=,-0.637629, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,0.029657, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.284874, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.179838, best_B_strat=,-0.676284, best_S_id=,S00, best_S_prof=,4.384288, best_S_strat=,0.644104, 
t=,111600, id=,B02, PRDE,actvstrat=,-0.727544, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.395717, actvprof=,0.157233, id=,B05, PRDE,actvstrat=,0.121043, actvprof=,0.795889, id=,B06, PRDE,actvstrat=,0.246656, actvprof=,2.213765, id=,B08, PRDE,actvstrat=,-0.676284, actvprof=,3.576637, id=,S00, PRDE,actvstrat=,0.134096, actvprof=,3.223835, id=,S01, PRDE,actvstrat=,0.495774, actvprof=,2.958817, id=,S05, PRDE,actvstrat=,-0.145210, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.409418, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,0.284874, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.576637, best_B_strat=,-0.676284, best_S_id=,S00, best_S_prof=,3.223835, best_S_strat=,0.134096, 
