t=,75600, id=,B01, PRDE,actvstrat=,-0.949799, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.261990, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.724708, actvprof=,0.007778, id=,B08, PRDE,actvstrat=,0.535472, actvprof=,5.193200, id=,B09, PRDE,actvstrat=,0.790932, actvprof=,7.369094, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.589044, id=,S01, PRDE,actvstrat=,-0.474507, actvprof=,0.926415, id=,S02, PRDE,actvstrat=,0.953677, actvprof=,3.305370, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.688352, id=,S08, PRDE,actvstrat=,-0.364850, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.369094, best_B_strat=,0.790932, best_S_id=,S00, best_S_prof=,5.589044, best_S_strat=,-1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.949799, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.261990, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.724708, actvprof=,0.013473, id=,B08, PRDE,actvstrat=,0.535472, actvprof=,5.198653, id=,B09, PRDE,actvstrat=,0.790932, actvprof=,7.362895, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.607695, id=,S01, PRDE,actvstrat=,-0.474507, actvprof=,0.904754, id=,S02, PRDE,actvstrat=,0.953677, actvprof=,3.283864, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.647939, id=,S08, PRDE,actvstrat=,-0.364850, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.362895, best_B_strat=,0.790932, best_S_id=,S00, best_S_prof=,5.607695, best_S_strat=,-1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.017501, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.773109, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.134593, id=,S00, PRDE,actvstrat=,-0.840757, actvprof=,0.303354, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.985416, id=,S02, PRDE,actvstrat=,0.749483, actvprof=,3.084659, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.078130, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.134593, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.985416, best_S_strat=,1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.017640, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.694885, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.200354, id=,S00, PRDE,actvstrat=,-0.840757, actvprof=,0.288204, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.048266, id=,S02, PRDE,actvstrat=,0.749483, actvprof=,3.013299, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.076843, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.200354, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,6.048266, best_S_strat=,1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,0.775535, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.078514, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.387579, actvprof=,0.047226, id=,B08, PRDE,actvstrat=,0.163632, actvprof=,3.283284, id=,B09, PRDE,actvstrat=,0.083785, actvprof=,4.576985, id=,S00, PRDE,actvstrat=,0.430223, actvprof=,4.192236, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.891520, id=,S02, PRDE,actvstrat=,-0.399836, actvprof=,0.276686, id=,S04, PRDE,actvstrat=,0.581893, actvprof=,0.255851, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.576985, best_B_strat=,0.083785, best_S_id=,S01, best_S_prof=,5.891520, best_S_strat=,1.000000, 
t=,93600, id=,B01, PRDE,actvstrat=,0.775535, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.078514, actvprof=,0.001528, id=,B04, PRDE,actvstrat=,0.387579, actvprof=,0.033751, id=,B08, PRDE,actvstrat=,0.163632, actvprof=,3.197055, id=,B09, PRDE,actvstrat=,0.083785, actvprof=,4.645022, id=,S00, PRDE,actvstrat=,0.430223, actvprof=,4.284454, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.923956, id=,S02, PRDE,actvstrat=,-0.399836, actvprof=,0.274593, id=,S04, PRDE,actvstrat=,0.581893, actvprof=,0.309594, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.645022, best_B_strat=,0.083785, best_S_id=,S01, best_S_prof=,5.923956, best_S_strat=,1.000000, 
t=,97200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.023057, id=,B08, PRDE,actvstrat=,-0.858110, actvprof=,1.779315, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.865572, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.071700, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.247021, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.047198, id=,S04, PRDE,actvstrat=,0.403500, actvprof=,0.061672, id=,S08, PRDE,actvstrat=,0.535270, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.865572, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.071700, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.021806, id=,B08, PRDE,actvstrat=,-0.858110, actvprof=,1.825354, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.923622, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.027098, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.336014, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.043460, id=,S04, PRDE,actvstrat=,0.403500, actvprof=,0.064447, id=,S08, PRDE,actvstrat=,0.535270, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.923622, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.027098, best_S_strat=,1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.347097, actvprof=,0.013890, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.838181, id=,B09, PRDE,actvstrat=,0.083785, actvprof=,5.334056, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.147262, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.302109, id=,S02, PRDE,actvstrat=,-0.445821, actvprof=,0.256966, id=,S04, PRDE,actvstrat=,0.701750, actvprof=,0.295580, id=,S08, PRDE,actvstrat=,0.535270, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.334056, best_B_strat=,0.083785, best_S_id=,S00, best_S_prof=,7.147262, best_S_strat=,1.000000, 
t=,108000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,0.347097, actvprof=,0.010556, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.897565, id=,B09, PRDE,actvstrat=,0.083785, actvprof=,5.166743, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.156965, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.122991, id=,S02, PRDE,actvstrat=,-0.445821, actvprof=,0.251399, id=,S04, PRDE,actvstrat=,0.701750, actvprof=,0.294735, id=,S08, PRDE,actvstrat=,0.535270, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.166743, best_B_strat=,0.083785, best_S_id=,S00, best_S_prof=,7.156965, best_S_strat=,1.000000, 
