t=,79200, id=,B01, PRDE,actvstrat=,-0.961084, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.839286, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.249845, actvprof=,0.506549, id=,B07, PRDE,actvstrat=,-0.434924, actvprof=,1.485756, id=,B08, PRDE,actvstrat=,0.678723, actvprof=,5.244941, id=,S00, PRDE,actvstrat=,-0.866240, actvprof=,1.455755, id=,S01, PRDE,actvstrat=,-0.092794, actvprof=,2.613859, id=,S03, PRDE,actvstrat=,0.033521, actvprof=,0.730586, id=,S06, PRDE,actvstrat=,0.203499, actvprof=,0.003472, id=,S09, PRDE,actvstrat=,0.840398, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.244941, best_B_strat=,0.678723, best_S_id=,S01, best_S_prof=,2.613859, best_S_strat=,-0.092794, 
t=,82800, id=,B01, PRDE,actvstrat=,0.146732, actvprof=,0.002222, id=,B02, PRDE,actvstrat=,-0.150630, actvprof=,0.005556, id=,B06, PRDE,actvstrat=,-0.034585, actvprof=,1.301775, id=,B07, PRDE,actvstrat=,-0.307207, actvprof=,2.080451, id=,B08, PRDE,actvstrat=,-0.253285, actvprof=,3.452510, id=,S00, PRDE,actvstrat=,0.991626, actvprof=,6.274967, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.712059, id=,S03, PRDE,actvstrat=,-0.387637, actvprof=,0.155291, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.113213, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.452510, best_B_strat=,-0.253285, best_S_id=,S00, best_S_prof=,6.274967, best_S_strat=,0.991626, 
t=,86400, id=,B01, PRDE,actvstrat=,0.146732, actvprof=,0.002222, id=,B02, PRDE,actvstrat=,-0.150630, actvprof=,0.005834, id=,B06, PRDE,actvstrat=,-0.034585, actvprof=,1.277831, id=,B07, PRDE,actvstrat=,-0.307207, actvprof=,2.103282, id=,B08, PRDE,actvstrat=,-0.253285, actvprof=,3.558759, id=,S00, PRDE,actvstrat=,0.991626, actvprof=,6.201786, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.722836, id=,S03, PRDE,actvstrat=,-0.387637, actvprof=,0.139450, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.113213, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.558759, best_B_strat=,-0.253285, best_S_id=,S00, best_S_prof=,6.201786, best_S_strat=,0.991626, 
t=,90000, id=,B01, PRDE,actvstrat=,0.276117, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.104237, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.502663, actvprof=,1.287329, id=,B07, PRDE,actvstrat=,0.093948, actvprof=,2.066006, id=,B08, PRDE,actvstrat=,-0.608632, actvprof=,2.429091, id=,S00, PRDE,actvstrat=,-0.560057, actvprof=,3.385004, id=,S01, PRDE,actvstrat=,0.005216, actvprof=,3.312498, id=,S03, PRDE,actvstrat=,-0.684078, actvprof=,0.336973, id=,S06, PRDE,actvstrat=,0.673547, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,0.669903, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.429091, best_B_strat=,-0.608632, best_S_id=,S00, best_S_prof=,3.385004, best_S_strat=,-0.560057, 
t=,93600, id=,B01, PRDE,actvstrat=,0.276117, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.104237, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.502663, actvprof=,1.255886, id=,B07, PRDE,actvstrat=,0.093948, actvprof=,2.103838, id=,B08, PRDE,actvstrat=,-0.608632, actvprof=,2.399961, id=,S00, PRDE,actvstrat=,-0.560057, actvprof=,3.416115, id=,S01, PRDE,actvstrat=,0.005216, actvprof=,3.425421, id=,S03, PRDE,actvstrat=,-0.684078, actvprof=,0.363626, id=,S06, PRDE,actvstrat=,0.673547, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,0.669903, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.399961, best_B_strat=,-0.608632, best_S_id=,S01, best_S_prof=,3.425421, best_S_strat=,0.005216, 
t=,97200, id=,B01, PRDE,actvstrat=,0.255602, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.353433, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.560175, actvprof=,0.662268, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.891381, id=,B08, PRDE,actvstrat=,0.263045, actvprof=,4.479756, id=,S00, PRDE,actvstrat=,0.571701, actvprof=,5.499549, id=,S01, PRDE,actvstrat=,-0.285046, actvprof=,1.883186, id=,S03, PRDE,actvstrat=,0.628934, actvprof=,1.008959, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.016946, id=,S09, PRDE,actvstrat=,0.564242, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.479756, best_B_strat=,0.263045, best_S_id=,S00, best_S_prof=,5.499549, best_S_strat=,0.571701, 
t=,100800, id=,B01, PRDE,actvstrat=,0.255602, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,0.353433, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.560175, actvprof=,0.681695, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.882523, id=,B08, PRDE,actvstrat=,0.263045, actvprof=,4.467825, id=,S00, PRDE,actvstrat=,0.571701, actvprof=,5.473284, id=,S01, PRDE,actvstrat=,-0.285046, actvprof=,1.850494, id=,S03, PRDE,actvstrat=,0.628934, actvprof=,1.037265, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.017223, id=,S09, PRDE,actvstrat=,0.564242, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.467825, best_B_strat=,0.263045, best_S_id=,S00, best_S_prof=,5.473284, best_S_strat=,0.571701, 
t=,104400, id=,B01, PRDE,actvstrat=,0.483479, actvprof=,0.005278, id=,B02, PRDE,actvstrat=,0.070340, actvprof=,0.024725, id=,B06, PRDE,actvstrat=,-0.034300, actvprof=,1.370133, id=,B07, PRDE,actvstrat=,-0.478232, actvprof=,2.221883, id=,B08, PRDE,actvstrat=,0.084502, actvprof=,4.555721, id=,S00, PRDE,actvstrat=,0.991626, actvprof=,5.998917, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.486269, id=,S03, PRDE,actvstrat=,0.365570, actvprof=,0.662842, id=,S06, PRDE,actvstrat=,0.271865, actvprof=,0.004723, id=,S09, PRDE,actvstrat=,-0.733112, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.555721, best_B_strat=,0.084502, best_S_id=,S00, best_S_prof=,5.998917, best_S_strat=,0.991626, 
t=,108000, id=,B01, PRDE,actvstrat=,0.483479, actvprof=,0.004584, id=,B02, PRDE,actvstrat=,0.070340, actvprof=,0.018195, id=,B06, PRDE,actvstrat=,-0.034300, actvprof=,1.334093, id=,B07, PRDE,actvstrat=,-0.478232, actvprof=,2.172745, id=,B08, PRDE,actvstrat=,0.084502, actvprof=,4.639670, id=,S00, PRDE,actvstrat=,0.991626, actvprof=,5.978207, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.523275, id=,S03, PRDE,actvstrat=,0.365570, actvprof=,0.627808, id=,S06, PRDE,actvstrat=,0.271865, actvprof=,0.002639, id=,S09, PRDE,actvstrat=,-0.733112, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.639670, best_B_strat=,0.084502, best_S_id=,S00, best_S_prof=,5.978207, best_S_strat=,0.991626, 
t=,111600, id=,B01, PRDE,actvstrat=,0.694941, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.308597, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.446430, actvprof=,0.976220, id=,B07, PRDE,actvstrat=,-0.309255, actvprof=,2.360540, id=,B08, PRDE,actvstrat=,0.189335, actvprof=,4.891377, id=,S00, PRDE,actvstrat=,0.540956, actvprof=,4.917769, id=,S01, PRDE,actvstrat=,0.447298, actvprof=,3.137849, id=,S03, PRDE,actvstrat=,0.803321, actvprof=,0.941216, id=,S06, PRDE,actvstrat=,0.297157, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,-0.326533, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.891377, best_B_strat=,0.189335, best_S_id=,S00, best_S_prof=,4.917769, best_S_strat=,0.540956, 
t=,115200, id=,B01, PRDE,actvstrat=,0.694941, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.308597, actvprof=,0.001528, id=,B06, PRDE,actvstrat=,-0.446430, actvprof=,0.994771, id=,B07, PRDE,actvstrat=,-0.309255, actvprof=,2.407756, id=,B08, PRDE,actvstrat=,0.189335, actvprof=,4.966630, id=,S00, PRDE,actvstrat=,0.540956, actvprof=,4.940101, id=,S01, PRDE,actvstrat=,0.447298, actvprof=,3.165015, id=,S03, PRDE,actvstrat=,0.803321, actvprof=,0.936157, id=,S06, PRDE,actvstrat=,0.297157, actvprof=,0.002222, id=,S09, PRDE,actvstrat=,-0.326533, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.966630, best_B_strat=,0.189335, best_S_id=,S00, best_S_prof=,4.940101, best_S_strat=,0.540956, 
