t=,75600, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.627695, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.553107, actvprof=,0.133346, id=,B07, PRDE,actvstrat=,0.929956, actvprof=,2.805273, id=,B09, PRDE,actvstrat=,-0.371462, actvprof=,3.313100, id=,S01, PRDE,actvstrat=,-0.490518, actvprof=,1.793230, id=,S03, PRDE,actvstrat=,0.955356, actvprof=,2.746934, id=,S04, PRDE,actvstrat=,-0.545651, actvprof=,0.096676, id=,S05, PRDE,actvstrat=,0.310141, actvprof=,0.076674, id=,S08, PRDE,actvstrat=,0.569809, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.313100, best_B_strat=,-0.371462, best_S_id=,S03, best_S_prof=,2.746934, best_S_strat=,0.955356, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.627695, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.553107, actvprof=,0.137784, id=,B07, PRDE,actvstrat=,0.929956, actvprof=,2.716382, id=,B09, PRDE,actvstrat=,-0.371462, actvprof=,3.435861, id=,S01, PRDE,actvstrat=,-0.490518, actvprof=,1.914815, id=,S03, PRDE,actvstrat=,0.955356, actvprof=,2.747911, id=,S04, PRDE,actvstrat=,-0.545651, actvprof=,0.079587, id=,S05, PRDE,actvstrat=,0.310141, actvprof=,0.073754, id=,S08, PRDE,actvstrat=,0.569809, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.435861, best_B_strat=,-0.371462, best_S_id=,S03, best_S_prof=,2.747911, best_S_strat=,0.955356, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.606511, actvprof=,0.288361, id=,B07, PRDE,actvstrat=,0.839509, actvprof=,3.236704, id=,B09, PRDE,actvstrat=,-0.798773, actvprof=,2.980012, id=,S01, PRDE,actvstrat=,0.095315, actvprof=,3.115581, id=,S03, PRDE,actvstrat=,0.955356, actvprof=,2.269387, id=,S04, PRDE,actvstrat=,-0.359097, actvprof=,0.039726, id=,S05, PRDE,actvstrat=,-0.994290, actvprof=,0.141403, id=,S08, PRDE,actvstrat=,0.941156, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.236704, best_B_strat=,0.839509, best_S_id=,S01, best_S_prof=,3.115581, best_S_strat=,0.095315, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.606511, actvprof=,0.285153, id=,B07, PRDE,actvstrat=,0.839509, actvprof=,3.255158, id=,B09, PRDE,actvstrat=,-0.798773, actvprof=,3.039731, id=,S01, PRDE,actvstrat=,0.095315, actvprof=,3.163070, id=,S03, PRDE,actvstrat=,0.955356, actvprof=,2.282333, id=,S04, PRDE,actvstrat=,-0.359097, actvprof=,0.038196, id=,S05, PRDE,actvstrat=,-0.994290, actvprof=,0.135284, id=,S08, PRDE,actvstrat=,0.941156, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.255158, best_B_strat=,0.839509, best_S_id=,S01, best_S_prof=,3.163070, best_S_strat=,0.095315, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.324870, actvprof=,0.118623, id=,B07, PRDE,actvstrat=,-0.127376, actvprof=,2.087425, id=,B09, PRDE,actvstrat=,0.236842, actvprof=,6.119762, id=,S01, PRDE,actvstrat=,0.095315, actvprof=,2.686372, id=,S03, PRDE,actvstrat=,0.678943, actvprof=,1.165391, id=,S04, PRDE,actvstrat=,0.027874, actvprof=,0.095009, id=,S05, PRDE,actvstrat=,-0.994290, actvprof=,0.075007, id=,S08, PRDE,actvstrat=,0.941156, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.119762, best_B_strat=,0.236842, best_S_id=,S01, best_S_prof=,2.686372, best_S_strat=,0.095315, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.324870, actvprof=,0.116533, id=,B07, PRDE,actvstrat=,-0.127376, actvprof=,2.095519, id=,B09, PRDE,actvstrat=,0.236842, actvprof=,6.222664, id=,S01, PRDE,actvstrat=,0.095315, actvprof=,2.689992, id=,S03, PRDE,actvstrat=,0.678943, actvprof=,1.085747, id=,S04, PRDE,actvstrat=,0.027874, actvprof=,0.089171, id=,S05, PRDE,actvstrat=,-0.994290, actvprof=,0.071115, id=,S08, PRDE,actvstrat=,0.941156, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.222664, best_B_strat=,0.236842, best_S_id=,S01, best_S_prof=,2.689992, best_S_strat=,0.095315, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.586366, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.295580, actvprof=,0.001667, id=,B07, PRDE,actvstrat=,0.950780, actvprof=,2.076591, id=,B09, PRDE,actvstrat=,0.231005, actvprof=,4.020946, id=,S01, PRDE,actvstrat=,0.095315, actvprof=,4.584057, id=,S03, PRDE,actvstrat=,-0.796799, actvprof=,0.413096, id=,S04, PRDE,actvstrat=,-0.232006, actvprof=,0.231411, id=,S05, PRDE,actvstrat=,-0.850508, actvprof=,0.028892, id=,S08, PRDE,actvstrat=,-0.270666, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.020946, best_B_strat=,0.231005, best_S_id=,S01, best_S_prof=,4.584057, best_S_strat=,0.095315, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.586366, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.295580, actvprof=,0.002500, id=,B07, PRDE,actvstrat=,0.950780, actvprof=,2.133561, id=,B09, PRDE,actvstrat=,0.231005, actvprof=,4.117394, id=,S01, PRDE,actvstrat=,0.095315, actvprof=,4.432407, id=,S03, PRDE,actvstrat=,-0.796799, actvprof=,0.405989, id=,S04, PRDE,actvstrat=,-0.232006, actvprof=,0.219315, id=,S05, PRDE,actvstrat=,-0.850508, actvprof=,0.015695, id=,S08, PRDE,actvstrat=,-0.270666, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.117394, best_B_strat=,0.231005, best_S_id=,S01, best_S_prof=,4.432407, best_S_strat=,0.095315, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.324870, actvprof=,0.046116, id=,B07, PRDE,actvstrat=,0.950780, actvprof=,3.400886, id=,B09, PRDE,actvstrat=,-0.371462, actvprof=,4.347367, id=,S01, PRDE,actvstrat=,0.095315, actvprof=,3.140305, id=,S03, PRDE,actvstrat=,0.361084, actvprof=,1.025655, id=,S04, PRDE,actvstrat=,-0.232006, actvprof=,0.039448, id=,S05, PRDE,actvstrat=,-0.994290, actvprof=,0.157793, id=,S08, PRDE,actvstrat=,0.133769, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.347367, best_B_strat=,-0.371462, best_S_id=,S01, best_S_prof=,3.140305, best_S_strat=,0.095315, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.324870, actvprof=,0.038196, id=,B07, PRDE,actvstrat=,0.950780, actvprof=,3.511143, id=,B09, PRDE,actvstrat=,-0.371462, actvprof=,4.330349, id=,S01, PRDE,actvstrat=,0.095315, actvprof=,3.030842, id=,S03, PRDE,actvstrat=,0.361084, actvprof=,0.994909, id=,S04, PRDE,actvstrat=,-0.232006, actvprof=,0.035418, id=,S05, PRDE,actvstrat=,-0.994290, actvprof=,0.142229, id=,S08, PRDE,actvstrat=,0.133769, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.330349, best_B_strat=,-0.371462, best_S_id=,S01, best_S_prof=,3.030842, best_S_strat=,0.095315, 
