t=,79200, id=,B00, PRDE,actvstrat=,-0.251713, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.908389, actvprof=,0.000972, id=,B05, PRDE,actvstrat=,0.434079, actvprof=,0.157642, id=,B06, PRDE,actvstrat=,0.265443, actvprof=,0.910852, id=,B07, PRDE,actvstrat=,-0.059560, actvprof=,1.690174, id=,S00, PRDE,actvstrat=,-0.011119, actvprof=,4.171198, id=,S02, PRDE,actvstrat=,0.114698, actvprof=,1.806427, id=,S03, PRDE,actvstrat=,-0.331881, actvprof=,0.236116, id=,S05, PRDE,actvstrat=,-0.373689, actvprof=,0.001944, id=,S08, PRDE,actvstrat=,0.250710, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.690174, best_B_strat=,-0.059560, best_S_id=,S00, best_S_prof=,4.171198, best_S_strat=,-0.011119, 
t=,82800, id=,B00, PRDE,actvstrat=,0.469017, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.454057, actvprof=,0.338903, id=,B06, PRDE,actvstrat=,-0.084679, actvprof=,1.503674, id=,B07, PRDE,actvstrat=,-0.659720, actvprof=,2.363154, id=,S00, PRDE,actvstrat=,-0.040392, actvprof=,2.412323, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.643443, id=,S03, PRDE,actvstrat=,0.816950, actvprof=,0.708085, id=,S05, PRDE,actvstrat=,0.732680, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,0.009157, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.363154, best_B_strat=,-0.659720, best_S_id=,S02, best_S_prof=,2.643443, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,0.469017, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.454057, actvprof=,0.337924, id=,B06, PRDE,actvstrat=,-0.084679, actvprof=,1.551838, id=,B07, PRDE,actvstrat=,-0.659720, actvprof=,2.331160, id=,S00, PRDE,actvstrat=,-0.040392, actvprof=,2.374077, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.634499, id=,S03, PRDE,actvstrat=,0.816950, actvprof=,0.709459, id=,S05, PRDE,actvstrat=,0.732680, actvprof=,0.003333, id=,S08, PRDE,actvstrat=,0.009157, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.331160, best_B_strat=,-0.659720, best_S_id=,S02, best_S_prof=,2.634499, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,0.509995, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.799159, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.111047, actvprof=,0.140284, id=,B06, PRDE,actvstrat=,-0.084679, actvprof=,0.591414, id=,B07, PRDE,actvstrat=,0.239580, actvprof=,2.304818, id=,S00, PRDE,actvstrat=,0.417122, actvprof=,5.205772, id=,S02, PRDE,actvstrat=,-0.387570, actvprof=,0.570857, id=,S03, PRDE,actvstrat=,-0.519771, actvprof=,0.183619, id=,S05, PRDE,actvstrat=,-0.020942, actvprof=,0.004445, id=,S08, PRDE,actvstrat=,0.009157, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.304818, best_B_strat=,0.239580, best_S_id=,S00, best_S_prof=,5.205772, best_S_strat=,0.417122, 
t=,93600, id=,B00, PRDE,actvstrat=,0.509995, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.799159, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.111047, actvprof=,0.144309, id=,B06, PRDE,actvstrat=,-0.084679, actvprof=,0.563901, id=,B07, PRDE,actvstrat=,0.239580, actvprof=,2.285881, id=,S00, PRDE,actvstrat=,0.417122, actvprof=,5.120523, id=,S02, PRDE,actvstrat=,-0.387570, actvprof=,0.686403, id=,S03, PRDE,actvstrat=,-0.519771, actvprof=,0.209588, id=,S05, PRDE,actvstrat=,-0.020942, actvprof=,0.009722, id=,S08, PRDE,actvstrat=,0.009157, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.285881, best_B_strat=,0.239580, best_S_id=,S00, best_S_prof=,5.120523, best_S_strat=,0.417122, 
t=,97200, id=,B00, PRDE,actvstrat=,0.017326, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.853224, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.762829, actvprof=,0.201119, id=,B06, PRDE,actvstrat=,-0.170165, actvprof=,1.380058, id=,B07, PRDE,actvstrat=,-0.531628, actvprof=,2.368154, id=,S00, PRDE,actvstrat=,0.503717, actvprof=,4.114894, id=,S02, PRDE,actvstrat=,0.448807, actvprof=,1.312277, id=,S03, PRDE,actvstrat=,0.744319, actvprof=,0.601136, id=,S05, PRDE,actvstrat=,0.715103, actvprof=,0.004722, id=,S08, PRDE,actvstrat=,0.375355, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.368154, best_B_strat=,-0.531628, best_S_id=,S00, best_S_prof=,4.114894, best_S_strat=,0.503717, 
t=,100800, id=,B00, PRDE,actvstrat=,0.017326, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.853224, actvprof=,0.001250, id=,B05, PRDE,actvstrat=,-0.762829, actvprof=,0.218060, id=,B06, PRDE,actvstrat=,-0.170165, actvprof=,1.353778, id=,B07, PRDE,actvstrat=,-0.531628, actvprof=,2.374494, id=,S00, PRDE,actvstrat=,0.503717, actvprof=,4.110363, id=,S02, PRDE,actvstrat=,0.448807, actvprof=,1.285582, id=,S03, PRDE,actvstrat=,0.744319, actvprof=,0.620568, id=,S05, PRDE,actvstrat=,0.715103, actvprof=,0.005972, id=,S08, PRDE,actvstrat=,0.375355, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.374494, best_B_strat=,-0.531628, best_S_id=,S00, best_S_prof=,4.110363, best_S_strat=,0.503717, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.319663, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.989840, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.392471, actvprof=,0.327514, id=,B06, PRDE,actvstrat=,-0.350496, actvprof=,0.547523, id=,B07, PRDE,actvstrat=,-0.632962, actvprof=,1.471172, id=,S00, PRDE,actvstrat=,0.503717, actvprof=,5.078823, id=,S02, PRDE,actvstrat=,-0.614144, actvprof=,0.460019, id=,S03, PRDE,actvstrat=,-0.657637, actvprof=,0.090559, id=,S05, PRDE,actvstrat=,0.715103, actvprof=,0.010834, id=,S08, PRDE,actvstrat=,-0.351457, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.471172, best_B_strat=,-0.632962, best_S_id=,S00, best_S_prof=,5.078823, best_S_strat=,0.503717, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.319663, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.989840, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.392471, actvprof=,0.326535, id=,B06, PRDE,actvstrat=,-0.350496, actvprof=,0.541400, id=,B07, PRDE,actvstrat=,-0.632962, actvprof=,1.352112, id=,S00, PRDE,actvstrat=,0.503717, actvprof=,5.071078, id=,S02, PRDE,actvstrat=,-0.614144, actvprof=,0.464037, id=,S03, PRDE,actvstrat=,-0.657637, actvprof=,0.097502, id=,S05, PRDE,actvstrat=,0.715103, actvprof=,0.010556, id=,S08, PRDE,actvstrat=,-0.351457, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.352112, best_B_strat=,-0.632962, best_S_id=,S00, best_S_prof=,5.071078, best_S_strat=,0.503717, 
t=,111600, id=,B00, PRDE,actvstrat=,-0.548861, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.241128, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.793576, actvprof=,0.741698, id=,B06, PRDE,actvstrat=,-0.209132, actvprof=,0.625582, id=,B07, PRDE,actvstrat=,-0.362106, actvprof=,1.618956, id=,S00, PRDE,actvstrat=,0.155762, actvprof=,4.235732, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.762893, id=,S03, PRDE,actvstrat=,-0.838586, actvprof=,0.044724, id=,S05, PRDE,actvstrat=,-0.560919, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,0.442467, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.618956, best_B_strat=,-0.362106, best_S_id=,S00, best_S_prof=,4.235732, best_S_strat=,0.155762, 
t=,115200, id=,B00, PRDE,actvstrat=,-0.548861, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.241128, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.793576, actvprof=,0.747238, id=,B06, PRDE,actvstrat=,-0.209132, actvprof=,0.654597, id=,B07, PRDE,actvstrat=,-0.362106, actvprof=,1.591561, id=,S00, PRDE,actvstrat=,0.155762, actvprof=,4.184948, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.744224, id=,S03, PRDE,actvstrat=,-0.838586, actvprof=,0.047084, id=,S05, PRDE,actvstrat=,-0.560919, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,0.442467, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.591561, best_B_strat=,-0.362106, best_S_id=,S00, best_S_prof=,4.184948, best_S_strat=,0.155762, 
