t=,75600, id=,B01, PRDE,actvstrat=,-0.015492, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.729930, actvprof=,0.078617, id=,B05, PRDE,actvstrat=,-0.352555, actvprof=,0.421418, id=,B07, PRDE,actvstrat=,0.837154, actvprof=,4.023891, id=,B09, PRDE,actvstrat=,0.141024, actvprof=,6.081811, id=,S00, PRDE,actvstrat=,0.550636, actvprof=,4.576429, id=,S03, PRDE,actvstrat=,0.998467, actvprof=,1.363428, id=,S04, PRDE,actvstrat=,0.067057, actvprof=,0.162233, id=,S05, PRDE,actvstrat=,0.256594, actvprof=,0.052781, id=,S08, PRDE,actvstrat=,-0.070001, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.081811, best_B_strat=,0.141024, best_S_id=,S00, best_S_prof=,4.576429, best_S_strat=,0.550636, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.015492, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.729930, actvprof=,0.082642, id=,B05, PRDE,actvstrat=,-0.352555, actvprof=,0.422376, id=,B07, PRDE,actvstrat=,0.837154, actvprof=,4.086670, id=,B09, PRDE,actvstrat=,0.141024, actvprof=,6.224105, id=,S00, PRDE,actvstrat=,0.550636, actvprof=,4.377374, id=,S03, PRDE,actvstrat=,0.998467, actvprof=,1.276850, id=,S04, PRDE,actvstrat=,0.067057, actvprof=,0.143477, id=,S05, PRDE,actvstrat=,0.256594, actvprof=,0.040140, id=,S08, PRDE,actvstrat=,-0.070001, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.224105, best_B_strat=,0.141024, best_S_id=,S00, best_S_prof=,4.377374, best_S_strat=,0.550636, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.404761, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.383616, actvprof=,0.050560, id=,B05, PRDE,actvstrat=,0.367160, actvprof=,0.239468, id=,B07, PRDE,actvstrat=,0.351205, actvprof=,2.233273, id=,B09, PRDE,actvstrat=,-0.144243, actvprof=,4.330421, id=,S00, PRDE,actvstrat=,0.635944, actvprof=,5.886128, id=,S03, PRDE,actvstrat=,0.470670, actvprof=,1.491256, id=,S04, PRDE,actvstrat=,-0.353906, actvprof=,0.018891, id=,S05, PRDE,actvstrat=,-0.518557, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,0.284856, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.330421, best_B_strat=,-0.144243, best_S_id=,S00, best_S_prof=,5.886128, best_S_strat=,0.635944, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.404761, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.383616, actvprof=,0.039169, id=,B05, PRDE,actvstrat=,0.367160, actvprof=,0.259735, id=,B07, PRDE,actvstrat=,0.351205, actvprof=,2.255249, id=,B09, PRDE,actvstrat=,-0.144243, actvprof=,4.265902, id=,S00, PRDE,actvstrat=,0.635944, actvprof=,5.890147, id=,S03, PRDE,actvstrat=,0.470670, actvprof=,1.353399, id=,S04, PRDE,actvstrat=,-0.353906, actvprof=,0.034446, id=,S05, PRDE,actvstrat=,-0.518557, actvprof=,0.006528, id=,S08, PRDE,actvstrat=,0.284856, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.265902, best_B_strat=,-0.144243, best_S_id=,S00, best_S_prof=,5.890147, best_S_strat=,0.635944, 
t=,90000, id=,B01, PRDE,actvstrat=,0.699157, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.416545, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,0.430856, actvprof=,0.368369, id=,B07, PRDE,actvstrat=,-0.904244, actvprof=,0.602003, id=,B09, PRDE,actvstrat=,0.634384, actvprof=,6.553415, id=,S00, PRDE,actvstrat=,0.635944, actvprof=,5.417749, id=,S03, PRDE,actvstrat=,-0.673722, actvprof=,0.150848, id=,S04, PRDE,actvstrat=,0.489583, actvprof=,0.161405, id=,S05, PRDE,actvstrat=,0.930802, actvprof=,0.112511, id=,S08, PRDE,actvstrat=,-0.589677, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.553415, best_B_strat=,0.634384, best_S_id=,S00, best_S_prof=,5.417749, best_S_strat=,0.635944, 
t=,93600, id=,B01, PRDE,actvstrat=,0.699157, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.416545, actvprof=,0.004722, id=,B05, PRDE,actvstrat=,0.430856, actvprof=,0.370296, id=,B07, PRDE,actvstrat=,-0.904244, actvprof=,0.616280, id=,B09, PRDE,actvstrat=,0.634384, actvprof=,6.550041, id=,S00, PRDE,actvstrat=,0.635944, actvprof=,5.424986, id=,S03, PRDE,actvstrat=,-0.673722, actvprof=,0.106394, id=,S04, PRDE,actvstrat=,0.489583, actvprof=,0.177786, id=,S05, PRDE,actvstrat=,0.930802, actvprof=,0.111117, id=,S08, PRDE,actvstrat=,-0.589677, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.550041, best_B_strat=,0.634384, best_S_id=,S00, best_S_prof=,5.424986, best_S_strat=,0.635944, 
t=,97200, id=,B01, PRDE,actvstrat=,0.466278, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.990897, actvprof=,0.038059, id=,B05, PRDE,actvstrat=,0.367160, actvprof=,0.250858, id=,B07, PRDE,actvstrat=,-0.306904, actvprof=,1.460975, id=,B09, PRDE,actvstrat=,-0.144243, actvprof=,4.764074, id=,S00, PRDE,actvstrat=,0.782710, actvprof=,6.400067, id=,S03, PRDE,actvstrat=,0.680734, actvprof=,1.397914, id=,S04, PRDE,actvstrat=,0.240873, actvprof=,0.181129, id=,S05, PRDE,actvstrat=,-0.386517, actvprof=,0.006945, id=,S08, PRDE,actvstrat=,0.015889, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.764074, best_B_strat=,-0.144243, best_S_id=,S00, best_S_prof=,6.400067, best_S_strat=,0.782710, 
t=,100800, id=,B01, PRDE,actvstrat=,0.466278, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,0.990897, actvprof=,0.039863, id=,B05, PRDE,actvstrat=,0.367160, actvprof=,0.240984, id=,B07, PRDE,actvstrat=,-0.306904, actvprof=,1.412569, id=,B09, PRDE,actvstrat=,-0.144243, actvprof=,4.722035, id=,S00, PRDE,actvstrat=,0.782710, actvprof=,6.391283, id=,S03, PRDE,actvstrat=,0.680734, actvprof=,1.357566, id=,S04, PRDE,actvstrat=,0.240873, actvprof=,0.154591, id=,S05, PRDE,actvstrat=,-0.386517, actvprof=,0.007084, id=,S08, PRDE,actvstrat=,0.015889, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.722035, best_B_strat=,-0.144243, best_S_id=,S00, best_S_prof=,6.391283, best_S_strat=,0.782710, 
t=,104400, id=,B01, PRDE,actvstrat=,0.398248, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.794403, actvprof=,0.011112, id=,B05, PRDE,actvstrat=,0.720350, actvprof=,1.182337, id=,B07, PRDE,actvstrat=,0.489584, actvprof=,3.615629, id=,B09, PRDE,actvstrat=,-0.595818, actvprof=,4.833525, id=,S00, PRDE,actvstrat=,-0.218077, actvprof=,1.511258, id=,S03, PRDE,actvstrat=,0.998467, actvprof=,1.366244, id=,S04, PRDE,actvstrat=,0.968931, actvprof=,0.631172, id=,S05, PRDE,actvstrat=,0.741044, actvprof=,0.053894, id=,S08, PRDE,actvstrat=,-0.365105, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.833525, best_B_strat=,-0.595818, best_S_id=,S00, best_S_prof=,1.511258, best_S_strat=,-0.218077, 
t=,108000, id=,B01, PRDE,actvstrat=,0.398248, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.794403, actvprof=,0.015556, id=,B05, PRDE,actvstrat=,0.720350, actvprof=,1.230338, id=,B07, PRDE,actvstrat=,0.489584, actvprof=,3.647816, id=,B09, PRDE,actvstrat=,-0.595818, actvprof=,4.957047, id=,S00, PRDE,actvstrat=,-0.218077, actvprof=,1.567854, id=,S03, PRDE,actvstrat=,0.998467, actvprof=,1.287701, id=,S04, PRDE,actvstrat=,0.968931, actvprof=,0.603779, id=,S05, PRDE,actvstrat=,0.741044, actvprof=,0.045002, id=,S08, PRDE,actvstrat=,-0.365105, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.957047, best_B_strat=,-0.595818, best_S_id=,S00, best_S_prof=,1.567854, best_S_strat=,-0.218077, 
