t=,75600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.596083, actvprof=,1.889020, id=,B07, PRDE,actvstrat=,-0.107976, actvprof=,2.178762, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.615112, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.196333, id=,S03, PRDE,actvstrat=,0.606598, actvprof=,0.759775, id=,S05, PRDE,actvstrat=,0.920894, actvprof=,0.193347, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.064727, id=,S08, PRDE,actvstrat=,-0.330879, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.080357, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.196333, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,0.759775, best_S_strat=,0.606598, 
t=,79200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.596083, actvprof=,1.884232, id=,B07, PRDE,actvstrat=,-0.107976, actvprof=,2.073405, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.570610, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.224556, id=,S03, PRDE,actvstrat=,0.606598, actvprof=,0.761832, id=,S05, PRDE,actvstrat=,0.920894, actvprof=,0.175145, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.068058, id=,S08, PRDE,actvstrat=,-0.330879, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.080357, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.224556, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,0.761832, best_S_strat=,0.606598, 
t=,82800, id=,B02, PRDE,actvstrat=,-0.655723, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.797909, actvprof=,1.718984, id=,B07, PRDE,actvstrat=,0.384831, actvprof=,2.490416, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.993889, id=,B09, PRDE,actvstrat=,0.663666, actvprof=,6.467026, id=,S03, PRDE,actvstrat=,-0.587226, actvprof=,0.106395, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.260570, id=,S06, PRDE,actvstrat=,0.504612, actvprof=,0.005834, id=,S08, PRDE,actvstrat=,-0.003994, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.068289, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.467026, best_B_strat=,0.663666, best_S_id=,S05, best_S_prof=,0.260570, best_S_strat=,-1.000000, 
t=,86400, id=,B02, PRDE,actvstrat=,-0.655723, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.797909, actvprof=,1.708115, id=,B07, PRDE,actvstrat=,0.384831, actvprof=,2.536755, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.970034, id=,B09, PRDE,actvstrat=,0.663666, actvprof=,6.344943, id=,S03, PRDE,actvstrat=,-0.587226, actvprof=,0.122504, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.247647, id=,S06, PRDE,actvstrat=,0.504612, actvprof=,0.009861, id=,S08, PRDE,actvstrat=,-0.003994, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.068289, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.344943, best_B_strat=,0.663666, best_S_id=,S05, best_S_prof=,0.247647, best_S_strat=,-1.000000, 
t=,90000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.797909, actvprof=,1.176471, id=,B07, PRDE,actvstrat=,0.246514, actvprof=,1.864574, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.400028, id=,B09, PRDE,actvstrat=,0.485055, actvprof=,5.567609, id=,S03, PRDE,actvstrat=,-0.554167, actvprof=,0.189458, id=,S05, PRDE,actvstrat=,-0.979431, actvprof=,0.301965, id=,S06, PRDE,actvstrat=,0.381077, actvprof=,0.019446, id=,S08, PRDE,actvstrat=,0.080968, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.121338, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.567609, best_B_strat=,0.485055, best_S_id=,S05, best_S_prof=,0.301965, best_S_strat=,-0.979431, 
t=,93600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.797909, actvprof=,1.218237, id=,B07, PRDE,actvstrat=,0.246514, actvprof=,1.869648, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.440293, id=,B09, PRDE,actvstrat=,0.485055, actvprof=,5.483940, id=,S03, PRDE,actvstrat=,-0.554167, actvprof=,0.161811, id=,S05, PRDE,actvstrat=,-0.979431, actvprof=,0.308344, id=,S06, PRDE,actvstrat=,0.381077, actvprof=,0.015417, id=,S08, PRDE,actvstrat=,0.080968, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.121338, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.483940, best_B_strat=,0.485055, best_S_id=,S05, best_S_prof=,0.308344, best_S_strat=,-0.979431, 
t=,97200, id=,B02, PRDE,actvstrat=,0.150988, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.797909, actvprof=,2.327662, id=,B07, PRDE,actvstrat=,0.440158, actvprof=,3.264393, id=,B08, PRDE,actvstrat=,0.437314, actvprof=,5.012848, id=,B09, PRDE,actvstrat=,-0.490313, actvprof=,4.901729, id=,S03, PRDE,actvstrat=,0.573540, actvprof=,0.601986, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.110563, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.028335, id=,S08, PRDE,actvstrat=,-0.364864, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.158339, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.012848, best_B_strat=,0.437314, best_S_id=,S03, best_S_prof=,0.601986, best_S_strat=,0.573540, 
t=,100800, id=,B02, PRDE,actvstrat=,0.150988, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.797909, actvprof=,2.280218, id=,B07, PRDE,actvstrat=,0.440158, actvprof=,3.224695, id=,B08, PRDE,actvstrat=,0.437314, actvprof=,4.956839, id=,B09, PRDE,actvstrat=,-0.490313, actvprof=,4.835862, id=,S03, PRDE,actvstrat=,0.573540, actvprof=,0.610021, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.101809, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.029445, id=,S08, PRDE,actvstrat=,-0.364864, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.158339, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.956839, best_B_strat=,0.437314, best_S_id=,S03, best_S_prof=,0.610021, best_S_strat=,0.573540, 
t=,104400, id=,B02, PRDE,actvstrat=,0.535279, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.989272, actvprof=,1.691506, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.636572, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.813112, id=,B09, PRDE,actvstrat=,-0.355780, actvprof=,3.876380, id=,S03, PRDE,actvstrat=,0.606598, actvprof=,1.168137, id=,S05, PRDE,actvstrat=,-0.174893, actvprof=,0.000556, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.082506, id=,S08, PRDE,actvstrat=,-0.364864, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.158339, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.813112, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,1.168137, best_S_strat=,0.606598, 
t=,108000, id=,B02, PRDE,actvstrat=,0.535279, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.989272, actvprof=,1.690753, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.624674, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.821001, id=,B09, PRDE,actvstrat=,-0.355780, actvprof=,3.925275, id=,S03, PRDE,actvstrat=,0.606598, actvprof=,1.144068, id=,S05, PRDE,actvstrat=,-0.174893, actvprof=,0.005556, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.083614, id=,S08, PRDE,actvstrat=,-0.364864, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.158339, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.821001, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,1.144068, best_S_strat=,0.606598, 
