t=,79200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.773494, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.700714, id=,B07, PRDE,actvstrat=,-0.582043, actvprof=,1.451013, id=,B09, PRDE,actvstrat=,-0.495464, actvprof=,4.160810, id=,S01, PRDE,actvstrat=,0.498771, actvprof=,3.261202, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.019139, id=,S04, PRDE,actvstrat=,0.214495, actvprof=,0.095280, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.012361, id=,S07, PRDE,actvstrat=,-0.861901, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.160810, best_B_strat=,-0.495464, best_S_id=,S02, best_S_prof=,4.019139, best_S_strat=,1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.332889, id=,B07, PRDE,actvstrat=,-0.605998, actvprof=,2.144345, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.563130, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.066811, id=,S02, PRDE,actvstrat=,0.869318, actvprof=,2.804678, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.208906, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.626948, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.563130, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.066811, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.348936, id=,B07, PRDE,actvstrat=,-0.605998, actvprof=,2.139519, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.471926, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.993090, id=,S02, PRDE,actvstrat=,0.869318, actvprof=,2.791764, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.248759, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,-0.626948, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.471926, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.993090, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,0.652505, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.573659, id=,B07, PRDE,actvstrat=,-0.994011, actvprof=,2.144345, id=,B09, PRDE,actvstrat=,-0.701341, actvprof=,4.104509, id=,S01, PRDE,actvstrat=,0.979414, actvprof=,5.912437, id=,S02, PRDE,actvstrat=,0.612329, actvprof=,2.096286, id=,S04, PRDE,actvstrat=,0.219407, actvprof=,0.108342, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,0.020525, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.104509, best_B_strat=,-0.701341, best_S_id=,S01, best_S_prof=,5.912437, best_S_strat=,0.979414, 
t=,93600, id=,B00, PRDE,actvstrat=,0.652505, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.541269, id=,B07, PRDE,actvstrat=,-0.994011, actvprof=,2.074933, id=,B09, PRDE,actvstrat=,-0.701341, actvprof=,3.951387, id=,S01, PRDE,actvstrat=,0.979414, actvprof=,5.962151, id=,S02, PRDE,actvstrat=,0.612329, actvprof=,2.227994, id=,S04, PRDE,actvstrat=,0.219407, actvprof=,0.120282, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.003889, id=,S07, PRDE,actvstrat=,0.020525, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.951387, best_B_strat=,-0.701341, best_S_id=,S01, best_S_prof=,5.962151, best_S_strat=,0.979414, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.916735, actvprof=,0.392266, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.357317, id=,B09, PRDE,actvstrat=,-0.480117, actvprof=,3.923214, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.910101, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.235748, id=,S04, PRDE,actvstrat=,-0.980352, actvprof=,0.015002, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.003056, id=,S07, PRDE,actvstrat=,-0.146577, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.923214, best_B_strat=,-0.480117, best_S_id=,S01, best_S_prof=,5.910101, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.916735, actvprof=,0.387522, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.331852, id=,B09, PRDE,actvstrat=,-0.480117, actvprof=,3.941191, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.914079, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.234124, id=,S04, PRDE,actvstrat=,-0.980352, actvprof=,0.038335, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.003195, id=,S07, PRDE,actvstrat=,-0.146577, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.941191, best_B_strat=,-0.480117, best_S_id=,S01, best_S_prof=,5.914079, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.529404, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.728436, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.916735, actvprof=,0.698133, id=,B07, PRDE,actvstrat=,-0.594020, actvprof=,1.453773, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.685465, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.593677, id=,S02, PRDE,actvstrat=,-0.871505, actvprof=,0.014724, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.653128, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.783583, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.685465, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.593677, best_S_strat=,1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.529404, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.728436, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.916735, actvprof=,0.701289, id=,B07, PRDE,actvstrat=,-0.594020, actvprof=,1.475499, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.795516, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.592394, id=,S02, PRDE,actvstrat=,-0.871505, actvprof=,0.031946, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.672121, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,-0.783583, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.795516, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.592394, best_S_strat=,1.000000, 
t=,111600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.819767, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.916735, actvprof=,0.781476, id=,B07, PRDE,actvstrat=,-0.211996, actvprof=,1.763807, id=,B09, PRDE,actvstrat=,-0.480117, actvprof=,4.640793, id=,S01, PRDE,actvstrat=,0.728800, actvprof=,3.789588, id=,S02, PRDE,actvstrat=,-0.738636, actvprof=,0.162240, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.632848, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.007501, id=,S07, PRDE,actvstrat=,0.500897, actvprof=,0.000278, best_B_id=,B09, best_B_prof=,4.640793, best_B_strat=,-0.480117, best_S_id=,S01, best_S_prof=,3.789588, best_S_strat=,0.728800, 
