t=,75600, id=,B03, PRDE,actvstrat=,0.717698, actvprof=,0.067224, id=,B04, PRDE,actvstrat=,0.090802, actvprof=,0.173894, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.403956, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.751215, id=,B09, PRDE,actvstrat=,0.287393, actvprof=,6.132393, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.248479, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.028695, id=,S05, PRDE,actvstrat=,0.204145, actvprof=,0.013611, id=,S06, PRDE,actvstrat=,-0.877858, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.152430, actvprof=,0.002778, best_B_id=,B09, best_B_prof=,6.132393, best_B_strat=,0.287393, best_S_id=,S00, best_S_prof=,5.248479, best_S_strat=,-1.000000, 
t=,79200, id=,B03, PRDE,actvstrat=,0.717698, actvprof=,0.054307, id=,B04, PRDE,actvstrat=,0.090802, actvprof=,0.175005, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.407984, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.842190, id=,B09, PRDE,actvstrat=,0.287393, actvprof=,6.306564, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.248340, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.025084, id=,S05, PRDE,actvstrat=,0.204145, actvprof=,0.021112, id=,S06, PRDE,actvstrat=,-0.877858, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.152430, actvprof=,0.001389, best_B_id=,B09, best_B_prof=,6.306564, best_B_strat=,0.287393, best_S_id=,S00, best_S_prof=,5.248340, best_S_strat=,-1.000000, 
t=,82800, id=,B03, PRDE,actvstrat=,-0.453453, actvprof=,0.005834, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.455044, id=,B06, PRDE,actvstrat=,-0.264817, actvprof=,0.905366, id=,B07, PRDE,actvstrat=,0.941034, actvprof=,3.979831, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.055686, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.842512, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.045018, id=,S05, PRDE,actvstrat=,-0.091254, actvprof=,0.026114, id=,S06, PRDE,actvstrat=,0.390039, actvprof=,0.023058, id=,S07, PRDE,actvstrat=,-0.737044, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.055686, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.842512, best_S_strat=,-1.000000, 
t=,86400, id=,B03, PRDE,actvstrat=,-0.453453, actvprof=,0.007084, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.450300, id=,B06, PRDE,actvstrat=,-0.264817, actvprof=,0.951018, id=,B07, PRDE,actvstrat=,0.941034, actvprof=,3.948803, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.960894, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.828894, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.090150, id=,S05, PRDE,actvstrat=,-0.091254, actvprof=,0.021668, id=,S06, PRDE,actvstrat=,0.390039, actvprof=,0.022223, id=,S07, PRDE,actvstrat=,-0.737044, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.960894, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.828894, best_S_strat=,-1.000000, 
t=,90000, id=,B03, PRDE,actvstrat=,0.147855, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.033614, id=,B06, PRDE,actvstrat=,-0.310597, actvprof=,0.748128, id=,B07, PRDE,actvstrat=,-0.501580, actvprof=,1.686831, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.768158, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.955023, id=,S02, PRDE,actvstrat=,-0.880385, actvprof=,0.207242, id=,S05, PRDE,actvstrat=,-0.139920, actvprof=,0.012779, id=,S06, PRDE,actvstrat=,-0.026987, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,0.846738, actvprof=,0.027780, best_B_id=,B09, best_B_prof=,6.768158, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.955023, best_S_strat=,-1.000000, 
t=,93600, id=,B03, PRDE,actvstrat=,0.147855, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.040280, id=,B06, PRDE,actvstrat=,-0.310597, actvprof=,0.721702, id=,B07, PRDE,actvstrat=,-0.501580, actvprof=,1.758419, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.808525, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.925983, id=,S02, PRDE,actvstrat=,-0.880385, actvprof=,0.196537, id=,S05, PRDE,actvstrat=,-0.139920, actvprof=,0.011945, id=,S06, PRDE,actvstrat=,-0.026987, actvprof=,0.005417, id=,S07, PRDE,actvstrat=,0.846738, actvprof=,0.020834, best_B_id=,B09, best_B_prof=,6.808525, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.925983, best_S_strat=,-1.000000, 
t=,97200, id=,B03, PRDE,actvstrat=,-0.583843, actvprof=,0.009167, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.114730, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.545663, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.902979, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,5.979860, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.038822, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.084728, id=,S05, PRDE,actvstrat=,0.692174, actvprof=,0.202514, id=,S06, PRDE,actvstrat=,0.264838, actvprof=,0.016112, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.043059, best_B_id=,B09, best_B_prof=,5.979860, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.038822, best_S_strat=,-1.000000, 
t=,100800, id=,B03, PRDE,actvstrat=,-0.583843, actvprof=,0.006528, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.124312, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.522574, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.897780, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.077795, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.876029, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.087560, id=,S05, PRDE,actvstrat=,0.692174, actvprof=,0.207371, id=,S06, PRDE,actvstrat=,0.264838, actvprof=,0.015417, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.051252, best_B_id=,B09, best_B_prof=,6.077795, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.876029, best_S_strat=,-1.000000, 
t=,104400, id=,B03, PRDE,actvstrat=,-0.288152, actvprof=,0.011112, id=,B04, PRDE,actvstrat=,0.566346, actvprof=,0.280305, id=,B06, PRDE,actvstrat=,0.104481, actvprof=,1.743781, id=,B07, PRDE,actvstrat=,0.411643, actvprof=,3.456447, id=,B09, PRDE,actvstrat=,0.235833, actvprof=,6.286445, id=,S00, PRDE,actvstrat=,0.116125, actvprof=,2.871390, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.828886, id=,S05, PRDE,actvstrat=,0.868026, actvprof=,0.150292, id=,S06, PRDE,actvstrat=,0.691973, actvprof=,0.033059, id=,S07, PRDE,actvstrat=,-0.464062, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.286445, best_B_strat=,0.235833, best_S_id=,S00, best_S_prof=,2.871390, best_S_strat=,0.116125, 
t=,108000, id=,B03, PRDE,actvstrat=,-0.288152, actvprof=,0.013195, id=,B04, PRDE,actvstrat=,0.566346, actvprof=,0.299042, id=,B06, PRDE,actvstrat=,0.104481, actvprof=,1.644802, id=,B07, PRDE,actvstrat=,0.411643, actvprof=,3.413360, id=,B09, PRDE,actvstrat=,0.235833, actvprof=,6.250859, id=,S00, PRDE,actvstrat=,0.116125, actvprof=,2.843333, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.901530, id=,S05, PRDE,actvstrat=,0.868026, actvprof=,0.163480, id=,S06, PRDE,actvstrat=,0.691973, actvprof=,0.027224, id=,S07, PRDE,actvstrat=,-0.464062, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.250859, best_B_strat=,0.235833, best_S_id=,S02, best_S_prof=,2.901530, best_S_strat=,1.000000, 
