t=,75600, id=,B00, PRDE,actvstrat=,0.655969, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.991325, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.488527, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.738975, actvprof=,0.108059, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,5.584600, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.757910, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.720853, id=,S05, PRDE,actvstrat=,-0.672477, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.217004, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.584600, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.757910, best_S_strat=,-1.000000, 
t=,79200, id=,B00, PRDE,actvstrat=,0.655969, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.991325, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.488527, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.738975, actvprof=,0.116392, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,5.608072, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.682908, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.619184, id=,S05, PRDE,actvstrat=,-0.672477, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.217004, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.608072, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.682908, best_S_strat=,-1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,0.955986, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.410490, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,-0.281039, actvprof=,0.033336, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.270995, id=,S00, PRDE,actvstrat=,-0.046011, actvprof=,1.790983, id=,S03, PRDE,actvstrat=,-0.337700, actvprof=,0.035281, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.011112, id=,S06, PRDE,actvstrat=,-0.111420, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.935807, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.270995, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,1.790983, best_S_strat=,-0.046011, 
t=,86400, id=,B00, PRDE,actvstrat=,0.955986, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.410490, actvprof=,0.002083, id=,B04, PRDE,actvstrat=,-0.281039, actvprof=,0.034029, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.376335, id=,S00, PRDE,actvstrat=,-0.046011, actvprof=,1.825215, id=,S03, PRDE,actvstrat=,-0.337700, actvprof=,0.022779, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.009028, id=,S06, PRDE,actvstrat=,-0.111420, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.935807, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.376335, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,1.825215, best_S_strat=,-0.046011, 
t=,90000, id=,B00, PRDE,actvstrat=,0.900577, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.540275, actvprof=,0.029169, id=,B04, PRDE,actvstrat=,-0.167494, actvprof=,0.402534, id=,B07, PRDE,actvstrat=,-0.465531, actvprof=,4.057560, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.113398, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.353918, id=,S05, PRDE,actvstrat=,0.239574, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.573507, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.057560, best_B_strat=,-0.465531, best_S_id=,S00, best_S_prof=,4.113398, best_S_strat=,-1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,0.900577, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.540275, actvprof=,0.024307, id=,B04, PRDE,actvstrat=,-0.167494, actvprof=,0.412517, id=,B07, PRDE,actvstrat=,-0.465531, actvprof=,4.042391, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.090309, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.335153, id=,S05, PRDE,actvstrat=,0.239574, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.573507, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.042391, best_B_strat=,-0.465531, best_S_id=,S00, best_S_prof=,4.090309, best_S_strat=,-1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.293839, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.010556, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.440648, id=,S00, PRDE,actvstrat=,-0.046011, actvprof=,2.654666, id=,S03, PRDE,actvstrat=,0.331150, actvprof=,0.416979, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.024169, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,0.561246, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.440648, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,2.654666, best_S_strat=,-0.046011, 
t=,100800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.293839, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.007500, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.479492, id=,S00, PRDE,actvstrat=,-0.046011, actvprof=,2.699140, id=,S03, PRDE,actvstrat=,0.331150, actvprof=,0.461408, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.025140, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.004445, id=,S09, PRDE,actvstrat=,0.561246, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.479492, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,2.699140, best_S_strat=,-0.046011, 
t=,104400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.293839, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.540275, actvprof=,0.008612, id=,B04, PRDE,actvstrat=,-0.572883, actvprof=,0.131955, id=,B07, PRDE,actvstrat=,-0.795430, actvprof=,2.504098, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.507320, id=,S03, PRDE,actvstrat=,0.331150, actvprof=,0.222796, id=,S05, PRDE,actvstrat=,-0.456733, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.937460, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.504098, best_B_strat=,-0.795430, best_S_id=,S00, best_S_prof=,4.507320, best_S_strat=,-1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.293839, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.540275, actvprof=,0.005695, id=,B04, PRDE,actvstrat=,-0.572883, actvprof=,0.119727, id=,B07, PRDE,actvstrat=,-0.795430, actvprof=,2.499965, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.448102, id=,S03, PRDE,actvstrat=,0.331150, actvprof=,0.213759, id=,S05, PRDE,actvstrat=,-0.456733, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.937460, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.499965, best_B_strat=,-0.795430, best_S_id=,S00, best_S_prof=,4.448102, best_S_strat=,-1.000000, 
