t=,75600, id=,B00, PRDE,actvstrat=,-0.195375, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.151101, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.226488, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.183747, actvprof=,0.072226, id=,B06, PRDE,actvstrat=,0.233470, actvprof=,2.214845, id=,S01, PRDE,actvstrat=,-0.328989, actvprof=,1.686483, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.824879, id=,S04, PRDE,actvstrat=,0.292395, actvprof=,0.028890, id=,S07, PRDE,actvstrat=,-0.266480, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.327176, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.214845, best_B_strat=,0.233470, best_S_id=,S02, best_S_prof=,2.824879, best_S_strat=,1.000000, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.195375, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.151101, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.226488, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.183747, actvprof=,0.068891, id=,B06, PRDE,actvstrat=,0.233470, actvprof=,2.109503, id=,S01, PRDE,actvstrat=,-0.328989, actvprof=,1.690047, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.869802, id=,S04, PRDE,actvstrat=,0.292395, actvprof=,0.032640, id=,S07, PRDE,actvstrat=,-0.266480, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.327176, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.109503, best_B_strat=,0.233470, best_S_id=,S02, best_S_prof=,2.869802, best_S_strat=,1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.291681, actvprof=,0.066393, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.899106, id=,S01, PRDE,actvstrat=,0.017097, actvprof=,2.166787, id=,S02, PRDE,actvstrat=,0.141166, actvprof=,0.869771, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.047780, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.899106, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.166787, best_S_strat=,0.017097, 
t=,86400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,-0.291681, actvprof=,0.062085, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.917887, id=,S01, PRDE,actvstrat=,0.017097, actvprof=,2.093391, id=,S02, PRDE,actvstrat=,0.141166, actvprof=,0.916692, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.042918, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.917887, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.093391, best_S_strat=,0.017097, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.828133, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.468363, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.843830, actvprof=,0.019723, id=,B06, PRDE,actvstrat=,0.337399, actvprof=,1.777877, id=,S01, PRDE,actvstrat=,-0.876843, actvprof=,0.689205, id=,S02, PRDE,actvstrat=,0.431118, actvprof=,2.488194, id=,S04, PRDE,actvstrat=,-0.604510, actvprof=,0.012501, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.164256, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.777877, best_B_strat=,0.337399, best_S_id=,S02, best_S_prof=,2.488194, best_S_strat=,0.431118, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.828133, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.468363, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.843830, actvprof=,0.017639, id=,B06, PRDE,actvstrat=,0.337399, actvprof=,1.779494, id=,S01, PRDE,actvstrat=,-0.876843, actvprof=,0.751132, id=,S02, PRDE,actvstrat=,0.431118, actvprof=,2.436179, id=,S04, PRDE,actvstrat=,-0.604510, actvprof=,0.009445, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.164256, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.779494, best_B_strat=,0.337399, best_S_id=,S02, best_S_prof=,2.436179, best_S_strat=,0.431118, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.258175, actvprof=,0.001111, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.579516, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.878191, id=,S02, PRDE,actvstrat=,0.202110, actvprof=,2.432012, id=,S04, PRDE,actvstrat=,-0.653263, actvprof=,0.023334, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.605391, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.579516, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.878191, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000694, id=,B04, PRDE,actvstrat=,-0.258175, actvprof=,0.002778, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.631166, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.699959, id=,S02, PRDE,actvstrat=,0.202110, actvprof=,2.349493, id=,S04, PRDE,actvstrat=,-0.653263, actvprof=,0.021667, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.605391, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.631166, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.699959, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.409203, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.757469, actvprof=,0.004723, id=,B04, PRDE,actvstrat=,0.843830, actvprof=,0.107787, id=,B06, PRDE,actvstrat=,0.426777, actvprof=,1.967386, id=,S01, PRDE,actvstrat=,0.507727, actvprof=,4.076173, id=,S02, PRDE,actvstrat=,0.789330, actvprof=,2.944134, id=,S04, PRDE,actvstrat=,-0.412357, actvprof=,0.009445, id=,S07, PRDE,actvstrat=,0.751319, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.967386, best_B_strat=,0.426777, best_S_id=,S01, best_S_prof=,4.076173, best_S_strat=,0.507727, 
t=,108000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.409203, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.757469, actvprof=,0.002917, id=,B04, PRDE,actvstrat=,0.843830, actvprof=,0.092087, id=,B06, PRDE,actvstrat=,0.426777, actvprof=,2.018140, id=,S01, PRDE,actvstrat=,0.507727, actvprof=,4.106282, id=,S02, PRDE,actvstrat=,0.789330, actvprof=,3.009987, id=,S04, PRDE,actvstrat=,-0.412357, actvprof=,0.009862, id=,S07, PRDE,actvstrat=,0.751319, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.018140, best_B_strat=,0.426777, best_S_id=,S01, best_S_prof=,4.106282, best_S_strat=,0.507727, 
t=,111600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.630337, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001945, id=,B04, PRDE,actvstrat=,-0.785133, actvprof=,0.019724, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.482005, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.345978, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.646368, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.010557, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.482005, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.345978, best_S_strat=,1.000000, 
