t=,75600, id=,B00, PRDE,actvstrat=,0.128918, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.638938, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.896036, actvprof=,0.076117, id=,B05, PRDE,actvstrat=,0.166320, actvprof=,0.524488, id=,B07, PRDE,actvstrat=,0.027820, actvprof=,2.919966, id=,S03, PRDE,actvstrat=,0.477181, actvprof=,0.607828, id=,S05, PRDE,actvstrat=,-0.153750, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.990708, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.073751, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.919966, best_B_strat=,0.027820, best_S_id=,S03, best_S_prof=,0.607828, best_S_strat=,0.477181, 
t=,79200, id=,B00, PRDE,actvstrat=,0.128918, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.638938, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.896036, actvprof=,0.102504, id=,B05, PRDE,actvstrat=,0.166320, actvprof=,0.612803, id=,B07, PRDE,actvstrat=,0.027820, actvprof=,3.049433, id=,S03, PRDE,actvstrat=,0.477181, actvprof=,0.542106, id=,S05, PRDE,actvstrat=,-0.153750, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.990708, actvprof=,0.004722, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.073751, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.049433, best_B_strat=,0.027820, best_S_id=,S03, best_S_prof=,0.542106, best_S_strat=,0.477181, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.421660, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.706829, actvprof=,0.288913, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.613746, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.962636, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.184543, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.039726, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.003889, id=,S07, PRDE,actvstrat=,-0.980891, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.962636, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,1.184543, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.421660, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.706829, actvprof=,0.327930, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.764101, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.084656, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.084629, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.033057, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.003472, id=,S07, PRDE,actvstrat=,-0.980891, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.084656, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,1.084629, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.421660, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.113679, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.340862, id=,B05, PRDE,actvstrat=,0.976520, actvprof=,1.570964, id=,B07, PRDE,actvstrat=,-0.682690, actvprof=,2.314637, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.432342, id=,S05, PRDE,actvstrat=,0.949032, actvprof=,0.021668, id=,S06, PRDE,actvstrat=,0.390066, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.724916, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.314637, best_B_strat=,-0.682690, best_S_id=,S03, best_S_prof=,1.432342, best_S_strat=,1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.421660, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.113679, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.225287, id=,B05, PRDE,actvstrat=,0.976520, actvprof=,1.391030, id=,B07, PRDE,actvstrat=,-0.682690, actvprof=,2.136200, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.587011, id=,S05, PRDE,actvstrat=,0.949032, actvprof=,0.013889, id=,S06, PRDE,actvstrat=,0.390066, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.724916, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.136200, best_B_strat=,-0.682690, best_S_id=,S03, best_S_prof=,1.587011, best_S_strat=,1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,0.840762, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.113343, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.203989, id=,B07, PRDE,actvstrat=,-0.448061, actvprof=,2.095175, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.639581, id=,S05, PRDE,actvstrat=,0.396072, actvprof=,0.000833, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,-0.825179, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.095175, best_B_strat=,-0.448061, best_S_id=,S03, best_S_prof=,1.639581, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,0.840762, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.127366, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.210050, id=,B07, PRDE,actvstrat=,-0.448061, actvprof=,2.000917, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.642430, id=,S05, PRDE,actvstrat=,0.396072, actvprof=,0.000833, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,-0.825179, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.000917, best_B_strat=,-0.448061, best_S_id=,S03, best_S_prof=,1.642430, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,0.934018, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.006599, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.706829, actvprof=,0.063062, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.951759, id=,B07, PRDE,actvstrat=,-0.448061, actvprof=,1.580709, id=,S03, PRDE,actvstrat=,0.591710, actvprof=,0.773964, id=,S05, PRDE,actvstrat=,-0.224747, actvprof=,0.001111, id=,S06, PRDE,actvstrat=,-0.611153, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.652736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.580709, best_B_strat=,-0.448061, best_S_id=,S03, best_S_prof=,0.773964, best_S_strat=,0.591710, 
t=,108000, id=,B00, PRDE,actvstrat=,0.934018, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.006599, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.706829, actvprof=,0.038474, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.756565, id=,B07, PRDE,actvstrat=,-0.448061, actvprof=,1.497156, id=,S03, PRDE,actvstrat=,0.591710, actvprof=,0.948241, id=,S05, PRDE,actvstrat=,-0.224747, actvprof=,0.001250, id=,S06, PRDE,actvstrat=,-0.611153, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.652736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.497156, best_B_strat=,-0.448061, best_S_id=,S03, best_S_prof=,0.948241, best_S_strat=,0.591710, 
t=,111600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.040837, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.130110, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.303474, id=,S03, PRDE,actvstrat=,-0.999573, actvprof=,1.814899, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.008890, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.426203, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.303474, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.814899, best_S_strat=,-0.999573, 
