t=,75600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.511934, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.798634, actvprof=,3.087886, id=,B08, PRDE,actvstrat=,-0.656903, actvprof=,4.045506, id=,B09, PRDE,actvstrat=,-0.855166, actvprof=,3.991332, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.239974, id=,S02, PRDE,actvstrat=,0.657256, actvprof=,1.348502, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.181871, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.634126, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.045506, best_B_strat=,-0.656903, best_S_id=,S01, best_S_prof=,4.239974, best_S_strat=,-1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.511934, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.798634, actvprof=,3.199783, id=,B08, PRDE,actvstrat=,-0.656903, actvprof=,4.044836, id=,B09, PRDE,actvstrat=,-0.855166, actvprof=,4.120952, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.171094, id=,S02, PRDE,actvstrat=,0.657256, actvprof=,1.299526, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.181871, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.634126, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.120952, best_B_strat=,-0.855166, best_S_id=,S01, best_S_prof=,4.171094, best_S_strat=,-1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,0.919047, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.879113, actvprof=,2.865636, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.336348, id=,B09, PRDE,actvstrat=,-0.975834, actvprof=,2.677557, id=,S01, PRDE,actvstrat=,0.004257, actvprof=,1.487130, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.018155, id=,S07, PRDE,actvstrat=,-0.843667, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.353834, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.363928, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.336348, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.018155, best_S_strat=,1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,0.919047, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.879113, actvprof=,2.832260, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.246224, id=,B09, PRDE,actvstrat=,-0.975834, actvprof=,2.831983, id=,S01, PRDE,actvstrat=,0.004257, actvprof=,1.469120, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.098388, id=,S07, PRDE,actvstrat=,-0.843667, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.353834, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.363928, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.246224, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.098388, best_S_strat=,1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,0.919047, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.386764, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.509306, actvprof=,1.879957, id=,B08, PRDE,actvstrat=,-0.859407, actvprof=,3.562945, id=,B09, PRDE,actvstrat=,0.747857, actvprof=,9.030295, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.322082, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,1.991360, id=,S07, PRDE,actvstrat=,-0.545984, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.627009, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,9.030295, best_B_strat=,0.747857, best_S_id=,S01, best_S_prof=,3.322082, best_S_strat=,-1.000000, 
t=,93600, id=,B01, PRDE,actvstrat=,0.919047, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.386764, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.509306, actvprof=,1.913717, id=,B08, PRDE,actvstrat=,-0.859407, actvprof=,3.549781, id=,B09, PRDE,actvstrat=,0.747857, actvprof=,9.019390, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.334074, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,1.977749, id=,S07, PRDE,actvstrat=,-0.545984, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.627009, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,9.019390, best_B_strat=,0.747857, best_S_id=,S01, best_S_prof=,3.334074, best_S_strat=,-1.000000, 
t=,97200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,B06, PRDE,actvstrat=,-0.792769, actvprof=,0.716201, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.549985, id=,B09, PRDE,actvstrat=,0.545703, actvprof=,7.828756, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.340543, id=,S02, PRDE,actvstrat=,0.382887, actvprof=,0.811768, id=,S07, PRDE,actvstrat=,0.651125, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.333430, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.828756, best_B_strat=,0.545703, best_S_id=,S01, best_S_prof=,4.340543, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000694, id=,B06, PRDE,actvstrat=,-0.792769, actvprof=,0.643790, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.461932, id=,B09, PRDE,actvstrat=,0.545703, actvprof=,7.719371, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.375412, id=,S02, PRDE,actvstrat=,0.382887, actvprof=,0.746991, id=,S07, PRDE,actvstrat=,0.651125, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.333430, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.719371, best_B_strat=,0.545703, best_S_id=,S01, best_S_prof=,4.375412, best_S_strat=,1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.439781, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.138431, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.509306, actvprof=,0.455070, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.166345, id=,B09, PRDE,actvstrat=,0.275033, actvprof=,6.108711, id=,S01, PRDE,actvstrat=,0.565576, actvprof=,3.281335, id=,S02, PRDE,actvstrat=,-0.739699, actvprof=,0.143633, id=,S07, PRDE,actvstrat=,0.085709, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.685340, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.108711, best_B_strat=,0.275033, best_S_id=,S01, best_S_prof=,3.281335, best_S_strat=,0.565576, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.439781, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.138431, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.509306, actvprof=,0.427394, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.063026, id=,B09, PRDE,actvstrat=,0.275033, actvprof=,6.168805, id=,S01, PRDE,actvstrat=,0.565576, actvprof=,3.352478, id=,S02, PRDE,actvstrat=,-0.739699, actvprof=,0.151262, id=,S07, PRDE,actvstrat=,0.085709, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.685340, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.168805, best_B_strat=,0.275033, best_S_id=,S01, best_S_prof=,3.352478, best_S_strat=,0.565576, 
