t=,75600, id=,B01, PRDE,actvstrat=,-0.061610, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.562479, actvprof=,0.007223, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.025001, id=,B04, PRDE,actvstrat=,-0.141646, actvprof=,0.030835, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.342639, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.683848, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.245371, id=,S03, PRDE,actvstrat=,0.605759, actvprof=,0.966985, id=,S04, PRDE,actvstrat=,-0.484139, actvprof=,0.019723, id=,S06, PRDE,actvstrat=,0.630042, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.342639, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.683848, best_S_strat=,0.558127, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.061610, actvprof=,0.000139, id=,B02, PRDE,actvstrat=,0.562479, actvprof=,0.005833, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.028889, id=,B04, PRDE,actvstrat=,-0.141646, actvprof=,0.044862, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.267568, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.694008, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.298798, id=,S03, PRDE,actvstrat=,0.605759, actvprof=,1.034049, id=,S04, PRDE,actvstrat=,-0.484139, actvprof=,0.021667, id=,S06, PRDE,actvstrat=,0.630042, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.267568, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.694008, best_S_strat=,0.558127, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.065887, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.006389, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.010834, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.122783, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.326250, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.757184, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.336486, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.117824, id=,S04, PRDE,actvstrat=,-0.484139, actvprof=,0.031946, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.326250, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.757184, best_S_strat=,0.558127, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.065887, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.006389, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.012917, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.126669, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.252290, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.753175, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.301020, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.207525, id=,S04, PRDE,actvstrat=,-0.484139, actvprof=,0.033473, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.000833, best_B_id=,B08, best_B_prof=,3.252290, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.753175, best_S_strat=,0.558127, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.622453, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.010000, id=,B03, PRDE,actvstrat=,-0.211692, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,-0.963102, actvprof=,0.132783, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,4.217120, id=,S00, PRDE,actvstrat=,0.606176, actvprof=,5.265219, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,1.722294, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,0.717808, id=,S04, PRDE,actvstrat=,0.725399, actvprof=,0.105838, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.000556, best_B_id=,B08, best_B_prof=,4.217120, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.265219, best_S_strat=,0.606176, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.622453, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.005139, id=,B03, PRDE,actvstrat=,-0.211692, actvprof=,0.005972, id=,B04, PRDE,actvstrat=,-0.963102, actvprof=,0.105697, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,4.201199, id=,S00, PRDE,actvstrat=,0.606176, actvprof=,5.183719, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,1.653368, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,0.682653, id=,S04, PRDE,actvstrat=,0.725399, actvprof=,0.088752, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.000278, best_B_id=,B08, best_B_prof=,4.201199, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.183719, best_S_strat=,0.606176, 
t=,97200, id=,B01, PRDE,actvstrat=,-0.065887, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.010278, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.028890, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.145564, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.536308, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.412245, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.083171, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.001722, id=,S04, PRDE,actvstrat=,0.725399, actvprof=,0.094172, id=,S06, PRDE,actvstrat=,-0.481620, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.536308, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.412245, best_S_strat=,0.558127, 
t=,100800, id=,B01, PRDE,actvstrat=,-0.065887, actvprof=,0.000417, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.013195, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.030418, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.120281, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.580238, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.351815, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.024362, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,0.973638, id=,S04, PRDE,actvstrat=,0.725399, actvprof=,0.124170, id=,S06, PRDE,actvstrat=,-0.481620, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.580238, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.351815, best_S_strat=,0.558127, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.061610, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.003334, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.019723, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.042502, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,2.779321, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.919496, id=,S02, PRDE,actvstrat=,0.098642, actvprof=,2.197344, id=,S03, PRDE,actvstrat=,0.119541, actvprof=,0.921162, id=,S04, PRDE,actvstrat=,-0.484139, actvprof=,0.069726, id=,S06, PRDE,actvstrat=,-0.481620, actvprof=,0.001945, best_B_id=,B08, best_B_prof=,2.779321, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.919496, best_S_strat=,0.558127, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.061610, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.011111, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.039723, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,2.804364, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,6.000819, id=,S02, PRDE,actvstrat=,0.098642, actvprof=,2.225880, id=,S03, PRDE,actvstrat=,0.119541, actvprof=,0.926547, id=,S04, PRDE,actvstrat=,-0.484139, actvprof=,0.052362, id=,S06, PRDE,actvstrat=,-0.481620, actvprof=,0.000972, best_B_id=,B08, best_B_prof=,2.804364, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,6.000819, best_S_strat=,0.558127, 
t=,111600, id=,B01, PRDE,actvstrat=,-0.065887, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.005000, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.017501, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.101672, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.078504, id=,S00, PRDE,actvstrat=,0.606176, actvprof=,5.656425, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.289294, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.240624, id=,S04, PRDE,actvstrat=,-0.484139, actvprof=,0.038891, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.002778, best_B_id=,B08, best_B_prof=,3.078504, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.656425, best_S_strat=,0.606176, 
