t=,75600, id=,B00, PRDE,actvstrat=,0.707452, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.052500, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.831100, actvprof=,0.048614, id=,B08, PRDE,actvstrat=,-0.408210, actvprof=,3.856881, id=,B09, PRDE,actvstrat=,-0.050314, actvprof=,5.935885, id=,S02, PRDE,actvstrat=,0.786968, actvprof=,2.519307, id=,S03, PRDE,actvstrat=,-0.136012, actvprof=,0.066670, id=,S06, PRDE,actvstrat=,0.876303, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,0.431855, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.935885, best_B_strat=,-0.050314, best_S_id=,S02, best_S_prof=,2.519307, best_S_strat=,0.786968, 
t=,79200, id=,B00, PRDE,actvstrat=,0.707452, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.052500, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.831100, actvprof=,0.045001, id=,B08, PRDE,actvstrat=,-0.408210, actvprof=,3.836912, id=,B09, PRDE,actvstrat=,-0.050314, actvprof=,5.956971, id=,S02, PRDE,actvstrat=,0.786968, actvprof=,2.526320, id=,S03, PRDE,actvstrat=,-0.136012, actvprof=,0.073891, id=,S06, PRDE,actvstrat=,0.876303, actvprof=,0.003750, id=,S07, PRDE,actvstrat=,0.431855, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.956971, best_B_strat=,-0.050314, best_S_id=,S02, best_S_prof=,2.526320, best_S_strat=,0.786968, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.163303, actvprof=,0.010556, id=,B08, PRDE,actvstrat=,0.531190, actvprof=,6.073671, id=,B09, PRDE,actvstrat=,-0.454415, actvprof=,5.647258, id=,S02, PRDE,actvstrat=,0.745213, actvprof=,1.950942, id=,S03, PRDE,actvstrat=,-0.974614, actvprof=,0.120840, id=,S06, PRDE,actvstrat=,-0.041140, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.435657, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.073671, best_B_strat=,0.531190, best_S_id=,S02, best_S_prof=,1.950942, best_S_strat=,0.745213, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.163303, actvprof=,0.011111, id=,B08, PRDE,actvstrat=,0.531190, actvprof=,6.049890, id=,B09, PRDE,actvstrat=,-0.454415, actvprof=,5.612239, id=,S02, PRDE,actvstrat=,0.745213, actvprof=,1.951860, id=,S03, PRDE,actvstrat=,-0.974614, actvprof=,0.141948, id=,S06, PRDE,actvstrat=,-0.041140, actvprof=,0.000139, id=,S07, PRDE,actvstrat=,0.435657, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.049890, best_B_strat=,0.531190, best_S_id=,S02, best_S_prof=,1.951860, best_S_strat=,0.745213, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.213246, actvprof=,0.075560, id=,B08, PRDE,actvstrat=,-0.400515, actvprof=,4.183566, id=,B09, PRDE,actvstrat=,-0.454415, actvprof=,6.093394, id=,S02, PRDE,actvstrat=,-0.731613, actvprof=,0.092505, id=,S03, PRDE,actvstrat=,0.909011, actvprof=,0.927829, id=,S06, PRDE,actvstrat=,-0.354126, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.435657, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.093394, best_B_strat=,-0.454415, best_S_id=,S03, best_S_prof=,0.927829, best_S_strat=,0.909011, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.213246, actvprof=,0.068057, id=,B08, PRDE,actvstrat=,-0.400515, actvprof=,4.157754, id=,B09, PRDE,actvstrat=,-0.454415, actvprof=,5.875024, id=,S02, PRDE,actvstrat=,-0.731613, actvprof=,0.116670, id=,S03, PRDE,actvstrat=,0.909011, actvprof=,0.963082, id=,S06, PRDE,actvstrat=,-0.354126, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.435657, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.875024, best_B_strat=,-0.454415, best_S_id=,S03, best_S_prof=,0.963082, best_S_strat=,0.909011, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.556342, actvprof=,0.151953, id=,B08, PRDE,actvstrat=,0.531190, actvprof=,6.069226, id=,B09, PRDE,actvstrat=,-0.050314, actvprof=,6.787599, id=,S02, PRDE,actvstrat=,0.745213, actvprof=,1.885938, id=,S03, PRDE,actvstrat=,0.951782, actvprof=,1.085338, id=,S06, PRDE,actvstrat=,0.876303, actvprof=,0.029446, id=,S07, PRDE,actvstrat=,-0.025026, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.787599, best_B_strat=,-0.050314, best_S_id=,S02, best_S_prof=,1.885938, best_S_strat=,0.745213, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.556342, actvprof=,0.163060, id=,B08, PRDE,actvstrat=,0.531190, actvprof=,6.095169, id=,B09, PRDE,actvstrat=,-0.050314, actvprof=,6.617128, id=,S02, PRDE,actvstrat=,0.745213, actvprof=,1.789355, id=,S03, PRDE,actvstrat=,0.951782, actvprof=,1.042807, id=,S06, PRDE,actvstrat=,0.876303, actvprof=,0.024862, id=,S07, PRDE,actvstrat=,-0.025026, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.617128, best_B_strat=,-0.050314, best_S_id=,S02, best_S_prof=,1.789355, best_S_strat=,0.745213, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.556342, actvprof=,0.191677, id=,B08, PRDE,actvstrat=,0.531190, actvprof=,6.357020, id=,B09, PRDE,actvstrat=,-0.454415, actvprof=,5.787266, id=,S02, PRDE,actvstrat=,0.745213, actvprof=,1.670371, id=,S03, PRDE,actvstrat=,0.909011, actvprof=,0.782821, id=,S06, PRDE,actvstrat=,-0.354126, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.435657, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.112661, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.357020, best_B_strat=,0.531190, best_S_id=,S02, best_S_prof=,1.670371, best_S_strat=,0.745213, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.556342, actvprof=,0.181394, id=,B08, PRDE,actvstrat=,0.531190, actvprof=,6.283230, id=,B09, PRDE,actvstrat=,-0.454415, actvprof=,5.908497, id=,S02, PRDE,actvstrat=,0.745213, actvprof=,1.649212, id=,S03, PRDE,actvstrat=,0.909011, actvprof=,0.827523, id=,S06, PRDE,actvstrat=,-0.354126, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.435657, actvprof=,0.001250, id=,S08, PRDE,actvstrat=,-0.112661, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.283230, best_B_strat=,0.531190, best_S_id=,S02, best_S_prof=,1.649212, best_S_strat=,0.745213, 
