t=,75600, id=,B01, PRDE,actvstrat=,0.894466, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,-0.992402, actvprof=,0.003612, id=,B03, PRDE,actvstrat=,0.106375, actvprof=,0.004445, id=,B06, PRDE,actvstrat=,-0.017355, actvprof=,0.825392, id=,B09, PRDE,actvstrat=,0.901234, actvprof=,6.890124, id=,S00, PRDE,actvstrat=,0.838030, actvprof=,6.681206, id=,S02, PRDE,actvstrat=,0.056683, actvprof=,1.663287, id=,S03, PRDE,actvstrat=,0.301911, actvprof=,0.886512, id=,S04, PRDE,actvstrat=,0.728699, actvprof=,0.417002, id=,S07, PRDE,actvstrat=,-0.766250, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.890124, best_B_strat=,0.901234, best_S_id=,S00, best_S_prof=,6.681206, best_S_strat=,0.838030, 
t=,79200, id=,B01, PRDE,actvstrat=,0.894466, actvprof=,0.000694, id=,B02, PRDE,actvstrat=,-0.992402, actvprof=,0.005834, id=,B03, PRDE,actvstrat=,0.106375, actvprof=,0.002778, id=,B06, PRDE,actvstrat=,-0.017355, actvprof=,0.853531, id=,B09, PRDE,actvstrat=,0.901234, actvprof=,6.860199, id=,S00, PRDE,actvstrat=,0.838030, actvprof=,6.814640, id=,S02, PRDE,actvstrat=,0.056683, actvprof=,1.683867, id=,S03, PRDE,actvstrat=,0.301911, actvprof=,0.902840, id=,S04, PRDE,actvstrat=,0.728699, actvprof=,0.411834, id=,S07, PRDE,actvstrat=,-0.766250, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.860199, best_B_strat=,0.901234, best_S_id=,S00, best_S_prof=,6.814640, best_S_strat=,0.838030, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.624983, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002222, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.322647, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.011223, id=,S00, PRDE,actvstrat=,0.097524, actvprof=,5.205856, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.650239, id=,S03, PRDE,actvstrat=,-0.579518, actvprof=,0.384765, id=,S04, PRDE,actvstrat=,0.832562, actvprof=,1.032615, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.011223, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.205856, best_S_strat=,0.097524, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.624983, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.003333, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.321861, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.904413, id=,S00, PRDE,actvstrat=,0.097524, actvprof=,5.193550, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.604359, id=,S03, PRDE,actvstrat=,-0.579518, actvprof=,0.386961, id=,S04, PRDE,actvstrat=,0.832562, actvprof=,1.063378, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.904413, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.193550, best_S_strat=,0.097524, 
t=,90000, id=,B01, PRDE,actvstrat=,0.579397, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.958391, actvprof=,0.004445, id=,B03, PRDE,actvstrat=,-0.305457, actvprof=,0.002778, id=,B06, PRDE,actvstrat=,-0.504975, actvprof=,0.528962, id=,B09, PRDE,actvstrat=,0.035399, actvprof=,5.533546, id=,S00, PRDE,actvstrat=,0.097524, actvprof=,4.297819, id=,S02, PRDE,actvstrat=,0.884253, actvprof=,3.593832, id=,S03, PRDE,actvstrat=,0.479469, actvprof=,0.976247, id=,S04, PRDE,actvstrat=,-0.863702, actvprof=,0.002223, id=,S07, PRDE,actvstrat=,-0.814878, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.533546, best_B_strat=,0.035399, best_S_id=,S00, best_S_prof=,4.297819, best_S_strat=,0.097524, 
t=,93600, id=,B01, PRDE,actvstrat=,0.579397, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.958391, actvprof=,0.003472, id=,B03, PRDE,actvstrat=,-0.305457, actvprof=,0.001806, id=,B06, PRDE,actvstrat=,-0.504975, actvprof=,0.507674, id=,B09, PRDE,actvstrat=,0.035399, actvprof=,5.450934, id=,S00, PRDE,actvstrat=,0.097524, actvprof=,4.296826, id=,S02, PRDE,actvstrat=,0.884253, actvprof=,3.592611, id=,S03, PRDE,actvstrat=,0.479469, actvprof=,1.034933, id=,S04, PRDE,actvstrat=,-0.863702, actvprof=,0.020696, id=,S07, PRDE,actvstrat=,-0.814878, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.450934, best_B_strat=,0.035399, best_S_id=,S00, best_S_prof=,4.296826, best_S_strat=,0.097524, 
t=,97200, id=,B01, PRDE,actvstrat=,-0.969130, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.001945, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.684655, id=,B09, PRDE,actvstrat=,0.850349, actvprof=,6.570821, id=,S00, PRDE,actvstrat=,-0.544427, actvprof=,2.986207, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.797419, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.343348, id=,S04, PRDE,actvstrat=,0.389978, actvprof=,0.343932, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, best_B_id=,B09, best_B_prof=,6.570821, best_B_strat=,0.850349, best_S_id=,S02, best_S_prof=,3.797419, best_S_strat=,-1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,-0.969130, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.001945, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.649281, id=,B09, PRDE,actvstrat=,0.850349, actvprof=,6.589069, id=,S00, PRDE,actvstrat=,-0.544427, actvprof=,2.892006, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.893743, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.355580, id=,S04, PRDE,actvstrat=,0.389978, actvprof=,0.333634, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.002083, best_B_id=,B09, best_B_prof=,6.589069, best_B_strat=,0.850349, best_S_id=,S02, best_S_prof=,3.893743, best_S_strat=,-1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.612776, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.169063, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.031484, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.765887, actvprof=,1.388804, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.648979, id=,S00, PRDE,actvstrat=,-0.354009, actvprof=,3.374358, id=,S02, PRDE,actvstrat=,-0.991822, actvprof=,2.792054, id=,S03, PRDE,actvstrat=,0.128902, actvprof=,1.036811, id=,S04, PRDE,actvstrat=,0.588665, actvprof=,0.516738, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.001945, best_B_id=,B09, best_B_prof=,6.648979, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,3.374358, best_S_strat=,-0.354009, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.612776, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.169063, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.031484, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.765887, actvprof=,1.363567, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.625043, id=,S00, PRDE,actvstrat=,-0.354009, actvprof=,3.352038, id=,S02, PRDE,actvstrat=,-0.991822, actvprof=,2.815057, id=,S03, PRDE,actvstrat=,0.128902, actvprof=,1.108688, id=,S04, PRDE,actvstrat=,0.588665, actvprof=,0.527537, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.001945, best_B_id=,B09, best_B_prof=,6.625043, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,3.352038, best_S_strat=,-0.354009, 
t=,111600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,-0.974595, actvprof=,0.009723, id=,B03, PRDE,actvstrat=,0.438485, actvprof=,0.021392, id=,B06, PRDE,actvstrat=,0.305388, actvprof=,1.512967, id=,B09, PRDE,actvstrat=,0.345133, actvprof=,6.310233, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.696393, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.436541, id=,S03, PRDE,actvstrat=,-0.249041, actvprof=,0.196136, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.653693, id=,S07, PRDE,actvstrat=,-0.865402, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.310233, best_B_strat=,0.345133, best_S_id=,S00, best_S_prof=,6.696393, best_S_strat=,1.000000, 
