t=,75600, id=,B00, PRDE,actvstrat=,0.144247, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.088257, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.379411, actvprof=,0.576976, id=,B06, PRDE,actvstrat=,0.505696, actvprof=,2.127896, id=,B09, PRDE,actvstrat=,0.630412, actvprof=,7.211512, id=,S03, PRDE,actvstrat=,0.795697, actvprof=,1.058670, id=,S05, PRDE,actvstrat=,-0.575480, actvprof=,0.007778, id=,S06, PRDE,actvstrat=,0.785648, actvprof=,0.043058, id=,S07, PRDE,actvstrat=,-0.940227, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.205495, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.211512, best_B_strat=,0.630412, best_S_id=,S03, best_S_prof=,1.058670, best_S_strat=,0.795697, 
t=,79200, id=,B00, PRDE,actvstrat=,0.144247, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.088257, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.379411, actvprof=,0.596405, id=,B06, PRDE,actvstrat=,0.505696, actvprof=,2.110475, id=,B09, PRDE,actvstrat=,0.630412, actvprof=,7.217562, id=,S03, PRDE,actvstrat=,0.795697, actvprof=,1.102253, id=,S05, PRDE,actvstrat=,-0.575480, actvprof=,0.007222, id=,S06, PRDE,actvstrat=,0.785648, actvprof=,0.038751, id=,S07, PRDE,actvstrat=,-0.940227, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.205495, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.217562, best_B_strat=,0.630412, best_S_id=,S03, best_S_prof=,1.102253, best_S_strat=,0.795697, 
t=,82800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.750266, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.553884, actvprof=,0.235569, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.737874, id=,B09, PRDE,actvstrat=,0.162218, actvprof=,5.552253, id=,S03, PRDE,actvstrat=,0.254299, actvprof=,0.832824, id=,S05, PRDE,actvstrat=,0.136914, actvprof=,0.051114, id=,S06, PRDE,actvstrat=,0.772252, actvprof=,0.020834, id=,S07, PRDE,actvstrat=,-0.593949, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.981103, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.552253, best_B_strat=,0.162218, best_S_id=,S03, best_S_prof=,0.832824, best_S_strat=,0.254299, 
t=,86400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.750266, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.553884, actvprof=,0.275980, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.786716, id=,B09, PRDE,actvstrat=,0.162218, actvprof=,5.431123, id=,S03, PRDE,actvstrat=,0.254299, actvprof=,0.726687, id=,S05, PRDE,actvstrat=,0.136914, actvprof=,0.041390, id=,S06, PRDE,actvstrat=,0.772252, actvprof=,0.029723, id=,S07, PRDE,actvstrat=,-0.593949, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,-0.981103, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.431123, best_B_strat=,0.162218, best_S_id=,S03, best_S_prof=,0.726687, best_S_strat=,0.254299, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.634681, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.144479, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.100843, actvprof=,0.521973, id=,B06, PRDE,actvstrat=,-0.104502, actvprof=,1.667315, id=,B09, PRDE,actvstrat=,-0.676277, actvprof=,5.925885, id=,S03, PRDE,actvstrat=,0.278789, actvprof=,0.213901, id=,S05, PRDE,actvstrat=,0.136914, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.684646, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.079096, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,0.790156, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.925885, best_B_strat=,-0.676277, best_S_id=,S03, best_S_prof=,0.213901, best_S_strat=,0.278789, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.634681, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.144479, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.100843, actvprof=,0.549599, id=,B06, PRDE,actvstrat=,-0.104502, actvprof=,1.744771, id=,B09, PRDE,actvstrat=,-0.676277, actvprof=,6.132254, id=,S03, PRDE,actvstrat=,0.278789, actvprof=,0.184311, id=,S05, PRDE,actvstrat=,0.136914, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.684646, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,0.079096, actvprof=,0.000139, id=,S09, PRDE,actvstrat=,0.790156, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.132254, best_B_strat=,-0.676277, best_S_id=,S03, best_S_prof=,0.184311, best_S_strat=,0.278789, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.808385, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.570777, actvprof=,0.728919, id=,B06, PRDE,actvstrat=,0.210567, actvprof=,1.693959, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.498368, id=,S03, PRDE,actvstrat=,0.690358, actvprof=,0.787255, id=,S05, PRDE,actvstrat=,0.768461, actvprof=,0.107782, id=,S06, PRDE,actvstrat=,-0.453581, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,0.607449, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.050072, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.498368, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,0.787255, best_S_strat=,0.690358, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.808385, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.570777, actvprof=,0.670158, id=,B06, PRDE,actvstrat=,0.210567, actvprof=,1.643379, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.525348, id=,S03, PRDE,actvstrat=,0.690358, actvprof=,0.836412, id=,S05, PRDE,actvstrat=,0.768461, actvprof=,0.078336, id=,S06, PRDE,actvstrat=,-0.453581, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,0.607449, actvprof=,0.008334, id=,S09, PRDE,actvstrat=,0.050072, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.525348, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,0.836412, best_S_strat=,0.690358, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.808385, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.187950, actvprof=,0.422801, id=,B06, PRDE,actvstrat=,0.210567, actvprof=,2.193455, id=,B09, PRDE,actvstrat=,-0.950882, actvprof=,2.689316, id=,S03, PRDE,actvstrat=,-0.546701, actvprof=,0.013612, id=,S05, PRDE,actvstrat=,0.328497, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.170436, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.499525, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.536802, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.689316, best_B_strat=,-0.950882, best_S_id=,S03, best_S_prof=,0.013612, best_S_strat=,-0.546701, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.808385, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.187950, actvprof=,0.440568, id=,B06, PRDE,actvstrat=,0.210567, actvprof=,2.323120, id=,B09, PRDE,actvstrat=,-0.950882, actvprof=,2.622295, id=,S03, PRDE,actvstrat=,-0.546701, actvprof=,0.019445, id=,S05, PRDE,actvstrat=,0.328497, actvprof=,0.002083, id=,S06, PRDE,actvstrat=,0.170436, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.499525, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.536802, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.622295, best_B_strat=,-0.950882, best_S_id=,S03, best_S_prof=,0.019445, best_S_strat=,-0.546701, 
