t=,75600, id=,B00, PRDE,actvstrat=,0.717916, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.840269, actvprof=,0.013612, id=,B06, PRDE,actvstrat=,0.896041, actvprof=,2.891352, id=,B07, PRDE,actvstrat=,-0.845476, actvprof=,1.449287, id=,B09, PRDE,actvstrat=,0.825905, actvprof=,7.934272, id=,S00, PRDE,actvstrat=,0.706605, actvprof=,4.703448, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.168709, id=,S04, PRDE,actvstrat=,-0.995439, actvprof=,0.344195, id=,S07, PRDE,actvstrat=,-0.239993, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.643706, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.934272, best_B_strat=,0.825905, best_S_id=,S00, best_S_prof=,4.703448, best_S_strat=,0.706605, 
t=,79200, id=,B00, PRDE,actvstrat=,0.717916, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.840269, actvprof=,0.013751, id=,B06, PRDE,actvstrat=,0.896041, actvprof=,2.894148, id=,B07, PRDE,actvstrat=,-0.845476, actvprof=,1.375057, id=,B09, PRDE,actvstrat=,0.825905, actvprof=,7.933386, id=,S00, PRDE,actvstrat=,0.706605, actvprof=,4.678806, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.178382, id=,S04, PRDE,actvstrat=,-0.995439, actvprof=,0.338209, id=,S07, PRDE,actvstrat=,-0.239993, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.643706, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.933386, best_B_strat=,0.825905, best_S_id=,S00, best_S_prof=,4.678806, best_S_strat=,0.706605, 
t=,82800, id=,B00, PRDE,actvstrat=,0.536482, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.015556, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.956748, id=,B07, PRDE,actvstrat=,0.780022, actvprof=,3.285692, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.682223, id=,S00, PRDE,actvstrat=,0.874966, actvprof=,6.891398, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.328430, id=,S04, PRDE,actvstrat=,0.600208, actvprof=,0.301401, id=,S07, PRDE,actvstrat=,0.615385, actvprof=,0.012778, id=,S08, PRDE,actvstrat=,-0.537172, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.682223, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.891398, best_S_strat=,0.874966, 
t=,86400, id=,B00, PRDE,actvstrat=,0.536482, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.011389, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.058280, id=,B07, PRDE,actvstrat=,0.780022, actvprof=,3.313471, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.742642, id=,S00, PRDE,actvstrat=,0.874966, actvprof=,6.785005, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.206064, id=,S04, PRDE,actvstrat=,0.600208, actvprof=,0.279039, id=,S07, PRDE,actvstrat=,0.615385, actvprof=,0.010973, id=,S08, PRDE,actvstrat=,-0.537172, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.742642, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.785005, best_S_strat=,0.874966, 
t=,90000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.935604, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.329801, actvprof=,0.591716, id=,B07, PRDE,actvstrat=,0.780022, actvprof=,2.712170, id=,B09, PRDE,actvstrat=,0.659738, actvprof=,5.680473, id=,S00, PRDE,actvstrat=,-0.534950, actvprof=,2.054616, id=,S03, PRDE,actvstrat=,-0.197954, actvprof=,0.303636, id=,S04, PRDE,actvstrat=,0.600208, actvprof=,0.546990, id=,S07, PRDE,actvstrat=,0.317295, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,-0.954828, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.680473, best_B_strat=,0.659738, best_S_id=,S00, best_S_prof=,2.054616, best_S_strat=,-0.534950, 
t=,93600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.935604, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.329801, actvprof=,0.574881, id=,B07, PRDE,actvstrat=,0.780022, actvprof=,2.705511, id=,B09, PRDE,actvstrat=,0.659738, actvprof=,5.707837, id=,S00, PRDE,actvstrat=,-0.534950, actvprof=,2.023820, id=,S03, PRDE,actvstrat=,-0.197954, actvprof=,0.289732, id=,S04, PRDE,actvstrat=,0.600208, actvprof=,0.556964, id=,S07, PRDE,actvstrat=,0.317295, actvprof=,0.003472, id=,S08, PRDE,actvstrat=,-0.954828, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.707837, best_B_strat=,0.659738, best_S_id=,S00, best_S_prof=,2.023820, best_S_strat=,-0.534950, 
t=,97200, id=,B00, PRDE,actvstrat=,0.764506, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.746799, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.769954, actvprof=,1.458177, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.201933, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.016335, id=,S00, PRDE,actvstrat=,0.657298, actvprof=,5.470178, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.676334, id=,S04, PRDE,actvstrat=,0.613513, actvprof=,0.272245, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.045718, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.016335, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.470178, best_S_strat=,0.657298, 
t=,100800, id=,B00, PRDE,actvstrat=,0.764506, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.746799, actvprof=,0.003472, id=,B06, PRDE,actvstrat=,0.769954, actvprof=,1.492701, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.235274, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.147201, id=,S00, PRDE,actvstrat=,0.657298, actvprof=,5.598983, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.661361, id=,S04, PRDE,actvstrat=,0.613513, actvprof=,0.276400, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.045718, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.147201, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.598983, best_S_strat=,0.657298, 
t=,104400, id=,B00, PRDE,actvstrat=,0.764506, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,B06, PRDE,actvstrat=,-0.880716, actvprof=,0.071950, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.211379, id=,B09, PRDE,actvstrat=,-0.573969, actvprof=,4.072006, id=,S00, PRDE,actvstrat=,0.926248, actvprof=,7.288941, id=,S03, PRDE,actvstrat=,-0.318117, actvprof=,0.090285, id=,S04, PRDE,actvstrat=,-0.558048, actvprof=,0.006389, id=,S07, PRDE,actvstrat=,0.099805, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.628768, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.072006, best_B_strat=,-0.573969, best_S_id=,S00, best_S_prof=,7.288941, best_S_strat=,0.926248, 
t=,108000, id=,B00, PRDE,actvstrat=,0.764506, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000139, id=,B06, PRDE,actvstrat=,-0.880716, actvprof=,0.091948, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.262636, id=,B09, PRDE,actvstrat=,-0.573969, actvprof=,4.124894, id=,S00, PRDE,actvstrat=,0.926248, actvprof=,7.387391, id=,S03, PRDE,actvstrat=,-0.318117, actvprof=,0.075698, id=,S04, PRDE,actvstrat=,-0.558048, actvprof=,0.004861, id=,S07, PRDE,actvstrat=,0.099805, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.628768, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.124894, best_B_strat=,-0.573969, best_S_id=,S00, best_S_prof=,7.387391, best_S_strat=,0.926248, 
