t=,75600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.326110, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.415684, actvprof=,0.321962, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.685816, id=,B09, PRDE,actvstrat=,0.160653, actvprof=,6.855381, id=,S00, PRDE,actvstrat=,0.710927, actvprof=,4.743875, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.017223, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,0.764445, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.855381, best_B_strat=,0.160653, best_S_id=,S00, best_S_prof=,4.743875, best_S_strat=,0.710927, 
t=,79200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.326110, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.415684, actvprof=,0.301536, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.711242, id=,B09, PRDE,actvstrat=,0.160653, actvprof=,6.970471, id=,S00, PRDE,actvstrat=,0.710927, actvprof=,4.646796, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.013056, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.002917, id=,S08, PRDE,actvstrat=,0.764445, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.970471, best_B_strat=,0.160653, best_S_id=,S00, best_S_prof=,4.646796, best_S_strat=,0.710927, 
t=,82800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.105970, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.544475, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.411856, id=,B09, PRDE,actvstrat=,-0.196114, actvprof=,4.464692, id=,S00, PRDE,actvstrat=,0.427321, actvprof=,4.576643, id=,S05, PRDE,actvstrat=,0.595729, actvprof=,0.025835, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.014723, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.399732, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.464692, best_B_strat=,-0.196114, best_S_id=,S00, best_S_prof=,4.576643, best_S_strat=,0.427321, 
t=,86400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.105970, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.528626, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.343565, id=,B09, PRDE,actvstrat=,-0.196114, actvprof=,4.490264, id=,S00, PRDE,actvstrat=,0.427321, actvprof=,4.477347, id=,S05, PRDE,actvstrat=,0.595729, actvprof=,0.024584, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.018195, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.399732, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.490264, best_B_strat=,-0.196114, best_S_id=,S00, best_S_prof=,4.477347, best_S_strat=,0.427321, 
t=,90000, id=,B01, PRDE,actvstrat=,0.105122, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.787040, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.845780, actvprof=,0.433635, id=,B07, PRDE,actvstrat=,-0.947470, actvprof=,1.554531, id=,B09, PRDE,actvstrat=,0.198547, actvprof=,8.259626, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,4.892494, id=,S05, PRDE,actvstrat=,-0.275145, actvprof=,0.001945, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,-0.975584, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.399732, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.259626, best_B_strat=,0.198547, best_S_id=,S00, best_S_prof=,4.892494, best_S_strat=,1.000000, 
t=,93600, id=,B01, PRDE,actvstrat=,0.105122, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.787040, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.845780, actvprof=,0.411123, id=,B07, PRDE,actvstrat=,-0.947470, actvprof=,1.341843, id=,B09, PRDE,actvstrat=,0.198547, actvprof=,8.347454, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,4.955832, id=,S05, PRDE,actvstrat=,-0.275145, actvprof=,0.000972, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.005278, id=,S08, PRDE,actvstrat=,-0.975584, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.399732, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.347454, best_B_strat=,0.198547, best_S_id=,S00, best_S_prof=,4.955832, best_S_strat=,1.000000, 
t=,97200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.693427, id=,B07, PRDE,actvstrat=,-0.598056, actvprof=,2.642369, id=,B09, PRDE,actvstrat=,-0.415663, actvprof=,5.602256, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.130618, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.016390, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.598697, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.602256, best_B_strat=,-0.415663, best_S_id=,S00, best_S_prof=,6.130618, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000139, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000417, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.641423, id=,B07, PRDE,actvstrat=,-0.598056, actvprof=,2.470746, id=,B09, PRDE,actvstrat=,-0.415663, actvprof=,5.685952, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.148045, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.016806, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000694, id=,S08, PRDE,actvstrat=,-0.598697, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.685952, best_B_strat=,-0.415663, best_S_id=,S00, best_S_prof=,6.148045, best_S_strat=,1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.105970, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.040072, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.936662, id=,B09, PRDE,actvstrat=,-0.415663, actvprof=,4.758942, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.989374, id=,S05, PRDE,actvstrat=,0.595729, actvprof=,0.007778, id=,S06, PRDE,actvstrat=,-0.649834, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,0.175917, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.758942, best_B_strat=,-0.415663, best_S_id=,S00, best_S_prof=,6.989374, best_S_strat=,1.000000, 
t=,108000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.105970, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.994618, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.030696, id=,B09, PRDE,actvstrat=,-0.415663, actvprof=,4.871002, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.959686, id=,S05, PRDE,actvstrat=,0.595729, actvprof=,0.007084, id=,S06, PRDE,actvstrat=,-0.649834, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,S09, PRDE,actvstrat=,0.175917, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.871002, best_B_strat=,-0.415663, best_S_id=,S00, best_S_prof=,6.959686, best_S_strat=,1.000000, 
t=,111600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.965234, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.818657, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.846047, id=,B09, PRDE,actvstrat=,-0.470804, actvprof=,4.733319, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.054003, id=,S05, PRDE,actvstrat=,0.129125, actvprof=,0.002778, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.010834, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.281199, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.733319, best_B_strat=,-0.470804, best_S_id=,S00, best_S_prof=,7.054003, best_S_strat=,1.000000, 
