t=,75600, id=,B00, PRDE,actvstrat=,-0.395386, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.692037, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.350365, actvprof=,0.019446, id=,B06, PRDE,actvstrat=,-0.374600, actvprof=,0.789777, id=,B08, PRDE,actvstrat=,-0.550196, actvprof=,3.231891, id=,S02, PRDE,actvstrat=,-0.799142, actvprof=,0.153066, id=,S04, PRDE,actvstrat=,0.096196, actvprof=,0.053059, id=,S05, PRDE,actvstrat=,0.910768, actvprof=,0.009723, id=,S07, PRDE,actvstrat=,0.912676, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.201203, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.231891, best_B_strat=,-0.550196, best_S_id=,S02, best_S_prof=,0.153066, best_S_strat=,-0.799142, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.395386, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.692037, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.350365, actvprof=,0.013195, id=,B06, PRDE,actvstrat=,-0.374600, actvprof=,0.746271, id=,B08, PRDE,actvstrat=,-0.550196, actvprof=,3.272313, id=,S02, PRDE,actvstrat=,-0.799142, actvprof=,0.185977, id=,S04, PRDE,actvstrat=,0.096196, actvprof=,0.060418, id=,S05, PRDE,actvstrat=,0.910768, actvprof=,0.008056, id=,S07, PRDE,actvstrat=,0.912676, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.201203, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.272313, best_B_strat=,-0.550196, best_S_id=,S02, best_S_prof=,0.185977, best_S_strat=,-0.799142, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.826504, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.246865, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.462207, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.714738, actvprof=,0.933107, id=,B08, PRDE,actvstrat=,0.472786, actvprof=,3.718818, id=,S02, PRDE,actvstrat=,-0.088577, actvprof=,1.333685, id=,S04, PRDE,actvstrat=,-0.627141, actvprof=,0.056114, id=,S05, PRDE,actvstrat=,-0.495390, actvprof=,0.003056, id=,S07, PRDE,actvstrat=,-0.314247, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.835342, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.718818, best_B_strat=,0.472786, best_S_id=,S02, best_S_prof=,1.333685, best_S_strat=,-0.088577, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.826504, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.246865, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.462207, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.714738, actvprof=,0.825306, id=,B08, PRDE,actvstrat=,0.472786, actvprof=,3.597069, id=,S02, PRDE,actvstrat=,-0.088577, actvprof=,1.349630, id=,S04, PRDE,actvstrat=,-0.627141, actvprof=,0.052085, id=,S05, PRDE,actvstrat=,-0.495390, actvprof=,0.008334, id=,S07, PRDE,actvstrat=,-0.314247, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.835342, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.597069, best_B_strat=,0.472786, best_S_id=,S02, best_S_prof=,1.349630, best_S_strat=,-0.088577, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.931830, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.141985, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.059675, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.796966, actvprof=,0.807278, id=,B08, PRDE,actvstrat=,0.700310, actvprof=,4.000278, id=,S02, PRDE,actvstrat=,-0.523208, actvprof=,0.888673, id=,S04, PRDE,actvstrat=,-0.627141, actvprof=,0.059726, id=,S05, PRDE,actvstrat=,0.044518, actvprof=,0.044170, id=,S07, PRDE,actvstrat=,0.163061, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.201203, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.000278, best_B_strat=,0.700310, best_S_id=,S02, best_S_prof=,0.888673, best_S_strat=,-0.523208, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.931830, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.141985, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.059675, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.796966, actvprof=,0.769193, id=,B08, PRDE,actvstrat=,0.700310, actvprof=,3.949582, id=,S02, PRDE,actvstrat=,-0.523208, actvprof=,0.788361, id=,S04, PRDE,actvstrat=,-0.627141, actvprof=,0.048196, id=,S05, PRDE,actvstrat=,0.044518, actvprof=,0.045974, id=,S07, PRDE,actvstrat=,0.163061, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.201203, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.949582, best_B_strat=,0.700310, best_S_id=,S02, best_S_prof=,0.788361, best_S_strat=,-0.523208, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.737927, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.246865, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.233869, actvprof=,0.086117, id=,B06, PRDE,actvstrat=,-0.200085, actvprof=,1.116744, id=,B08, PRDE,actvstrat=,-0.104449, actvprof=,4.150566, id=,S02, PRDE,actvstrat=,0.674090, actvprof=,1.840683, id=,S04, PRDE,actvstrat=,0.096196, actvprof=,0.049448, id=,S05, PRDE,actvstrat=,0.236256, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,-0.213331, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.838409, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.150566, best_B_strat=,-0.104449, best_S_id=,S02, best_S_prof=,1.840683, best_S_strat=,0.674090, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.737927, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.246865, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.233869, actvprof=,0.072919, id=,B06, PRDE,actvstrat=,-0.200085, actvprof=,1.160040, id=,B08, PRDE,actvstrat=,-0.104449, actvprof=,4.279732, id=,S02, PRDE,actvstrat=,0.674090, actvprof=,1.817980, id=,S04, PRDE,actvstrat=,0.096196, actvprof=,0.043196, id=,S05, PRDE,actvstrat=,0.236256, actvprof=,0.003889, id=,S07, PRDE,actvstrat=,-0.213331, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.838409, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.279732, best_B_strat=,-0.104449, best_S_id=,S02, best_S_prof=,1.817980, best_S_strat=,0.674090, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.826504, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.688629, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.043669, actvprof=,0.025002, id=,B06, PRDE,actvstrat=,-0.674607, actvprof=,0.602820, id=,B08, PRDE,actvstrat=,0.472786, actvprof=,5.128967, id=,S02, PRDE,actvstrat=,0.403487, actvprof=,1.706785, id=,S04, PRDE,actvstrat=,0.050180, actvprof=,0.075561, id=,S05, PRDE,actvstrat=,-0.101739, actvprof=,0.006389, id=,S07, PRDE,actvstrat=,-0.314247, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.216929, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.128967, best_B_strat=,0.472786, best_S_id=,S02, best_S_prof=,1.706785, best_S_strat=,0.403487, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.826504, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.688629, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.043669, actvprof=,0.044307, id=,B06, PRDE,actvstrat=,-0.674607, actvprof=,0.723636, id=,B08, PRDE,actvstrat=,0.472786, actvprof=,5.282683, id=,S02, PRDE,actvstrat=,0.403487, actvprof=,1.520886, id=,S04, PRDE,actvstrat=,0.050180, actvprof=,0.068613, id=,S05, PRDE,actvstrat=,-0.101739, actvprof=,0.004583, id=,S07, PRDE,actvstrat=,-0.314247, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.216929, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.282683, best_B_strat=,0.472786, best_S_id=,S02, best_S_prof=,1.520886, best_S_strat=,0.403487, 
