t=,75600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.308371, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.288925, actvprof=,0.402795, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.638207, id=,B09, PRDE,actvstrat=,-0.991954, actvprof=,4.357682, id=,S01, PRDE,actvstrat=,0.725959, actvprof=,2.855952, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.128616, id=,S05, PRDE,actvstrat=,0.617423, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.357682, best_B_strat=,-0.991954, best_S_id=,S01, best_S_prof=,2.855952, best_S_strat=,0.725959, 
t=,79200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.308371, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.288925, actvprof=,0.453908, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.705432, id=,B09, PRDE,actvstrat=,-0.991954, actvprof=,4.421018, id=,S01, PRDE,actvstrat=,0.725959, actvprof=,2.803311, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.106532, id=,S05, PRDE,actvstrat=,0.617423, actvprof=,0.005556, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.421018, best_B_strat=,-0.991954, best_S_id=,S01, best_S_prof=,2.803311, best_S_strat=,0.725959, 
t=,82800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.071859, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.580965, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.211657, id=,B09, PRDE,actvstrat=,-0.946233, actvprof=,2.503264, id=,S01, PRDE,actvstrat=,0.358143, actvprof=,1.947940, id=,S04, PRDE,actvstrat=,0.988855, actvprof=,0.190571, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.031114, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.381259, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.211657, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,1.947940, best_S_strat=,0.358143, 
t=,86400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.071859, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.459217, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.117192, id=,B09, PRDE,actvstrat=,-0.946233, actvprof=,2.411612, id=,S01, PRDE,actvstrat=,0.358143, actvprof=,2.012987, id=,S04, PRDE,actvstrat=,0.988855, actvprof=,0.226952, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.034446, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.381259, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.117192, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.012987, best_S_strat=,0.358143, 
t=,90000, id=,B01, PRDE,actvstrat=,0.268170, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.071859, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.778120, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.144901, id=,B09, PRDE,actvstrat=,-0.946233, actvprof=,2.024335, id=,S01, PRDE,actvstrat=,0.423970, actvprof=,2.801622, id=,S04, PRDE,actvstrat=,0.988855, actvprof=,0.844237, id=,S05, PRDE,actvstrat=,-0.472760, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.867121, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.144901, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.801622, best_S_strat=,0.423970, 
t=,93600, id=,B01, PRDE,actvstrat=,0.268170, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.071859, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.766704, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.123020, id=,B09, PRDE,actvstrat=,-0.946233, actvprof=,2.001069, id=,S01, PRDE,actvstrat=,0.423970, actvprof=,2.731522, id=,S04, PRDE,actvstrat=,0.988855, actvprof=,0.851569, id=,S05, PRDE,actvstrat=,-0.472760, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.867121, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.123020, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.731522, best_S_strat=,0.423970, 
t=,97200, id=,B01, PRDE,actvstrat=,0.013815, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.071859, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.456239, actvprof=,0.123345, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.734155, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.357104, id=,S01, PRDE,actvstrat=,0.935601, actvprof=,4.924368, id=,S04, PRDE,actvstrat=,0.808141, actvprof=,0.103899, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.063895, id=,S08, PRDE,actvstrat=,0.058678, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.357104, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.924368, best_S_strat=,0.935601, 
t=,100800, id=,B01, PRDE,actvstrat=,0.013815, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.071859, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.456239, actvprof=,0.161673, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.789283, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.411003, id=,S01, PRDE,actvstrat=,0.935601, actvprof=,4.865203, id=,S04, PRDE,actvstrat=,0.808141, actvprof=,0.092087, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.054725, id=,S08, PRDE,actvstrat=,0.058678, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.411003, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.865203, best_S_strat=,0.935601, 
t=,104400, id=,B01, PRDE,actvstrat=,0.483259, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.934535, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.385788, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.970956, id=,S01, PRDE,actvstrat=,0.724493, actvprof=,4.011223, id=,S04, PRDE,actvstrat=,0.988855, actvprof=,0.568666, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.009168, id=,S08, PRDE,actvstrat=,-0.886040, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.970956, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.011223, best_S_strat=,0.724493, 
t=,108000, id=,B01, PRDE,actvstrat=,0.483259, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.906023, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.358464, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.957609, id=,S01, PRDE,actvstrat=,0.724493, actvprof=,4.004667, id=,S04, PRDE,actvstrat=,0.988855, actvprof=,0.576976, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.011390, id=,S08, PRDE,actvstrat=,-0.886040, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.957609, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.004667, best_S_strat=,0.724493, 
