t=,75600, id=,B01, PRDE,actvstrat=,0.689144, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.424411, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.590611, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.785210, actvprof=,3.272172, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.201958, id=,S00, PRDE,actvstrat=,-0.527017, actvprof=,0.917008, id=,S02, PRDE,actvstrat=,0.677742, actvprof=,1.686228, id=,S04, PRDE,actvstrat=,0.984018, actvprof=,0.183068, id=,S08, PRDE,actvstrat=,-0.197434, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.228885, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.201958, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.686228, best_S_strat=,0.677742, 
t=,79200, id=,B01, PRDE,actvstrat=,0.689144, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.424411, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.590611, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.785210, actvprof=,3.096913, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.185701, id=,S00, PRDE,actvstrat=,-0.527017, actvprof=,0.834890, id=,S02, PRDE,actvstrat=,0.677742, actvprof=,1.677975, id=,S04, PRDE,actvstrat=,0.984018, actvprof=,0.197646, id=,S08, PRDE,actvstrat=,-0.197434, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.228885, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.185701, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.677975, best_S_strat=,0.677742, 
t=,82800, id=,B01, PRDE,actvstrat=,0.996619, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.374663, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.588606, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.076171, actvprof=,3.325463, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.769821, id=,S00, PRDE,actvstrat=,0.038079, actvprof=,3.359631, id=,S02, PRDE,actvstrat=,-0.229225, actvprof=,0.454747, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.896994, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.769821, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.359631, best_S_strat=,0.038079, 
t=,86400, id=,B01, PRDE,actvstrat=,0.996619, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.374663, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.588606, actvprof=,0.002222, id=,B08, PRDE,actvstrat=,-0.076171, actvprof=,3.358589, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.644814, id=,S00, PRDE,actvstrat=,0.038079, actvprof=,3.218723, id=,S02, PRDE,actvstrat=,-0.229225, actvprof=,0.418209, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.924615, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.644814, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.218723, best_S_strat=,0.038079, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.925521, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.057305, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.588606, actvprof=,0.003056, id=,B08, PRDE,actvstrat=,-0.929297, actvprof=,1.603978, id=,B09, PRDE,actvstrat=,0.967978, actvprof=,8.211845, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.510028, id=,S02, PRDE,actvstrat=,0.649156, actvprof=,1.593977, id=,S04, PRDE,actvstrat=,-0.818872, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.446216, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.920410, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.211845, best_B_strat=,0.967978, best_S_id=,S00, best_S_prof=,5.510028, best_S_strat=,-1.000000, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.925521, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.057305, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.588606, actvprof=,0.003195, id=,B08, PRDE,actvstrat=,-0.929297, actvprof=,1.606722, id=,B09, PRDE,actvstrat=,0.967978, actvprof=,8.179312, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.495052, id=,S02, PRDE,actvstrat=,0.649156, actvprof=,1.562971, id=,S04, PRDE,actvstrat=,-0.818872, actvprof=,0.003333, id=,S08, PRDE,actvstrat=,-0.446216, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.920410, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.179312, best_B_strat=,0.967978, best_S_id=,S00, best_S_prof=,5.495052, best_S_strat=,-1.000000, 
t=,97200, id=,B01, PRDE,actvstrat=,-0.907454, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B08, PRDE,actvstrat=,-0.255891, actvprof=,3.443850, id=,B09, PRDE,actvstrat=,0.782563, actvprof=,7.495798, id=,S00, PRDE,actvstrat=,0.373603, actvprof=,3.668866, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.359400, id=,S04, PRDE,actvstrat=,-0.479739, actvprof=,0.002778, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.495798, best_B_strat=,0.782563, best_S_id=,S00, best_S_prof=,3.668866, best_S_strat=,0.373603, 
t=,100800, id=,B01, PRDE,actvstrat=,-0.907454, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B08, PRDE,actvstrat=,-0.255891, actvprof=,3.346088, id=,B09, PRDE,actvstrat=,0.782563, actvprof=,7.413313, id=,S00, PRDE,actvstrat=,0.373603, actvprof=,3.739435, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.296920, id=,S04, PRDE,actvstrat=,-0.479739, actvprof=,0.010000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.413313, best_B_strat=,0.782563, best_S_id=,S00, best_S_prof=,3.739435, best_S_strat=,0.373603, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.460628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.610365, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.352684, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.255891, actvprof=,3.003625, id=,B09, PRDE,actvstrat=,0.328987, actvprof=,6.151987, id=,S00, PRDE,actvstrat=,0.474911, actvprof=,4.196519, id=,S02, PRDE,actvstrat=,0.024866, actvprof=,1.147612, id=,S04, PRDE,actvstrat=,0.339150, actvprof=,0.062228, id=,S08, PRDE,actvstrat=,0.908339, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.151987, best_B_strat=,0.328987, best_S_id=,S00, best_S_prof=,4.196519, best_S_strat=,0.474911, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.460628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.610365, actvprof=,0.001945, id=,B03, PRDE,actvstrat=,-0.352684, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.255891, actvprof=,2.881509, id=,B09, PRDE,actvstrat=,0.328987, actvprof=,6.072475, id=,S00, PRDE,actvstrat=,0.474911, actvprof=,4.310457, id=,S02, PRDE,actvstrat=,0.024866, actvprof=,1.146992, id=,S04, PRDE,actvstrat=,0.339150, actvprof=,0.076114, id=,S08, PRDE,actvstrat=,0.908339, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.072475, best_B_strat=,0.328987, best_S_id=,S00, best_S_prof=,4.310457, best_S_strat=,0.474911, 
