t=,75600, id=,B02, PRDE,actvstrat=,0.248648, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.168668, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.146024, actvprof=,0.375875, id=,B07, PRDE,actvstrat=,0.614378, actvprof=,3.415935, id=,B08, PRDE,actvstrat=,-0.317373, actvprof=,3.144794, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.926047, id=,S04, PRDE,actvstrat=,-0.016808, actvprof=,0.049728, id=,S05, PRDE,actvstrat=,-0.742332, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.779204, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.229105, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.415935, best_B_strat=,0.614378, best_S_id=,S03, best_S_prof=,1.926047, best_S_strat=,-1.000000, 
t=,79200, id=,B02, PRDE,actvstrat=,0.248648, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.168668, actvprof=,0.002083, id=,B05, PRDE,actvstrat=,0.146024, actvprof=,0.418634, id=,B07, PRDE,actvstrat=,0.614378, actvprof=,3.380049, id=,B08, PRDE,actvstrat=,-0.317373, actvprof=,3.147536, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.921496, id=,S04, PRDE,actvstrat=,-0.016808, actvprof=,0.042086, id=,S05, PRDE,actvstrat=,-0.742332, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,0.779204, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.229105, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.380049, best_B_strat=,0.614378, best_S_id=,S03, best_S_prof=,1.921496, best_S_strat=,-1.000000, 
t=,82800, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.605786, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.954924, actvprof=,0.036671, id=,B07, PRDE,actvstrat=,-0.260683, actvprof=,3.145072, id=,B08, PRDE,actvstrat=,0.528508, actvprof=,6.722136, id=,S03, PRDE,actvstrat=,0.504043, actvprof=,0.200578, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.085009, id=,S05, PRDE,actvstrat=,-0.339548, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.131398, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.722136, best_B_strat=,0.528508, best_S_id=,S03, best_S_prof=,0.200578, best_S_strat=,0.504043, 
t=,86400, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.605786, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-0.954924, actvprof=,0.035558, id=,B07, PRDE,actvstrat=,-0.260683, actvprof=,3.172676, id=,B08, PRDE,actvstrat=,0.528508, actvprof=,6.696900, id=,S03, PRDE,actvstrat=,0.504043, actvprof=,0.187510, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.098894, id=,S05, PRDE,actvstrat=,-0.339548, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.131398, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.696900, best_B_strat=,0.528508, best_S_id=,S03, best_S_prof=,0.187510, best_S_strat=,0.504043, 
t=,90000, id=,B02, PRDE,actvstrat=,0.960696, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.605786, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.978400, actvprof=,0.025003, id=,B07, PRDE,actvstrat=,-0.260683, actvprof=,1.591288, id=,B08, PRDE,actvstrat=,0.519344, actvprof=,4.960551, id=,S03, PRDE,actvstrat=,-0.403175, actvprof=,0.082787, id=,S04, PRDE,actvstrat=,0.584490, actvprof=,0.170297, id=,S05, PRDE,actvstrat=,-0.158931, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.922490, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.946804, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.960551, best_B_strat=,0.519344, best_S_id=,S04, best_S_prof=,0.170297, best_S_strat=,0.584490, 
t=,93600, id=,B02, PRDE,actvstrat=,0.960696, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.605786, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.978400, actvprof=,0.024168, id=,B07, PRDE,actvstrat=,-0.260683, actvprof=,1.563976, id=,B08, PRDE,actvstrat=,0.519344, actvprof=,4.811517, id=,S03, PRDE,actvstrat=,-0.403175, actvprof=,0.087644, id=,S04, PRDE,actvstrat=,0.584490, actvprof=,0.188899, id=,S05, PRDE,actvstrat=,-0.158931, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.922490, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.946804, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.811517, best_B_strat=,0.519344, best_S_id=,S04, best_S_prof=,0.188899, best_S_strat=,0.584490, 
t=,97200, id=,B02, PRDE,actvstrat=,0.582317, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,0.561693, actvprof=,1.196522, id=,B07, PRDE,actvstrat=,-0.959366, actvprof=,0.484498, id=,B08, PRDE,actvstrat=,0.906071, actvprof=,6.571286, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.264029, id=,S04, PRDE,actvstrat=,-0.715451, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.041393, id=,S08, PRDE,actvstrat=,-0.171202, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.358876, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.571286, best_B_strat=,0.906071, best_S_id=,S03, best_S_prof=,1.264029, best_S_strat=,-1.000000, 
t=,100800, id=,B02, PRDE,actvstrat=,0.582317, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,0.561693, actvprof=,1.143675, id=,B07, PRDE,actvstrat=,-0.959366, actvprof=,0.512528, id=,B08, PRDE,actvstrat=,0.906071, actvprof=,6.529113, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.322018, id=,S04, PRDE,actvstrat=,-0.715451, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.047225, id=,S08, PRDE,actvstrat=,-0.171202, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.358876, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.529113, best_B_strat=,0.906071, best_S_id=,S03, best_S_prof=,1.322018, best_S_strat=,-1.000000, 
t=,104400, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.921081, actvprof=,0.019169, id=,B07, PRDE,actvstrat=,-0.959366, actvprof=,0.312535, id=,B08, PRDE,actvstrat=,0.906071, actvprof=,6.513779, id=,S03, PRDE,actvstrat=,-0.291084, actvprof=,0.015835, id=,S04, PRDE,actvstrat=,0.635372, actvprof=,0.049728, id=,S05, PRDE,actvstrat=,-0.840759, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.060706, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.358876, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.513779, best_B_strat=,0.906071, best_S_id=,S04, best_S_prof=,0.049728, best_S_strat=,0.635372, 
t=,108000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.921081, actvprof=,0.028613, id=,B07, PRDE,actvstrat=,-0.959366, actvprof=,0.314879, id=,B08, PRDE,actvstrat=,0.906071, actvprof=,6.616895, id=,S03, PRDE,actvstrat=,-0.291084, actvprof=,0.012778, id=,S04, PRDE,actvstrat=,0.635372, actvprof=,0.044864, id=,S05, PRDE,actvstrat=,-0.840759, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.060706, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.358876, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.616895, best_B_strat=,0.906071, best_S_id=,S04, best_S_prof=,0.044864, best_S_strat=,0.635372, 
