t=,75600, id=,B00, PRDE,actvstrat=,-0.162901, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.589234, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.056169, actvprof=,2.875120, id=,B08, PRDE,actvstrat=,-0.937225, actvprof=,1.819242, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.693932, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.822062, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.224218, id=,S04, PRDE,actvstrat=,0.361081, actvprof=,0.052224, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.132506, id=,S08, PRDE,actvstrat=,-0.973023, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.693932, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.822062, best_S_strat=,1.000000, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.162901, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.589234, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.056169, actvprof=,2.898831, id=,B08, PRDE,actvstrat=,-0.937225, actvprof=,1.902136, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.794939, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.722020, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.142393, id=,S04, PRDE,actvstrat=,0.361081, actvprof=,0.044446, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.124309, id=,S08, PRDE,actvstrat=,-0.973023, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.794939, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.722020, best_S_strat=,1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.582679, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.958886, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.053754, id=,S02, PRDE,actvstrat=,-0.315884, actvprof=,0.867560, id=,S03, PRDE,actvstrat=,0.110777, actvprof=,1.005903, id=,S04, PRDE,actvstrat=,0.769923, actvprof=,1.102299, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.460588, id=,S08, PRDE,actvstrat=,0.312755, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.053754, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,1.102299, best_S_strat=,0.769923, 
t=,86400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.589673, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.992778, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.023681, id=,S02, PRDE,actvstrat=,-0.315884, actvprof=,0.863919, id=,S03, PRDE,actvstrat=,0.110777, actvprof=,1.044203, id=,S04, PRDE,actvstrat=,0.769923, actvprof=,1.049342, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.454321, id=,S08, PRDE,actvstrat=,0.312755, actvprof=,0.000278, best_B_id=,B09, best_B_prof=,6.023681, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,1.049342, best_S_strat=,0.769923, 
t=,90000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.373108, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.814673, actvprof=,1.551197, id=,B08, PRDE,actvstrat=,0.340779, actvprof=,2.408189, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,4.849992, id=,S02, PRDE,actvstrat=,0.501100, actvprof=,3.598533, id=,S03, PRDE,actvstrat=,-0.225397, actvprof=,0.515306, id=,S04, PRDE,actvstrat=,-0.037724, actvprof=,0.341130, id=,S05, PRDE,actvstrat=,-0.405938, actvprof=,0.040280, id=,S08, PRDE,actvstrat=,0.558616, actvprof=,0.007500, best_B_id=,B09, best_B_prof=,4.849992, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.598533, best_S_strat=,0.501100, 
t=,93600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.373108, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.814673, actvprof=,1.605611, id=,B08, PRDE,actvstrat=,0.340779, actvprof=,2.365638, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,4.814473, id=,S02, PRDE,actvstrat=,0.501100, actvprof=,3.591236, id=,S03, PRDE,actvstrat=,-0.225397, actvprof=,0.538491, id=,S04, PRDE,actvstrat=,-0.037724, actvprof=,0.370430, id=,S05, PRDE,actvstrat=,-0.405938, actvprof=,0.038751, id=,S08, PRDE,actvstrat=,0.558616, actvprof=,0.005000, best_B_id=,B09, best_B_prof=,4.814473, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.591236, best_S_strat=,0.501100, 
t=,97200, id=,B00, PRDE,actvstrat=,0.430270, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.211959, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.857629, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.433850, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.442461, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.724564, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.356414, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.054170, id=,S08, PRDE,actvstrat=,-0.261223, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.433850, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.442461, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,0.430270, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.237230, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.775339, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.331643, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.412757, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.722282, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.336817, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.057502, id=,S08, PRDE,actvstrat=,-0.261223, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.331643, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.412757, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.399668, actvprof=,2.059865, id=,B08, PRDE,actvstrat=,-0.848011, actvprof=,2.100701, id=,B09, PRDE,actvstrat=,0.444066, actvprof=,6.799083, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.966873, id=,S03, PRDE,actvstrat=,0.910876, actvprof=,1.234808, id=,S04, PRDE,actvstrat=,0.031002, actvprof=,0.027502, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.108896, id=,S08, PRDE,actvstrat=,-0.734320, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.799083, best_B_strat=,0.444066, best_S_id=,S02, best_S_prof=,2.966873, best_S_strat=,1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.399668, actvprof=,2.055627, id=,B08, PRDE,actvstrat=,-0.848011, actvprof=,2.153130, id=,B09, PRDE,actvstrat=,0.444066, actvprof=,6.905795, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.950658, id=,S03, PRDE,actvstrat=,0.910876, actvprof=,1.212403, id=,S04, PRDE,actvstrat=,0.031002, actvprof=,0.031529, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.106809, id=,S08, PRDE,actvstrat=,-0.734320, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.905795, best_B_strat=,0.444066, best_S_id=,S02, best_S_prof=,2.950658, best_S_strat=,1.000000, 
t=,111600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.109174, id=,B08, PRDE,actvstrat=,-0.264743, actvprof=,3.553302, id=,B09, PRDE,actvstrat=,-0.315751, actvprof=,5.177304, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.131884, id=,S03, PRDE,actvstrat=,0.777243, actvprof=,1.107855, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.673936, id=,S05, PRDE,actvstrat=,-0.520396, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.171389, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.177304, best_B_strat=,-0.315751, best_S_id=,S02, best_S_prof=,3.131884, best_S_strat=,-1.000000, 
