t=,79200, id=,B00, PRDE,actvstrat=,0.891472, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.043602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.883663, actvprof=,0.000694, id=,B07, PRDE,actvstrat=,0.043546, actvprof=,1.864080, id=,B08, PRDE,actvstrat=,0.174633, actvprof=,3.621906, id=,S00, PRDE,actvstrat=,0.155365, actvprof=,4.335676, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.681074, id=,S04, PRDE,actvstrat=,-0.282555, actvprof=,0.020139, id=,S05, PRDE,actvstrat=,-0.336796, actvprof=,0.003472, id=,S08, PRDE,actvstrat=,-0.601729, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.621906, best_B_strat=,0.174633, best_S_id=,S00, best_S_prof=,4.335676, best_S_strat=,0.155365, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.481031, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.630383, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.375807, actvprof=,0.001667, id=,B07, PRDE,actvstrat=,0.696504, actvprof=,3.271247, id=,B08, PRDE,actvstrat=,0.087070, actvprof=,3.942664, id=,S00, PRDE,actvstrat=,-0.471954, actvprof=,1.856188, id=,S02, PRDE,actvstrat=,-0.503477, actvprof=,0.522244, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.861703, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.120283, id=,S08, PRDE,actvstrat=,0.508187, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.942664, best_B_strat=,0.087070, best_S_id=,S00, best_S_prof=,1.856188, best_S_strat=,-0.471954, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.481031, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.630383, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.375807, actvprof=,0.000833, id=,B07, PRDE,actvstrat=,0.696504, actvprof=,3.416599, id=,B08, PRDE,actvstrat=,0.087070, actvprof=,3.976194, id=,S00, PRDE,actvstrat=,-0.471954, actvprof=,1.748648, id=,S02, PRDE,actvstrat=,-0.503477, actvprof=,0.448759, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.773905, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.097502, id=,S08, PRDE,actvstrat=,0.508187, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.976194, best_B_strat=,0.087070, best_S_id=,S00, best_S_prof=,1.748648, best_S_strat=,-0.471954, 
t=,90000, id=,B00, PRDE,actvstrat=,0.654603, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.583675, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.356704, actvprof=,0.000556, id=,B07, PRDE,actvstrat=,0.010673, actvprof=,1.951497, id=,B08, PRDE,actvstrat=,0.087070, actvprof=,3.539086, id=,S00, PRDE,actvstrat=,0.650142, actvprof=,6.046447, id=,S02, PRDE,actvstrat=,-0.543837, actvprof=,0.405856, id=,S04, PRDE,actvstrat=,0.093381, actvprof=,0.159176, id=,S05, PRDE,actvstrat=,-0.992839, actvprof=,0.068337, id=,S08, PRDE,actvstrat=,-0.811848, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.539086, best_B_strat=,0.087070, best_S_id=,S00, best_S_prof=,6.046447, best_S_strat=,0.650142, 
t=,93600, id=,B00, PRDE,actvstrat=,0.654603, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.583675, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.356704, actvprof=,0.000278, id=,B07, PRDE,actvstrat=,0.010673, actvprof=,1.921581, id=,B08, PRDE,actvstrat=,0.087070, actvprof=,3.425928, id=,S00, PRDE,actvstrat=,0.650142, actvprof=,6.174199, id=,S02, PRDE,actvstrat=,-0.543837, actvprof=,0.455568, id=,S04, PRDE,actvstrat=,0.093381, actvprof=,0.169449, id=,S05, PRDE,actvstrat=,-0.992839, actvprof=,0.069585, id=,S08, PRDE,actvstrat=,-0.811848, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.425928, best_B_strat=,0.087070, best_S_id=,S00, best_S_prof=,6.174199, best_S_strat=,0.650142, 
t=,97200, id=,B00, PRDE,actvstrat=,0.568412, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.052524, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.378049, actvprof=,0.000278, id=,B07, PRDE,actvstrat=,-0.792127, actvprof=,1.406745, id=,B08, PRDE,actvstrat=,-0.430919, actvprof=,3.375188, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.568976, id=,S02, PRDE,actvstrat=,-0.291097, actvprof=,0.310295, id=,S04, PRDE,actvstrat=,0.600318, actvprof=,0.076393, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.021112, id=,S08, PRDE,actvstrat=,0.790747, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.375188, best_B_strat=,-0.430919, best_S_id=,S00, best_S_prof=,6.568976, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,0.568412, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.052524, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,0.378049, actvprof=,0.000417, id=,B07, PRDE,actvstrat=,-0.792127, actvprof=,1.362955, id=,B08, PRDE,actvstrat=,-0.430919, actvprof=,3.350510, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.587266, id=,S02, PRDE,actvstrat=,-0.291097, actvprof=,0.296258, id=,S04, PRDE,actvstrat=,0.600318, actvprof=,0.060696, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.022084, id=,S08, PRDE,actvstrat=,0.790747, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.350510, best_B_strat=,-0.430919, best_S_id=,S00, best_S_prof=,6.587266, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.246792, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.870601, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.915827, actvprof=,0.000556, id=,B07, PRDE,actvstrat=,-0.888712, actvprof=,0.863104, id=,B08, PRDE,actvstrat=,-0.956893, actvprof=,0.932830, id=,S00, PRDE,actvstrat=,0.795846, actvprof=,5.531418, id=,S02, PRDE,actvstrat=,-0.180198, actvprof=,0.268348, id=,S04, PRDE,actvstrat=,0.570641, actvprof=,0.025001, id=,S05, PRDE,actvstrat=,0.159737, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.790747, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,0.932830, best_B_strat=,-0.956893, best_S_id=,S00, best_S_prof=,5.531418, best_S_strat=,0.795846, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.246792, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.870601, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.915827, actvprof=,0.000278, id=,B07, PRDE,actvstrat=,-0.888712, actvprof=,0.870163, id=,B08, PRDE,actvstrat=,-0.956893, actvprof=,1.037945, id=,S00, PRDE,actvstrat=,0.795846, actvprof=,5.544321, id=,S02, PRDE,actvstrat=,-0.180198, actvprof=,0.264452, id=,S04, PRDE,actvstrat=,0.570641, actvprof=,0.026112, id=,S05, PRDE,actvstrat=,0.159737, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.790747, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.037945, best_B_strat=,-0.956893, best_S_id=,S00, best_S_prof=,5.544321, best_S_strat=,0.795846, 
t=,111600, id=,B00, PRDE,actvstrat=,0.954928, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.739496, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.589622, actvprof=,0.004167, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.619368, id=,B08, PRDE,actvstrat=,-0.284238, actvprof=,2.811545, id=,S00, PRDE,actvstrat=,0.884382, actvprof=,6.888160, id=,S02, PRDE,actvstrat=,0.159452, actvprof=,1.405356, id=,S04, PRDE,actvstrat=,-0.575110, actvprof=,0.022223, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.126674, id=,S08, PRDE,actvstrat=,0.426564, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.619368, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.888160, best_S_strat=,0.884382, 
