t=,75600, id=,B00, PRDE,actvstrat=,0.701342, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.395530, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.805234, actvprof=,0.746719, id=,B06, PRDE,actvstrat=,-0.235440, actvprof=,0.603653, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.030835, id=,S01, PRDE,actvstrat=,-0.006990, actvprof=,2.092090, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.322453, id=,S03, PRDE,actvstrat=,-0.328827, actvprof=,0.082228, id=,S08, PRDE,actvstrat=,-0.259040, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.011392, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.030835, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.322453, best_S_strat=,-1.000000, 
t=,79200, id=,B00, PRDE,actvstrat=,0.701342, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.395530, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.805234, actvprof=,0.745998, id=,B06, PRDE,actvstrat=,-0.235440, actvprof=,0.661551, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.063752, id=,S01, PRDE,actvstrat=,-0.006990, actvprof=,2.123824, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.358867, id=,S03, PRDE,actvstrat=,-0.328827, actvprof=,0.089309, id=,S08, PRDE,actvstrat=,-0.259040, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.011392, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.063752, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.358867, best_S_strat=,-1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.445741, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.532884, id=,B06, PRDE,actvstrat=,-0.787206, actvprof=,0.746163, id=,B07, PRDE,actvstrat=,-0.741544, actvprof=,2.082089, id=,S01, PRDE,actvstrat=,-0.836502, actvprof=,0.202792, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.794639, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.191472, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.082089, best_B_strat=,-0.741544, best_S_id=,S02, best_S_prof=,2.794639, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.445741, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.521997, id=,B06, PRDE,actvstrat=,-0.787206, actvprof=,0.796555, id=,B07, PRDE,actvstrat=,-0.741544, actvprof=,2.019098, id=,S01, PRDE,actvstrat=,-0.836502, actvprof=,0.196812, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.767318, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.211014, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.019098, best_B_strat=,-0.741544, best_S_id=,S02, best_S_prof=,2.767318, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,0.349857, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.146513, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.246958, id=,B06, PRDE,actvstrat=,0.306363, actvprof=,0.705317, id=,B07, PRDE,actvstrat=,0.944314, actvprof=,3.201289, id=,S01, PRDE,actvstrat=,0.192709, actvprof=,3.417412, id=,S02, PRDE,actvstrat=,0.499769, actvprof=,2.862659, id=,S03, PRDE,actvstrat=,-0.337486, actvprof=,0.241958, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.201289, best_B_strat=,0.944314, best_S_id=,S01, best_S_prof=,3.417412, best_S_strat=,0.192709, 
t=,93600, id=,B00, PRDE,actvstrat=,0.349857, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.146513, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.258898, id=,B06, PRDE,actvstrat=,0.306363, actvprof=,0.760721, id=,B07, PRDE,actvstrat=,0.944314, actvprof=,3.221084, id=,S01, PRDE,actvstrat=,0.192709, actvprof=,3.376923, id=,S02, PRDE,actvstrat=,0.499769, actvprof=,2.819403, id=,S03, PRDE,actvstrat=,-0.337486, actvprof=,0.222369, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.221084, best_B_strat=,0.944314, best_S_id=,S01, best_S_prof=,3.376923, best_S_strat=,0.192709, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.791796, actvprof=,0.118062, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.523140, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.982666, id=,S01, PRDE,actvstrat=,-0.500685, actvprof=,1.376743, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.027446, id=,S03, PRDE,actvstrat=,-0.614731, actvprof=,0.255014, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.982666, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,4.027446, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.791796, actvprof=,0.120699, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.558943, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.046911, id=,S01, PRDE,actvstrat=,-0.500685, actvprof=,1.373381, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.123338, id=,S03, PRDE,actvstrat=,-0.614731, actvprof=,0.226258, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.046911, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,4.123338, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.664510, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.700882, id=,B06, PRDE,actvstrat=,-0.787206, actvprof=,0.317800, id=,B07, PRDE,actvstrat=,-0.097724, actvprof=,2.125148, id=,S01, PRDE,actvstrat=,-0.006990, actvprof=,1.855684, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.357733, id=,S03, PRDE,actvstrat=,-0.497406, actvprof=,0.101118, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.125148, best_B_strat=,-0.097724, best_S_id=,S02, best_S_prof=,3.357733, best_S_strat=,1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.664510, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.630994, id=,B06, PRDE,actvstrat=,-0.787206, actvprof=,0.310150, id=,B07, PRDE,actvstrat=,-0.097724, actvprof=,2.082433, id=,S01, PRDE,actvstrat=,-0.006990, actvprof=,1.905900, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.522345, id=,S03, PRDE,actvstrat=,-0.497406, actvprof=,0.102642, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.082433, best_B_strat=,-0.097724, best_S_id=,S02, best_S_prof=,3.522345, best_S_strat=,1.000000, 
