t=,79200, id=,B01, PRDE,actvstrat=,0.227829, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.008135, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.407752, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.502088, actvprof=,0.175838, id=,B07, PRDE,actvstrat=,0.639291, actvprof=,5.719187, id=,S00, PRDE,actvstrat=,-0.088834, actvprof=,0.947804, id=,S04, PRDE,actvstrat=,0.827975, actvprof=,0.010695, id=,S07, PRDE,actvstrat=,0.596166, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.473417, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.522476, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.719187, best_B_strat=,0.639291, best_S_id=,S00, best_S_prof=,0.947804, best_S_strat=,-0.088834, 
t=,82800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.064170, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.677204, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.538974, id=,S04, PRDE,actvstrat=,-0.166011, actvprof=,0.005278, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.677204, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.538974, best_S_strat=,1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.065835, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.666519, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.533237, id=,S04, PRDE,actvstrat=,-0.166011, actvprof=,0.003472, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.666519, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.533237, best_S_strat=,1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,0.187224, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.524162, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.932155, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.345123, actvprof=,0.012501, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.339130, id=,S00, PRDE,actvstrat=,-0.892937, actvprof=,0.100283, id=,S04, PRDE,actvstrat=,-0.982200, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.486201, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.883466, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.589800, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.339130, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.100283, best_S_strat=,-0.892937, 
t=,93600, id=,B01, PRDE,actvstrat=,0.187224, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.524162, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.932155, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.345123, actvprof=,0.009861, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.306092, id=,S00, PRDE,actvstrat=,-0.892937, actvprof=,0.120003, id=,S04, PRDE,actvstrat=,-0.982200, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.486201, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.883466, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.589800, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.306092, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.120003, best_S_strat=,-0.892937, 
t=,97200, id=,B01, PRDE,actvstrat=,0.170379, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.452937, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.676077, actvprof=,0.046114, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.640924, id=,B07, PRDE,actvstrat=,-0.978541, actvprof=,1.268959, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,4.429135, id=,S04, PRDE,actvstrat=,0.431556, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,0.884524, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.167771, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,1.640924, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.429135, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,0.170379, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.452937, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,-0.676077, actvprof=,0.040279, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.529487, id=,B07, PRDE,actvstrat=,-0.978541, actvprof=,1.244062, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,4.554154, id=,S04, PRDE,actvstrat=,0.431556, actvprof=,0.000417, id=,S07, PRDE,actvstrat=,0.884524, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.167771, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,1.529487, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.554154, best_S_strat=,1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,0.468141, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.086778, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,-0.676077, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.954405, actvprof=,0.135285, id=,B07, PRDE,actvstrat=,0.966157, actvprof=,4.779432, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.392577, id=,S04, PRDE,actvstrat=,0.311083, actvprof=,0.016112, id=,S07, PRDE,actvstrat=,-0.077563, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.607163, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.779432, best_B_strat=,0.966157, best_S_id=,S00, best_S_prof=,6.392577, best_S_strat=,1.000000, 
t=,108000, id=,B01, PRDE,actvstrat=,0.468141, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.086778, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.676077, actvprof=,0.006945, id=,B04, PRDE,actvstrat=,0.954405, actvprof=,0.126115, id=,B07, PRDE,actvstrat=,0.966157, actvprof=,4.762493, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.373788, id=,S04, PRDE,actvstrat=,0.311083, actvprof=,0.011945, id=,S07, PRDE,actvstrat=,-0.077563, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.607163, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.762493, best_B_strat=,0.966157, best_S_id=,S00, best_S_prof=,6.373788, best_S_strat=,1.000000, 
t=,111600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.093061, id=,B07, PRDE,actvstrat=,0.594214, actvprof=,4.469971, id=,S00, PRDE,actvstrat=,-0.978385, actvprof=,0.092505, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.052225, id=,S07, PRDE,actvstrat=,0.421994, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.372158, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.605971, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.469971, best_B_strat=,0.594214, best_S_id=,S00, best_S_prof=,0.092505, best_S_strat=,-0.978385, 
