t=,75600, id=,B00, PRDE,actvstrat=,-0.776385, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.849489, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.622843, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.447730, actvprof=,0.665092, id=,B06, PRDE,actvstrat=,-0.337465, actvprof=,0.950965, id=,S00, PRDE,actvstrat=,-0.589245, actvprof=,1.544103, id=,S02, PRDE,actvstrat=,0.848859, actvprof=,2.923462, id=,S03, PRDE,actvstrat=,0.924250, actvprof=,1.528268, id=,S05, PRDE,actvstrat=,0.134631, actvprof=,0.003612, id=,S07, PRDE,actvstrat=,0.922529, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.950965, best_B_strat=,-0.337465, best_S_id=,S02, best_S_prof=,2.923462, best_S_strat=,0.848859, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.776385, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.849489, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.622843, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.447730, actvprof=,0.720189, id=,B06, PRDE,actvstrat=,-0.337465, actvprof=,0.952983, id=,S00, PRDE,actvstrat=,-0.589245, actvprof=,1.666088, id=,S02, PRDE,actvstrat=,0.848859, actvprof=,2.912980, id=,S03, PRDE,actvstrat=,0.924250, actvprof=,1.493437, id=,S05, PRDE,actvstrat=,0.134631, actvprof=,0.004723, id=,S07, PRDE,actvstrat=,0.922529, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.952983, best_B_strat=,-0.337465, best_S_id=,S02, best_S_prof=,2.912980, best_S_strat=,0.848859, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.177226, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.297986, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.016669, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.565078, id=,S00, PRDE,actvstrat=,0.167874, actvprof=,6.339492, id=,S02, PRDE,actvstrat=,-0.514194, actvprof=,1.634671, id=,S03, PRDE,actvstrat=,-0.646957, actvprof=,0.568968, id=,S05, PRDE,actvstrat=,-0.193469, actvprof=,0.033894, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.565078, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.339492, best_S_strat=,0.167874, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.177226, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.297986, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.014445, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.560594, id=,S00, PRDE,actvstrat=,0.167874, actvprof=,6.343357, id=,S02, PRDE,actvstrat=,-0.514194, actvprof=,1.624557, id=,S03, PRDE,actvstrat=,-0.646957, actvprof=,0.596569, id=,S05, PRDE,actvstrat=,-0.193469, actvprof=,0.037919, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.560594, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.343357, best_S_strat=,0.167874, 
t=,90000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.389125, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.697836, actvprof=,0.157244, id=,B06, PRDE,actvstrat=,0.145038, actvprof=,1.371857, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.270732, id=,S02, PRDE,actvstrat=,0.328127, actvprof=,1.815808, id=,S03, PRDE,actvstrat=,-0.875484, actvprof=,0.024448, id=,S05, PRDE,actvstrat=,-0.623467, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.371857, best_B_strat=,0.145038, best_S_id=,S00, best_S_prof=,5.270732, best_S_strat=,-1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.389125, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.697836, actvprof=,0.132647, id=,B06, PRDE,actvstrat=,0.145038, actvprof=,1.413005, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.265051, id=,S02, PRDE,actvstrat=,0.328127, actvprof=,1.860116, id=,S03, PRDE,actvstrat=,-0.875484, actvprof=,0.020140, id=,S05, PRDE,actvstrat=,-0.623467, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.413005, best_B_strat=,0.145038, best_S_id=,S00, best_S_prof=,5.265051, best_S_strat=,-1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.004445, id=,B05, PRDE,actvstrat=,-0.028634, actvprof=,0.797344, id=,B06, PRDE,actvstrat=,-0.343558, actvprof=,1.383823, id=,S00, PRDE,actvstrat=,0.250925, actvprof=,3.483310, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.974468, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.971259, id=,S05, PRDE,actvstrat=,0.275153, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.383823, best_B_strat=,-0.343558, best_S_id=,S00, best_S_prof=,3.483310, best_S_strat=,0.250925, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,-0.028634, actvprof=,0.785754, id=,B06, PRDE,actvstrat=,-0.343558, actvprof=,1.357882, id=,S00, PRDE,actvstrat=,0.250925, actvprof=,3.439707, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.972512, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.013272, id=,S05, PRDE,actvstrat=,0.275153, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.357882, best_B_strat=,-0.343558, best_S_id=,S00, best_S_prof=,3.439707, best_S_strat=,0.250925, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.532059, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.356373, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.410978, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,0.987206, actvprof=,0.255584, id=,B06, PRDE,actvstrat=,0.148274, actvprof=,0.651739, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.920602, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.557340, id=,S03, PRDE,actvstrat=,-0.846182, actvprof=,0.103345, id=,S05, PRDE,actvstrat=,-0.288862, actvprof=,0.010001, id=,S07, PRDE,actvstrat=,-0.205268, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.651739, best_B_strat=,0.148274, best_S_id=,S00, best_S_prof=,7.920602, best_S_strat=,1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.532059, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.356373, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.410978, actvprof=,0.003611, id=,B05, PRDE,actvstrat=,0.987206, actvprof=,0.257103, id=,B06, PRDE,actvstrat=,0.148274, actvprof=,0.639771, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.836849, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.618749, id=,S03, PRDE,actvstrat=,-0.846182, actvprof=,0.099869, id=,S05, PRDE,actvstrat=,-0.288862, actvprof=,0.011112, id=,S07, PRDE,actvstrat=,-0.205268, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.639771, best_B_strat=,0.148274, best_S_id=,S00, best_S_prof=,7.836849, best_S_strat=,1.000000, 
