t=,75600, id=,B01, PRDE,actvstrat=,-0.671253, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.217545, actvprof=,0.248347, id=,B06, PRDE,actvstrat=,0.627454, actvprof=,2.585699, id=,B07, PRDE,actvstrat=,0.246508, actvprof=,3.625757, id=,B09, PRDE,actvstrat=,-0.069202, actvprof=,6.355909, id=,S00, PRDE,actvstrat=,-0.449786, actvprof=,0.987277, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.203622, id=,S06, PRDE,actvstrat=,0.025720, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.222325, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.246497, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.355909, best_B_strat=,-0.069202, best_S_id=,S00, best_S_prof=,0.987277, best_S_strat=,-0.449786, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.671253, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.217545, actvprof=,0.265285, id=,B06, PRDE,actvstrat=,0.627454, actvprof=,2.646462, id=,B07, PRDE,actvstrat=,0.246508, actvprof=,3.627740, id=,B09, PRDE,actvstrat=,-0.069202, actvprof=,6.364482, id=,S00, PRDE,actvstrat=,-0.449786, actvprof=,1.035445, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.194867, id=,S06, PRDE,actvstrat=,0.025720, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.222325, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.246497, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.364482, best_B_strat=,-0.069202, best_S_id=,S00, best_S_prof=,1.035445, best_S_strat=,-0.449786, 
t=,82800, id=,B01, PRDE,actvstrat=,0.069153, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.083237, actvprof=,0.213067, id=,B06, PRDE,actvstrat=,0.107068, actvprof=,1.067282, id=,B07, PRDE,actvstrat=,0.830675, actvprof=,3.709651, id=,B09, PRDE,actvstrat=,-0.004314, actvprof=,5.489749, id=,S00, PRDE,actvstrat=,-0.683322, actvprof=,1.333685, id=,S04, PRDE,actvstrat=,0.239217, actvprof=,0.123340, id=,S06, PRDE,actvstrat=,-0.311525, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.198102, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.489749, best_B_strat=,-0.004314, best_S_id=,S00, best_S_prof=,1.333685, best_S_strat=,-0.683322, 
t=,86400, id=,B01, PRDE,actvstrat=,0.069153, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.083237, actvprof=,0.198060, id=,B06, PRDE,actvstrat=,0.107068, actvprof=,1.068356, id=,B07, PRDE,actvstrat=,0.830675, actvprof=,3.663271, id=,B09, PRDE,actvstrat=,-0.004314, actvprof=,5.422891, id=,S00, PRDE,actvstrat=,-0.683322, actvprof=,1.274749, id=,S04, PRDE,actvstrat=,0.239217, actvprof=,0.107502, id=,S06, PRDE,actvstrat=,-0.311525, actvprof=,0.001944, id=,S08, PRDE,actvstrat=,0.198102, actvprof=,0.000139, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.422891, best_B_strat=,-0.004314, best_S_id=,S00, best_S_prof=,1.274749, best_S_strat=,-0.683322, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.324241, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.083237, actvprof=,0.698660, id=,B06, PRDE,actvstrat=,0.722553, actvprof=,2.822974, id=,B07, PRDE,actvstrat=,-0.079829, actvprof=,2.958539, id=,B09, PRDE,actvstrat=,0.233363, actvprof=,6.889923, id=,S00, PRDE,actvstrat=,0.815249, actvprof=,5.426766, id=,S04, PRDE,actvstrat=,0.952494, actvprof=,0.242517, id=,S06, PRDE,actvstrat=,0.370654, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,-0.053847, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.889923, best_B_strat=,0.233363, best_S_id=,S00, best_S_prof=,5.426766, best_S_strat=,0.815249, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.324241, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.083237, actvprof=,0.664593, id=,B06, PRDE,actvstrat=,0.722553, actvprof=,2.799900, id=,B07, PRDE,actvstrat=,-0.079829, actvprof=,2.949347, id=,B09, PRDE,actvstrat=,0.233363, actvprof=,6.868845, id=,S00, PRDE,actvstrat=,0.815249, actvprof=,5.374102, id=,S04, PRDE,actvstrat=,0.952494, actvprof=,0.255281, id=,S06, PRDE,actvstrat=,0.370654, actvprof=,0.002083, id=,S08, PRDE,actvstrat=,-0.053847, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.868845, best_B_strat=,0.233363, best_S_id=,S00, best_S_prof=,5.374102, best_S_strat=,0.815249, 
t=,97200, id=,B01, PRDE,actvstrat=,-0.819237, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.465820, actvprof=,0.158067, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.430724, id=,B07, PRDE,actvstrat=,0.644608, actvprof=,3.712202, id=,B09, PRDE,actvstrat=,0.030705, actvprof=,5.885687, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.224877, id=,S04, PRDE,actvstrat=,0.675204, actvprof=,0.174179, id=,S06, PRDE,actvstrat=,-0.218528, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,0.913669, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.885687, best_B_strat=,0.030705, best_S_id=,S00, best_S_prof=,6.224877, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,-0.819237, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.465820, actvprof=,0.140005, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.382305, id=,B07, PRDE,actvstrat=,0.644608, actvprof=,3.674850, id=,B09, PRDE,actvstrat=,0.030705, actvprof=,5.898677, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.250634, id=,S04, PRDE,actvstrat=,0.675204, actvprof=,0.194868, id=,S06, PRDE,actvstrat=,-0.218528, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.913669, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.898677, best_B_strat=,0.030705, best_S_id=,S00, best_S_prof=,6.250634, best_S_strat=,1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.819237, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.083237, actvprof=,0.228349, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.256268, id=,B07, PRDE,actvstrat=,-0.170134, actvprof=,1.820126, id=,B09, PRDE,actvstrat=,-0.169862, actvprof=,4.909785, id=,S00, PRDE,actvstrat=,-0.601488, actvprof=,1.410931, id=,S04, PRDE,actvstrat=,0.239217, actvprof=,0.083617, id=,S06, PRDE,actvstrat=,-0.190047, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.518496, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.985769, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.909785, best_B_strat=,-0.169862, best_S_id=,S00, best_S_prof=,1.410931, best_S_strat=,-0.601488, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.819237, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.083237, actvprof=,0.207227, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.228935, id=,B07, PRDE,actvstrat=,-0.170134, actvprof=,1.817260, id=,B09, PRDE,actvstrat=,-0.169862, actvprof=,4.969826, id=,S00, PRDE,actvstrat=,-0.601488, actvprof=,1.321000, id=,S04, PRDE,actvstrat=,0.239217, actvprof=,0.097502, id=,S06, PRDE,actvstrat=,-0.190047, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.518496, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,-0.985769, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.969826, best_B_strat=,-0.169862, best_S_id=,S00, best_S_prof=,1.321000, best_S_strat=,-0.601488, 
