t=,75600, id=,B02, PRDE,actvstrat=,0.302440, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.986428, actvprof=,0.191407, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.871390, id=,B08, PRDE,actvstrat=,-0.811881, actvprof=,1.217341, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.160877, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.594252, id=,S03, PRDE,actvstrat=,0.165047, actvprof=,0.600058, id=,S04, PRDE,actvstrat=,-0.513734, actvprof=,0.027503, id=,S05, PRDE,actvstrat=,-0.205520, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,0.614547, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.160877, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.594252, best_S_strat=,-1.000000, 
t=,79200, id=,B02, PRDE,actvstrat=,0.302440, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.986428, actvprof=,0.185287, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.885001, id=,B08, PRDE,actvstrat=,-0.811881, actvprof=,1.133805, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.202246, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.695187, id=,S03, PRDE,actvstrat=,0.165047, actvprof=,0.608918, id=,S04, PRDE,actvstrat=,-0.513734, actvprof=,0.021529, id=,S05, PRDE,actvstrat=,-0.205520, actvprof=,0.006250, id=,S09, PRDE,actvstrat=,0.614547, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.202246, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.695187, best_S_strat=,-1.000000, 
t=,82800, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.827002, id=,B07, PRDE,actvstrat=,-0.941257, actvprof=,0.435586, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.090353, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.410723, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.320647, id=,S03, PRDE,actvstrat=,0.747755, actvprof=,1.170915, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.745330, id=,S05, PRDE,actvstrat=,0.242195, actvprof=,0.001667, id=,S09, PRDE,actvstrat=,0.814790, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.410723, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.320647, best_S_strat=,-1.000000, 
t=,86400, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.787816, id=,B07, PRDE,actvstrat=,-0.941257, actvprof=,0.445438, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.031772, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.442952, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.312758, id=,S03, PRDE,actvstrat=,0.747755, actvprof=,1.130194, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.750731, id=,S05, PRDE,actvstrat=,0.242195, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,0.814790, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.442952, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.312758, best_S_strat=,-1.000000, 
t=,90000, id=,B02, PRDE,actvstrat=,0.012750, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.128624, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.119373, id=,B08, PRDE,actvstrat=,0.646531, actvprof=,3.278652, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.939925, id=,S00, PRDE,actvstrat=,0.229158, actvprof=,4.118456, id=,S03, PRDE,actvstrat=,0.814684, actvprof=,2.490520, id=,S04, PRDE,actvstrat=,0.824194, actvprof=,1.124832, id=,S05, PRDE,actvstrat=,0.374055, actvprof=,0.086953, id=,S09, PRDE,actvstrat=,0.814790, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.939925, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.118456, best_S_strat=,0.229158, 
t=,93600, id=,B02, PRDE,actvstrat=,0.012750, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.137784, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.088157, id=,B08, PRDE,actvstrat=,0.646531, actvprof=,3.310300, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.943851, id=,S00, PRDE,actvstrat=,0.229158, actvprof=,4.140896, id=,S03, PRDE,actvstrat=,0.814684, actvprof=,2.560402, id=,S04, PRDE,actvstrat=,0.824194, actvprof=,1.171446, id=,S05, PRDE,actvstrat=,0.374055, actvprof=,0.084726, id=,S09, PRDE,actvstrat=,0.814790, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.943851, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.140896, best_S_strat=,0.229158, 
t=,97200, id=,B02, PRDE,actvstrat=,-0.896654, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.910186, id=,B07, PRDE,actvstrat=,-0.941257, actvprof=,1.143445, id=,B08, PRDE,actvstrat=,0.947522, actvprof=,6.449238, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.073841, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.611657, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.912589, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.272804, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.126123, id=,S09, PRDE,actvstrat=,0.814790, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.073841, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.611657, best_S_strat=,1.000000, 
t=,100800, id=,B02, PRDE,actvstrat=,-0.896654, actvprof=,0.005139, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.861050, id=,B07, PRDE,actvstrat=,-0.941257, actvprof=,1.122408, id=,B08, PRDE,actvstrat=,0.947522, actvprof=,6.461936, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.054224, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.660375, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.916983, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.275289, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.128894, id=,S09, PRDE,actvstrat=,0.814790, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.054224, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.660375, best_S_strat=,1.000000, 
t=,104400, id=,B02, PRDE,actvstrat=,-0.896654, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.250382, id=,B07, PRDE,actvstrat=,-0.941257, actvprof=,0.464205, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.500458, id=,B09, PRDE,actvstrat=,-0.064187, actvprof=,5.892435, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.337945, id=,S03, PRDE,actvstrat=,0.814684, actvprof=,1.000639, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.364475, id=,S05, PRDE,actvstrat=,0.538110, actvprof=,0.013334, id=,S09, PRDE,actvstrat=,0.814790, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.892435, best_B_strat=,-0.064187, best_S_id=,S00, best_S_prof=,5.337945, best_S_strat=,-1.000000, 
t=,108000, id=,B02, PRDE,actvstrat=,-0.896654, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.268543, id=,B07, PRDE,actvstrat=,-0.941257, actvprof=,0.417107, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.576560, id=,B09, PRDE,actvstrat=,-0.064187, actvprof=,5.888244, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.384049, id=,S03, PRDE,actvstrat=,0.814684, actvprof=,1.003667, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.350158, id=,S05, PRDE,actvstrat=,0.538110, actvprof=,0.007917, id=,S09, PRDE,actvstrat=,0.814790, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.888244, best_B_strat=,-0.064187, best_S_id=,S00, best_S_prof=,5.384049, best_S_strat=,-1.000000, 
