t=,75600, id=,B03, PRDE,actvstrat=,0.706740, actvprof=,0.031946, id=,B04, PRDE,actvstrat=,0.110962, actvprof=,0.145564, id=,B05, PRDE,actvstrat=,0.522654, actvprof=,1.248958, id=,B06, PRDE,actvstrat=,-0.314657, actvprof=,1.513417, id=,B09, PRDE,actvstrat=,0.585765, actvprof=,7.714873, id=,S00, PRDE,actvstrat=,-0.067003, actvprof=,2.894605, id=,S03, PRDE,actvstrat=,0.886829, actvprof=,0.929218, id=,S04, PRDE,actvstrat=,0.993805, actvprof=,0.195289, id=,S05, PRDE,actvstrat=,0.409233, actvprof=,0.006667, id=,S09, PRDE,actvstrat=,0.511049, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.714873, best_B_strat=,0.585765, best_S_id=,S00, best_S_prof=,2.894605, best_S_strat=,-0.067003, 
t=,79200, id=,B03, PRDE,actvstrat=,0.706740, actvprof=,0.025695, id=,B04, PRDE,actvstrat=,0.110962, actvprof=,0.158753, id=,B05, PRDE,actvstrat=,0.522654, actvprof=,1.258221, id=,B06, PRDE,actvstrat=,-0.314657, actvprof=,1.451141, id=,B09, PRDE,actvstrat=,0.585765, actvprof=,7.784607, id=,S00, PRDE,actvstrat=,-0.067003, actvprof=,2.744918, id=,S03, PRDE,actvstrat=,0.886829, actvprof=,0.958631, id=,S04, PRDE,actvstrat=,0.993805, actvprof=,0.196810, id=,S05, PRDE,actvstrat=,0.409233, actvprof=,0.014445, id=,S09, PRDE,actvstrat=,0.511049, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.784607, best_B_strat=,0.585765, best_S_id=,S00, best_S_prof=,2.744918, best_S_strat=,-0.067003, 
t=,82800, id=,B03, PRDE,actvstrat=,0.706740, actvprof=,0.009723, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.010834, id=,B05, PRDE,actvstrat=,0.515748, actvprof=,0.210848, id=,B06, PRDE,actvstrat=,0.396639, actvprof=,0.797000, id=,B09, PRDE,actvstrat=,0.552515, actvprof=,5.564553, id=,S00, PRDE,actvstrat=,-0.169190, actvprof=,4.224738, id=,S03, PRDE,actvstrat=,-0.753085, actvprof=,0.379471, id=,S04, PRDE,actvstrat=,0.443727, actvprof=,0.585041, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.021668, id=,S09, PRDE,actvstrat=,-0.312129, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.564553, best_B_strat=,0.552515, best_S_id=,S00, best_S_prof=,4.224738, best_S_strat=,-0.169190, 
t=,86400, id=,B03, PRDE,actvstrat=,0.706740, actvprof=,0.007917, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.014167, id=,B05, PRDE,actvstrat=,0.515748, actvprof=,0.169587, id=,B06, PRDE,actvstrat=,0.396639, actvprof=,0.766960, id=,B09, PRDE,actvstrat=,0.552515, actvprof=,5.493170, id=,S00, PRDE,actvstrat=,-0.169190, actvprof=,4.101335, id=,S03, PRDE,actvstrat=,-0.753085, actvprof=,0.391675, id=,S04, PRDE,actvstrat=,0.443727, actvprof=,0.604179, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.016389, id=,S09, PRDE,actvstrat=,-0.312129, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.493170, best_B_strat=,0.552515, best_S_id=,S00, best_S_prof=,4.101335, best_S_strat=,-0.169190, 
t=,90000, id=,B03, PRDE,actvstrat=,0.824624, actvprof=,0.008890, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.028058, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.068894, id=,B06, PRDE,actvstrat=,-0.314657, actvprof=,0.516703, id=,B09, PRDE,actvstrat=,0.585765, actvprof=,6.381554, id=,S00, PRDE,actvstrat=,-0.280851, actvprof=,3.150219, id=,S03, PRDE,actvstrat=,-0.375768, actvprof=,0.230294, id=,S04, PRDE,actvstrat=,0.443727, actvprof=,0.270574, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.008056, id=,S09, PRDE,actvstrat=,0.511049, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.381554, best_B_strat=,0.585765, best_S_id=,S00, best_S_prof=,3.150219, best_S_strat=,-0.280851, 
t=,93600, id=,B03, PRDE,actvstrat=,0.824624, actvprof=,0.009167, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.025140, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.074308, id=,B06, PRDE,actvstrat=,-0.314657, actvprof=,0.515435, id=,B09, PRDE,actvstrat=,0.585765, actvprof=,6.347304, id=,S00, PRDE,actvstrat=,-0.280851, actvprof=,3.201222, id=,S03, PRDE,actvstrat=,-0.375768, actvprof=,0.233619, id=,S04, PRDE,actvstrat=,0.443727, actvprof=,0.264731, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.010556, id=,S09, PRDE,actvstrat=,0.511049, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.347304, best_B_strat=,0.585765, best_S_id=,S00, best_S_prof=,3.201222, best_S_strat=,-0.280851, 
t=,97200, id=,B03, PRDE,actvstrat=,0.706740, actvprof=,0.016668, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.086117, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.281964, id=,B06, PRDE,actvstrat=,0.272498, actvprof=,1.797069, id=,B09, PRDE,actvstrat=,0.552515, actvprof=,6.680464, id=,S00, PRDE,actvstrat=,-0.169190, actvprof=,2.609903, id=,S03, PRDE,actvstrat=,0.886829, actvprof=,1.458712, id=,S04, PRDE,actvstrat=,0.616051, actvprof=,0.295020, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,0.557412, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.680464, best_B_strat=,0.552515, best_S_id=,S00, best_S_prof=,2.609903, best_S_strat=,-0.169190, 
t=,100800, id=,B03, PRDE,actvstrat=,0.706740, actvprof=,0.017500, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.098614, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.291119, id=,B06, PRDE,actvstrat=,0.272498, actvprof=,1.847968, id=,B09, PRDE,actvstrat=,0.552515, actvprof=,6.729215, id=,S00, PRDE,actvstrat=,-0.169190, actvprof=,2.778827, id=,S03, PRDE,actvstrat=,0.886829, actvprof=,1.448790, id=,S04, PRDE,actvstrat=,0.616051, actvprof=,0.295842, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.010417, id=,S09, PRDE,actvstrat=,0.557412, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.729215, best_B_strat=,0.552515, best_S_id=,S00, best_S_prof=,2.778827, best_S_strat=,-0.169190, 
t=,104400, id=,B03, PRDE,actvstrat=,0.706740, actvprof=,0.013612, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.028891, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.158344, id=,B06, PRDE,actvstrat=,-0.303662, actvprof=,0.663935, id=,B09, PRDE,actvstrat=,0.552515, actvprof=,6.506285, id=,S00, PRDE,actvstrat=,-0.169190, actvprof=,2.949094, id=,S03, PRDE,actvstrat=,0.465089, actvprof=,0.920342, id=,S04, PRDE,actvstrat=,-0.813708, actvprof=,0.053893, id=,S05, PRDE,actvstrat=,0.431436, actvprof=,0.031113, id=,S09, PRDE,actvstrat=,-0.223048, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.506285, best_B_strat=,0.552515, best_S_id=,S00, best_S_prof=,2.949094, best_S_strat=,-0.169190, 
t=,108000, id=,B03, PRDE,actvstrat=,0.706740, actvprof=,0.013334, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.037779, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.150283, id=,B06, PRDE,actvstrat=,-0.303662, actvprof=,0.638494, id=,B09, PRDE,actvstrat=,0.552515, actvprof=,6.435918, id=,S00, PRDE,actvstrat=,-0.169190, actvprof=,2.952603, id=,S03, PRDE,actvstrat=,0.465089, actvprof=,0.936005, id=,S04, PRDE,actvstrat=,-0.813708, actvprof=,0.048196, id=,S05, PRDE,actvstrat=,0.431436, actvprof=,0.029307, id=,S09, PRDE,actvstrat=,-0.223048, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.435918, best_B_strat=,0.552515, best_S_id=,S00, best_S_prof=,2.952603, best_S_strat=,-0.169190, 
