t=,75600, id=,B02, PRDE,actvstrat=,0.452368, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.312463, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.541031, actvprof=,0.006112, id=,B05, PRDE,actvstrat=,0.460479, actvprof=,0.355580, id=,B09, PRDE,actvstrat=,0.692170, actvprof=,6.896312, id=,S00, PRDE,actvstrat=,-0.216571, actvprof=,1.520661, id=,S01, PRDE,actvstrat=,-0.019732, actvprof=,1.841239, id=,S04, PRDE,actvstrat=,0.879654, actvprof=,0.402528, id=,S07, PRDE,actvstrat=,0.640681, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.711268, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.896312, best_B_strat=,0.692170, best_S_id=,S01, best_S_prof=,1.841239, best_S_strat=,-0.019732, 
t=,79200, id=,B02, PRDE,actvstrat=,0.452368, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.312463, actvprof=,0.000694, id=,B04, PRDE,actvstrat=,0.541031, actvprof=,0.009861, id=,B05, PRDE,actvstrat=,0.460479, actvprof=,0.328898, id=,B09, PRDE,actvstrat=,0.692170, actvprof=,6.908803, id=,S00, PRDE,actvstrat=,-0.216571, actvprof=,1.519070, id=,S01, PRDE,actvstrat=,-0.019732, actvprof=,1.867830, id=,S04, PRDE,actvstrat=,0.879654, actvprof=,0.408622, id=,S07, PRDE,actvstrat=,0.640681, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.711268, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.908803, best_B_strat=,0.692170, best_S_id=,S01, best_S_prof=,1.867830, best_S_strat=,-0.019732, 
t=,82800, id=,B02, PRDE,actvstrat=,0.677073, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.816993, actvprof=,0.008334, id=,B04, PRDE,actvstrat=,-0.696200, actvprof=,0.007501, id=,B05, PRDE,actvstrat=,0.822918, actvprof=,0.377531, id=,B09, PRDE,actvstrat=,-0.141333, actvprof=,5.061255, id=,S00, PRDE,actvstrat=,-0.074443, actvprof=,2.240187, id=,S01, PRDE,actvstrat=,-0.467224, actvprof=,0.864794, id=,S04, PRDE,actvstrat=,0.879654, actvprof=,0.569770, id=,S07, PRDE,actvstrat=,0.668760, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.358701, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.061255, best_B_strat=,-0.141333, best_S_id=,S00, best_S_prof=,2.240187, best_S_strat=,-0.074443, 
t=,86400, id=,B02, PRDE,actvstrat=,0.677073, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.816993, actvprof=,0.005834, id=,B04, PRDE,actvstrat=,-0.696200, actvprof=,0.003750, id=,B05, PRDE,actvstrat=,0.822918, actvprof=,0.394044, id=,B09, PRDE,actvstrat=,-0.141333, actvprof=,4.977013, id=,S00, PRDE,actvstrat=,-0.074443, actvprof=,2.325097, id=,S01, PRDE,actvstrat=,-0.467224, actvprof=,0.796283, id=,S04, PRDE,actvstrat=,0.879654, actvprof=,0.529467, id=,S07, PRDE,actvstrat=,0.668760, actvprof=,0.000972, id=,S08, PRDE,actvstrat=,-0.358701, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.977013, best_B_strat=,-0.141333, best_S_id=,S00, best_S_prof=,2.325097, best_S_strat=,-0.074443, 
t=,90000, id=,B02, PRDE,actvstrat=,-0.703910, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.816993, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.180775, actvprof=,0.003334, id=,B05, PRDE,actvstrat=,-0.712269, actvprof=,0.064728, id=,B09, PRDE,actvstrat=,0.737794, actvprof=,7.168097, id=,S00, PRDE,actvstrat=,-0.074443, actvprof=,2.232408, id=,S01, PRDE,actvstrat=,-0.221950, actvprof=,0.898130, id=,S04, PRDE,actvstrat=,-0.683426, actvprof=,0.010279, id=,S07, PRDE,actvstrat=,0.668760, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.217899, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.168097, best_B_strat=,0.737794, best_S_id=,S00, best_S_prof=,2.232408, best_S_strat=,-0.074443, 
t=,93600, id=,B02, PRDE,actvstrat=,-0.703910, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.816993, actvprof=,0.002917, id=,B04, PRDE,actvstrat=,0.180775, actvprof=,0.001806, id=,B05, PRDE,actvstrat=,-0.712269, actvprof=,0.046113, id=,B09, PRDE,actvstrat=,0.737794, actvprof=,7.045571, id=,S00, PRDE,actvstrat=,-0.074443, actvprof=,2.338292, id=,S01, PRDE,actvstrat=,-0.221950, actvprof=,0.940178, id=,S04, PRDE,actvstrat=,-0.683426, actvprof=,0.016390, id=,S07, PRDE,actvstrat=,0.668760, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.217899, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.045571, best_B_strat=,0.737794, best_S_id=,S00, best_S_prof=,2.338292, best_S_strat=,-0.074443, 
t=,97200, id=,B02, PRDE,actvstrat=,0.677073, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-0.699779, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.696200, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.381018, actvprof=,0.105009, id=,B09, PRDE,actvstrat=,0.252421, actvprof=,5.657138, id=,S00, PRDE,actvstrat=,-0.074443, actvprof=,2.548268, id=,S01, PRDE,actvstrat=,-0.467224, actvprof=,0.774231, id=,S04, PRDE,actvstrat=,-0.066516, actvprof=,0.043615, id=,S07, PRDE,actvstrat=,0.640681, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.657138, best_B_strat=,0.252421, best_S_id=,S00, best_S_prof=,2.548268, best_S_strat=,-0.074443, 
t=,100800, id=,B02, PRDE,actvstrat=,0.677073, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,-0.699779, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.696200, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.381018, actvprof=,0.113199, id=,B09, PRDE,actvstrat=,0.252421, actvprof=,5.680653, id=,S00, PRDE,actvstrat=,-0.074443, actvprof=,2.463436, id=,S01, PRDE,actvstrat=,-0.467224, actvprof=,0.855313, id=,S04, PRDE,actvstrat=,-0.066516, actvprof=,0.040141, id=,S07, PRDE,actvstrat=,0.640681, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.680653, best_B_strat=,0.252421, best_S_id=,S00, best_S_prof=,2.463436, best_S_strat=,-0.074443, 
t=,104400, id=,B02, PRDE,actvstrat=,0.183187, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.858891, actvprof=,0.003334, id=,B04, PRDE,actvstrat=,-0.337630, actvprof=,0.006945, id=,B05, PRDE,actvstrat=,0.460479, actvprof=,0.196683, id=,B09, PRDE,actvstrat=,0.472999, actvprof=,6.205517, id=,S00, PRDE,actvstrat=,-0.378345, actvprof=,1.597633, id=,S01, PRDE,actvstrat=,0.440760, actvprof=,3.254160, id=,S04, PRDE,actvstrat=,-0.066516, actvprof=,0.026391, id=,S07, PRDE,actvstrat=,-0.719882, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.205517, best_B_strat=,0.472999, best_S_id=,S01, best_S_prof=,3.254160, best_S_strat=,0.440760, 
t=,108000, id=,B02, PRDE,actvstrat=,0.183187, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.858891, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,-0.337630, actvprof=,0.003472, id=,B05, PRDE,actvstrat=,0.460479, actvprof=,0.183480, id=,B09, PRDE,actvstrat=,0.472999, actvprof=,6.244288, id=,S00, PRDE,actvstrat=,-0.378345, actvprof=,1.534925, id=,S01, PRDE,actvstrat=,0.440760, actvprof=,3.241107, id=,S04, PRDE,actvstrat=,-0.066516, actvprof=,0.024029, id=,S07, PRDE,actvstrat=,-0.719882, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.244288, best_B_strat=,0.472999, best_S_id=,S01, best_S_prof=,3.241107, best_S_strat=,0.440760, 
t=,111600, id=,B02, PRDE,actvstrat=,0.250654, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,-0.564737, actvprof=,0.008334, id=,B04, PRDE,actvstrat=,0.180775, actvprof=,0.051949, id=,B05, PRDE,actvstrat=,0.381018, actvprof=,0.280023, id=,B09, PRDE,actvstrat=,0.252421, actvprof=,5.961886, id=,S00, PRDE,actvstrat=,0.527561, actvprof=,4.623163, id=,S01, PRDE,actvstrat=,0.318162, actvprof=,2.518821, id=,S04, PRDE,actvstrat=,-0.066544, actvprof=,0.017501, id=,S07, PRDE,actvstrat=,0.873642, actvprof=,0.002778, id=,S08, PRDE,actvstrat=,0.901597, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.961886, best_B_strat=,0.252421, best_S_id=,S00, best_S_prof=,4.623163, best_S_strat=,0.527561, 
