t=,75600, id=,B00, PRDE,actvstrat=,0.214889, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.955029, actvprof=,0.006112, id=,B06, PRDE,actvstrat=,0.800729, actvprof=,0.856738, id=,B08, PRDE,actvstrat=,0.369344, actvprof=,3.027197, id=,B09, PRDE,actvstrat=,0.289570, actvprof=,4.395088, id=,S00, PRDE,actvstrat=,0.097261, actvprof=,4.566492, id=,S01, PRDE,actvstrat=,-0.394700, actvprof=,1.384560, id=,S04, PRDE,actvstrat=,0.808726, actvprof=,1.200100, id=,S05, PRDE,actvstrat=,-0.584450, actvprof=,0.006389, id=,S08, PRDE,actvstrat=,0.010336, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.395088, best_B_strat=,0.289570, best_S_id=,S00, best_S_prof=,4.566492, best_S_strat=,0.097261, 
t=,79200, id=,B00, PRDE,actvstrat=,0.214889, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.955029, actvprof=,0.003889, id=,B06, PRDE,actvstrat=,0.800729, actvprof=,0.847396, id=,B08, PRDE,actvstrat=,0.369344, actvprof=,3.020681, id=,B09, PRDE,actvstrat=,0.289570, actvprof=,4.406434, id=,S00, PRDE,actvstrat=,0.097261, actvprof=,4.525744, id=,S01, PRDE,actvstrat=,-0.394700, actvprof=,1.396447, id=,S04, PRDE,actvstrat=,0.808726, actvprof=,1.190605, id=,S05, PRDE,actvstrat=,-0.584450, actvprof=,0.010417, id=,S08, PRDE,actvstrat=,0.010336, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.406434, best_B_strat=,0.289570, best_S_id=,S00, best_S_prof=,4.525744, best_S_strat=,0.097261, 
t=,82800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.110951, actvprof=,0.001945, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.061409, id=,B08, PRDE,actvstrat=,-0.804876, actvprof=,3.132527, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.218299, id=,S00, PRDE,actvstrat=,0.519723, actvprof=,3.921770, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.168739, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.315031, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.071951, id=,S08, PRDE,actvstrat=,0.556652, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.218299, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.168739, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.110951, actvprof=,0.000972, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.060587, id=,B08, PRDE,actvstrat=,-0.804876, actvprof=,3.160870, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.222401, id=,S00, PRDE,actvstrat=,0.519723, actvprof=,3.919107, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.132868, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.321685, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.075282, id=,S08, PRDE,actvstrat=,0.556652, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.222401, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.132868, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,0.029696, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.210393, actvprof=,0.001945, id=,B06, PRDE,actvstrat=,0.034243, actvprof=,1.469350, id=,B08, PRDE,actvstrat=,-0.679722, actvprof=,3.352086, id=,B09, PRDE,actvstrat=,0.725333, actvprof=,7.605117, id=,S00, PRDE,actvstrat=,0.723540, actvprof=,5.311219, id=,S01, PRDE,actvstrat=,-0.110453, actvprof=,1.025406, id=,S04, PRDE,actvstrat=,0.959363, actvprof=,0.343376, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.075287, id=,S08, PRDE,actvstrat=,0.504630, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.605117, best_B_strat=,0.725333, best_S_id=,S00, best_S_prof=,5.311219, best_S_strat=,0.723540, 
t=,93600, id=,B00, PRDE,actvstrat=,0.029696, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.210393, actvprof=,0.002222, id=,B06, PRDE,actvstrat=,0.034243, actvprof=,1.493704, id=,B08, PRDE,actvstrat=,-0.679722, actvprof=,3.226868, id=,B09, PRDE,actvstrat=,0.725333, actvprof=,7.458244, id=,S00, PRDE,actvstrat=,0.723540, actvprof=,5.244633, id=,S01, PRDE,actvstrat=,-0.110453, actvprof=,1.002979, id=,S04, PRDE,actvstrat=,0.959363, actvprof=,0.365023, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.084728, id=,S08, PRDE,actvstrat=,0.504630, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.458244, best_B_strat=,0.725333, best_S_id=,S00, best_S_prof=,5.244633, best_S_strat=,0.723540, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.004445, id=,B06, PRDE,actvstrat=,-0.136670, actvprof=,1.230188, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,6.140383, id=,B09, PRDE,actvstrat=,0.525503, actvprof=,7.493923, id=,S00, PRDE,actvstrat=,0.707493, actvprof=,5.122171, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.145078, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.171693, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.026393, id=,S08, PRDE,actvstrat=,-0.539060, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.493923, best_B_strat=,0.525503, best_S_id=,S00, best_S_prof=,5.122171, best_S_strat=,0.707493, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.003472, id=,B06, PRDE,actvstrat=,-0.136670, actvprof=,1.187452, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,6.077964, id=,B09, PRDE,actvstrat=,0.525503, actvprof=,7.472376, id=,S00, PRDE,actvstrat=,0.707493, actvprof=,4.916903, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.238518, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.204321, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.035836, id=,S08, PRDE,actvstrat=,-0.539060, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.472376, best_B_strat=,0.525503, best_S_id=,S00, best_S_prof=,4.916903, best_S_strat=,0.707493, 
t=,104400, id=,B00, PRDE,actvstrat=,0.184432, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.267818, actvprof=,0.008612, id=,B06, PRDE,actvstrat=,-0.136670, actvprof=,0.408118, id=,B08, PRDE,actvstrat=,0.831446, actvprof=,4.736557, id=,B09, PRDE,actvstrat=,-0.806184, actvprof=,2.973510, id=,S00, PRDE,actvstrat=,0.114867, actvprof=,3.121032, id=,S01, PRDE,actvstrat=,0.595990, actvprof=,3.640834, id=,S04, PRDE,actvstrat=,0.427719, actvprof=,0.165025, id=,S05, PRDE,actvstrat=,0.298397, actvprof=,0.014724, id=,S08, PRDE,actvstrat=,0.819622, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.736557, best_B_strat=,0.831446, best_S_id=,S01, best_S_prof=,3.640834, best_S_strat=,0.595990, 
t=,108000, id=,B00, PRDE,actvstrat=,0.184432, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.267818, actvprof=,0.004306, id=,B06, PRDE,actvstrat=,-0.136670, actvprof=,0.423366, id=,B08, PRDE,actvstrat=,0.831446, actvprof=,4.724805, id=,B09, PRDE,actvstrat=,-0.806184, actvprof=,2.775073, id=,S00, PRDE,actvstrat=,0.114867, actvprof=,3.109960, id=,S01, PRDE,actvstrat=,0.595990, actvprof=,3.706394, id=,S04, PRDE,actvstrat=,0.427719, actvprof=,0.169457, id=,S05, PRDE,actvstrat=,0.298397, actvprof=,0.014446, id=,S08, PRDE,actvstrat=,0.819622, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.724805, best_B_strat=,0.831446, best_S_id=,S01, best_S_prof=,3.706394, best_S_strat=,0.595990, 
t=,111600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.159031, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.229893, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.238089, id=,B09, PRDE,actvstrat=,-0.645740, actvprof=,3.085706, id=,S00, PRDE,actvstrat=,-0.275403, actvprof=,1.429921, id=,S01, PRDE,actvstrat=,0.389324, actvprof=,3.164051, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.598555, id=,S05, PRDE,actvstrat=,-0.028628, actvprof=,0.014446, id=,S08, PRDE,actvstrat=,0.036464, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.238089, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.164051, best_S_strat=,0.389324, 
