t=,75600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.290732, actvprof=,0.010557, id=,B04, PRDE,actvstrat=,-0.237306, actvprof=,0.098343, id=,B07, PRDE,actvstrat=,0.397976, actvprof=,4.647674, id=,B08, PRDE,actvstrat=,0.735297, actvprof=,6.967622, id=,S04, PRDE,actvstrat=,0.481273, actvprof=,0.077785, id=,S06, PRDE,actvstrat=,-0.029775, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,0.488914, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,0.087216, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.399733, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.967622, best_B_strat=,0.735297, best_S_id=,S04, best_S_prof=,0.077785, best_S_strat=,0.481273, 
t=,79200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.290732, actvprof=,0.007500, id=,B04, PRDE,actvstrat=,-0.237306, actvprof=,0.083198, id=,B07, PRDE,actvstrat=,0.397976, actvprof=,4.548693, id=,B08, PRDE,actvstrat=,0.735297, actvprof=,6.869639, id=,S04, PRDE,actvstrat=,0.481273, actvprof=,0.064170, id=,S06, PRDE,actvstrat=,-0.029775, actvprof=,0.000972, id=,S07, PRDE,actvstrat=,0.488914, actvprof=,0.000694, id=,S08, PRDE,actvstrat=,0.087216, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.399733, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.869639, best_B_strat=,0.735297, best_S_id=,S04, best_S_prof=,0.064170, best_S_strat=,0.481273, 
t=,82800, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.793094, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.355724, id=,S04, PRDE,actvstrat=,-0.654198, actvprof=,0.010001, id=,S06, PRDE,actvstrat=,0.731616, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.489213, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.609681, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.355724, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.010001, best_S_strat=,-0.654198, 
t=,86400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.001250, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.884078, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.526658, id=,S04, PRDE,actvstrat=,-0.654198, actvprof=,0.011112, id=,S06, PRDE,actvstrat=,0.731616, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.489213, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.609681, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.526658, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.011112, best_S_strat=,-0.654198, 
t=,90000, id=,B02, PRDE,actvstrat=,-0.512297, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.363712, actvprof=,0.003334, id=,B04, PRDE,actvstrat=,-0.184060, actvprof=,0.090564, id=,B07, PRDE,actvstrat=,0.647818, actvprof=,5.188282, id=,B08, PRDE,actvstrat=,-0.664495, actvprof=,4.502938, id=,S04, PRDE,actvstrat=,0.191056, actvprof=,0.016113, id=,S06, PRDE,actvstrat=,-0.674571, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.488914, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.781141, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.727242, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.188282, best_B_strat=,0.647818, best_S_id=,S04, best_S_prof=,0.016113, best_S_strat=,0.191056, 
t=,93600, id=,B02, PRDE,actvstrat=,-0.512297, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.363712, actvprof=,0.003195, id=,B04, PRDE,actvstrat=,-0.184060, actvprof=,0.099309, id=,B07, PRDE,actvstrat=,0.647818, actvprof=,5.148512, id=,B08, PRDE,actvstrat=,-0.664495, actvprof=,4.460433, id=,S04, PRDE,actvstrat=,0.191056, actvprof=,0.015556, id=,S06, PRDE,actvstrat=,-0.674571, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.488914, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.781141, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.727242, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.148512, best_B_strat=,0.647818, best_S_id=,S04, best_S_prof=,0.015556, best_S_strat=,0.191056, 
t=,97200, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.805709, actvprof=,0.005278, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.243746, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.073090, id=,S04, PRDE,actvstrat=,-0.571249, actvprof=,0.009445, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.821432, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.073090, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.009445, best_S_strat=,-0.571249, 
t=,100800, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.805709, actvprof=,0.009723, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.323513, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.137756, id=,S04, PRDE,actvstrat=,-0.571249, actvprof=,0.004722, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.821432, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.137756, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.004722, best_S_strat=,-0.571249, 
t=,104400, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.495702, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.969658, actvprof=,0.240582, id=,B07, PRDE,actvstrat=,-0.932322, actvprof=,0.662851, id=,B08, PRDE,actvstrat=,-0.502640, actvprof=,4.305478, id=,S04, PRDE,actvstrat=,-0.786576, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.815750, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.614808, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.721730, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.659342, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.305478, best_B_strat=,-0.502640, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,-0.786576, 
t=,108000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.495702, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.969658, actvprof=,0.244458, id=,B07, PRDE,actvstrat=,-0.932322, actvprof=,0.676010, id=,B08, PRDE,actvstrat=,-0.502640, actvprof=,4.323574, id=,S04, PRDE,actvstrat=,-0.786576, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.815750, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.614808, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.721730, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.659342, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.323574, best_B_strat=,-0.502640, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,-0.786576, 
