t=,75600, id=,B01, PRDE,actvstrat=,-0.936860, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.519337, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,0.752568, actvprof=,0.247798, id=,B06, PRDE,actvstrat=,-0.365423, actvprof=,0.326138, id=,B07, PRDE,actvstrat=,0.486396, actvprof=,2.670778, id=,S01, PRDE,actvstrat=,-0.721006, actvprof=,0.554213, id=,S04, PRDE,actvstrat=,-0.485817, actvprof=,0.003611, id=,S05, PRDE,actvstrat=,-0.142768, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.814185, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.391143, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.670778, best_B_strat=,0.486396, best_S_id=,S01, best_S_prof=,0.554213, best_S_strat=,-0.721006, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.936860, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.519337, actvprof=,0.001528, id=,B05, PRDE,actvstrat=,0.752568, actvprof=,0.208481, id=,B06, PRDE,actvstrat=,-0.365423, actvprof=,0.313346, id=,B07, PRDE,actvstrat=,0.486396, actvprof=,2.647610, id=,S01, PRDE,actvstrat=,-0.721006, actvprof=,0.514883, id=,S04, PRDE,actvstrat=,-0.485817, actvprof=,0.006389, id=,S05, PRDE,actvstrat=,-0.142768, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,0.814185, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.391143, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.647610, best_B_strat=,0.486396, best_S_id=,S01, best_S_prof=,0.514883, best_S_strat=,-0.721006, 
t=,82800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.436732, actvprof=,0.198350, id=,B05, PRDE,actvstrat=,-0.199156, actvprof=,0.564491, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.308053, id=,B07, PRDE,actvstrat=,-0.687404, actvprof=,2.743006, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.127011, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.020557, id=,S05, PRDE,actvstrat=,0.354060, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.308053, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.127011, best_S_strat=,1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.436732, actvprof=,0.209870, id=,B05, PRDE,actvstrat=,-0.199156, actvprof=,0.553634, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.381252, id=,B07, PRDE,actvstrat=,-0.687404, actvprof=,2.768865, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.121561, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.029029, id=,S05, PRDE,actvstrat=,0.354060, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.381252, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.121561, best_S_strat=,1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.247095, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.211917, actvprof=,0.022224, id=,B05, PRDE,actvstrat=,0.319647, actvprof=,0.729783, id=,B06, PRDE,actvstrat=,0.682218, actvprof=,2.579104, id=,B07, PRDE,actvstrat=,-0.074865, actvprof=,2.771064, id=,S01, PRDE,actvstrat=,-0.195116, actvprof=,0.464761, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.334472, id=,S05, PRDE,actvstrat=,-0.636340, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.695625, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.134420, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.771064, best_B_strat=,-0.074865, best_S_id=,S01, best_S_prof=,0.464761, best_S_strat=,-0.195116, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.247095, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.211917, actvprof=,0.017362, id=,B05, PRDE,actvstrat=,0.319647, actvprof=,0.740586, id=,B06, PRDE,actvstrat=,0.682218, actvprof=,2.612331, id=,B07, PRDE,actvstrat=,-0.074865, actvprof=,2.846091, id=,S01, PRDE,actvstrat=,-0.195116, actvprof=,0.399044, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.299457, id=,S05, PRDE,actvstrat=,-0.636340, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.695625, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.134420, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.846091, best_B_strat=,-0.074865, best_S_id=,S01, best_S_prof=,0.399044, best_S_strat=,-0.195116, 
t=,97200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.774651, actvprof=,0.105287, id=,B05, PRDE,actvstrat=,0.784761, actvprof=,1.285385, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.840792, id=,B07, PRDE,actvstrat=,0.875282, actvprof=,4.580382, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.598994, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.285302, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.060561, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.485401, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.580382, best_B_strat=,0.875282, best_S_id=,S01, best_S_prof=,4.598994, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.774651, actvprof=,0.110560, id=,B05, PRDE,actvstrat=,0.784761, actvprof=,1.261164, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.837896, id=,B07, PRDE,actvstrat=,0.875282, actvprof=,4.574357, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.569913, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.285567, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.067642, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.485401, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.574357, best_B_strat=,0.875282, best_S_id=,S01, best_S_prof=,4.569913, best_S_strat=,1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.007710, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.911045, actvprof=,0.056394, id=,B05, PRDE,actvstrat=,-0.758388, actvprof=,0.525044, id=,B06, PRDE,actvstrat=,0.212026, actvprof=,3.106648, id=,B07, PRDE,actvstrat=,0.249086, actvprof=,4.800956, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.299442, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.056116, id=,S05, PRDE,actvstrat=,0.909313, actvprof=,0.007223, id=,S07, PRDE,actvstrat=,-0.269765, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.800956, best_B_strat=,0.249086, best_S_id=,S01, best_S_prof=,3.299442, best_S_strat=,1.000000, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.007710, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.911045, actvprof=,0.044169, id=,B05, PRDE,actvstrat=,-0.758388, actvprof=,0.540578, id=,B06, PRDE,actvstrat=,0.212026, actvprof=,3.118463, id=,B07, PRDE,actvstrat=,0.249086, actvprof=,4.879509, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.301110, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.055975, id=,S05, PRDE,actvstrat=,0.909313, actvprof=,0.005695, id=,S07, PRDE,actvstrat=,-0.269765, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.879509, best_B_strat=,0.249086, best_S_id=,S01, best_S_prof=,3.301110, best_S_strat=,1.000000, 
