t=,75600, id=,B02, PRDE,actvstrat=,-0.857164, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.760934, actvprof=,0.002500, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.276825, id=,B07, PRDE,actvstrat=,0.081761, actvprof=,2.561011, id=,B08, PRDE,actvstrat=,-0.877412, actvprof=,1.526217, id=,S01, PRDE,actvstrat=,0.139902, actvprof=,2.376832, id=,S02, PRDE,actvstrat=,0.244451, actvprof=,1.494548, id=,S04, PRDE,actvstrat=,0.854704, actvprof=,0.265018, id=,S08, PRDE,actvstrat=,0.767625, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.195490, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.561011, best_B_strat=,0.081761, best_S_id=,S01, best_S_prof=,2.376832, best_S_strat=,0.139902, 
t=,79200, id=,B02, PRDE,actvstrat=,-0.857164, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.760934, actvprof=,0.005139, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.297425, id=,B07, PRDE,actvstrat=,0.081761, actvprof=,2.615628, id=,B08, PRDE,actvstrat=,-0.877412, actvprof=,1.430318, id=,S01, PRDE,actvstrat=,0.139902, actvprof=,2.362982, id=,S02, PRDE,actvstrat=,0.244451, actvprof=,1.513931, id=,S04, PRDE,actvstrat=,0.854704, actvprof=,0.267230, id=,S08, PRDE,actvstrat=,0.767625, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.195490, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.615628, best_B_strat=,0.081761, best_S_id=,S01, best_S_prof=,2.362982, best_S_strat=,0.139902, 
t=,82800, id=,B02, PRDE,actvstrat=,0.821789, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-0.610677, actvprof=,0.006112, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.168137, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.647684, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.222238, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.817418, id=,S02, PRDE,actvstrat=,-0.071804, actvprof=,1.413431, id=,S04, PRDE,actvstrat=,-0.095635, actvprof=,0.128898, id=,S08, PRDE,actvstrat=,-0.449525, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.222238, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,6.817418, best_S_strat=,1.000000, 
t=,86400, id=,B02, PRDE,actvstrat=,0.821789, actvprof=,0.001945, id=,B03, PRDE,actvstrat=,-0.610677, actvprof=,0.004861, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.174763, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.669954, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.140283, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.816209, id=,S02, PRDE,actvstrat=,-0.071804, actvprof=,1.418105, id=,S04, PRDE,actvstrat=,-0.095635, actvprof=,0.108476, id=,S08, PRDE,actvstrat=,-0.449525, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.140283, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,6.816209, best_S_strat=,1.000000, 
t=,90000, id=,B02, PRDE,actvstrat=,-0.777322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.008731, actvprof=,0.004445, id=,B06, PRDE,actvstrat=,-0.381438, actvprof=,0.956455, id=,B07, PRDE,actvstrat=,-0.632423, actvprof=,1.946524, id=,B08, PRDE,actvstrat=,0.347965, actvprof=,5.152024, id=,S01, PRDE,actvstrat=,0.722801, actvprof=,3.716369, id=,S02, PRDE,actvstrat=,0.755376, actvprof=,2.217376, id=,S04, PRDE,actvstrat=,-0.290298, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,-0.234568, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.847500, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.152024, best_B_strat=,0.347965, best_S_id=,S01, best_S_prof=,3.716369, best_S_strat=,0.722801, 
t=,93600, id=,B02, PRDE,actvstrat=,-0.777322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.008731, actvprof=,0.005139, id=,B06, PRDE,actvstrat=,-0.381438, actvprof=,0.976006, id=,B07, PRDE,actvstrat=,-0.632423, actvprof=,1.973124, id=,B08, PRDE,actvstrat=,0.347965, actvprof=,5.221292, id=,S01, PRDE,actvstrat=,0.722801, actvprof=,3.721518, id=,S02, PRDE,actvstrat=,0.755376, actvprof=,2.171742, id=,S04, PRDE,actvstrat=,-0.290298, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,-0.234568, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.847500, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.221292, best_B_strat=,0.347965, best_S_id=,S01, best_S_prof=,3.721518, best_S_strat=,0.722801, 
t=,97200, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.817659, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.281061, id=,B07, PRDE,actvstrat=,-0.782179, actvprof=,1.945135, id=,B08, PRDE,actvstrat=,-0.077459, actvprof=,4.858115, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.076672, id=,S02, PRDE,actvstrat=,-0.751089, actvprof=,0.158900, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.154177, id=,S08, PRDE,actvstrat=,0.067790, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.858115, best_B_strat=,-0.077459, best_S_id=,S01, best_S_prof=,4.076672, best_S_strat=,-1.000000, 
t=,100800, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.817659, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.310393, id=,B07, PRDE,actvstrat=,-0.782179, actvprof=,1.991597, id=,B08, PRDE,actvstrat=,-0.077459, actvprof=,4.842251, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.922636, id=,S02, PRDE,actvstrat=,-0.751089, actvprof=,0.144033, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.154033, id=,S08, PRDE,actvstrat=,0.067790, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.842251, best_B_strat=,-0.077459, best_S_id=,S01, best_S_prof=,3.922636, best_S_strat=,-1.000000, 
t=,104400, id=,B02, PRDE,actvstrat=,-0.747539, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.232747, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.754145, actvprof=,0.553094, id=,B07, PRDE,actvstrat=,-0.524655, actvprof=,1.902910, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.496493, id=,S01, PRDE,actvstrat=,0.329737, actvprof=,2.902146, id=,S02, PRDE,actvstrat=,-0.071804, actvprof=,0.765609, id=,S04, PRDE,actvstrat=,-0.995164, actvprof=,0.263629, id=,S08, PRDE,actvstrat=,-0.953472, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.496493, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,2.902146, best_S_strat=,0.329737, 
t=,108000, id=,B02, PRDE,actvstrat=,-0.747539, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.232747, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.754145, actvprof=,0.549880, id=,B07, PRDE,actvstrat=,-0.524655, actvprof=,1.909372, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.525609, id=,S01, PRDE,actvstrat=,0.329737, actvprof=,2.800375, id=,S02, PRDE,actvstrat=,-0.071804, actvprof=,0.691552, id=,S04, PRDE,actvstrat=,-0.995164, actvprof=,0.239175, id=,S08, PRDE,actvstrat=,-0.953472, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.525609, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,2.800375, best_S_strat=,0.329737, 
